お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1104_4976_QOO,2023-11-25,171人,燃えている我が家を見て一言,NA,1位,釜ちびちび,原因で笑いたい,53,83.2,ぬくもり/こんなところにエビチリ/kak(2)/やる/バム/クロレラサイダー/紫電/んぬ/くすも(2)/こうつべ/クドウ/二階から手続き(2)/椎田/白犬/まやな(2)/おあつらえ/シンマイ子/さんれん/にじょー/古い絵画/きゅーきゅー/懐ヒロイン/こま/犬ドリル/あぐら(2)/水の水割り/ドライバー(3)/gas/いち/NatsubiSogan/突然及川/超ピンク/おくら/まちょ/滅相もない/泥豚/ゆつのみや/くろぶち/福井とマルコ/山田生姜/赤ちゃん(2)/ぷるちぽん/投票ボーナス(3)
1104_4976_QOO,2023-11-25,171人,燃えている我が家を見て一言,NA,2位,にじょー,2階あったんだ,48,78.28,なちょ/ターンブル/ゼンザイさん/たくみす/やる/さむちょ/両者うつ伏せ/バジルごはん/はどふ(2)/アンサイン/二階から手続き/えちえち/椎田(2)/白犬/白身魚のフライ/ななぴ/おあつらえ/シンマイ子/遺跡発掘調査補助員/さんれん/雲ひとつない撒き餌/こま/オケヤ/俺のわんこ(2)/いち/吉村(2)/NatsubiSogan/突然及川/ダダダチョウ/ヴォイド(2)/PD/まちょ/春巻き、咲いちゃいました(2)/サバまみれ/釜ちびちび/さかさままさか/山田生姜/ぷるちぽん/橋本無双/投票ボーナス(3)
1104_4976_QOO,2023-11-25,171人,燃えている我が家を見て一言,NA,3位,さむちょ,走馬灯、内定。,45,75.33,なちょ/きまぐれ/EPOCALC/チャン・ツノ(2)/ぬくもり(2)/ジョセフ/両者うつ伏せ/はどふ(2)/クドウ/椎田(2)/お湯ドラ/少しだけ賢い(2)/過疎バス/埼玉西武ライオンズ/懐ヒロイン/オケヤ/ドライバー/altcolt/吉村/突然及川/落雁/まみや/てんまる/林鍵太郎/春巻き、咲いちゃいました(2)/こねぎ/紫ヘイズ(2)/滅相もない/山田生姜/能動的三半規管(2)/レッシー/支援魔(2)/橋本無双/投票ボーナス(3)
1104_4976_QOO,2023-11-25,171人,燃えている我が家を見て一言,NA,3位,副菜,燃えてるといえばさ,45,75.33,なちょ(2)/ナンムラ(3)/やる/がんばりま翔/紫電/両者うつ伏せ(2)/くすも/ふじじじがが/ウラニワ(2)/そてー/イヌタク/おあつらえ(2)/砂漠/鉄シャリ/昨今/懐ヒロイン/こま/犬ドリル/俺のわんこ(2)/C.C.C/ぐれいそん/いち/超ピンク/林鍵太郎/紫ヘイズ/夜食/わぁっ！(2)/あまちゃんIII/さかさままさか/くろぶち/赤ちゃん/下り坂まで(2)/支援魔/投票ボーナス(3)
1104_4976_QOO,2023-11-25,171人,燃えている我が家を見て一言,NA,5位,おあつらえ,待って、まだ旦那が外に,44,74.34,EPOCALC/ナンムラ(3)/さかまろ(2)/チャン・ツノ(2)/がんばりま翔/クロレラサイダー(2)/もーよー/すまいる/こうつべ/二階から手続き/えちえち/休憩新人ポンコツ(2)/砂漠/さんれん/過疎バス/きゅーきゅー/ペン/あぐら(2)/sAwArA(3)/水の水割り/突然及川/桃山ももたろう/林鍵太郎/くろねこ商会(3)/目につく男/Akari(3)/こねぎ(2)/投票ボーナス(3)
1104_4976_QOO,2023-11-25,171人,燃えている我が家を見て一言,NA,5位,たくみす,どの恨みだろ,44,74.34,なちょ/ターンブル/さかまろ/ゼンザイさん(2)/800/さむちょ/デス・サップ/クロレラサイダー/世界の牛肉/両者うつ伏せ/さりつかいし/未来永劫ちゃんねる/バジルごはん/はどふ(2)/クドウ/二階から手続き/高だの高代/おあつらえ/砂漠/ほろほろ/埼玉西武ライオンズ/あぐら(2)/俺のわんこ(3)/C.C.C/gas/ミッツ乾電池/桐生/ばば/PD/おくら/目につく男/夜食/釜ちびちび/泥豚/くろぶち/マグナムゴブくん/投票ボーナス(3)
1104_4976_QOO,2023-11-25,171人,燃えている我が家を見て一言,NA,5位,ヴォイド,今売れば間に合うか,44,74.34,たくみす/やる/かくれどり(2)/こうつべ/バジルごはん/副菜(2)/二階から手続き/えちえち/高だの高代/椎田/さめかす/おあつらえ/シンマイ子/ほろほろ/鉄シャリ/ポッキー極細派/きゅーきゅー/あぐら/吉村(2)/NatsubiSogan/突然及川/超ピンク/落雁/ばば/ねりぁめ(2)/おくら/仁義/桃山ももたろう(2)/春巻き、咲いちゃいました(2)/夜食/アブミ/さかさままさか/山田生姜/マグナムゴブくん/ぷるちぽん/投票ボーナス(3)
1104_4976_QOO,2023-11-25,171人,燃えている我が家を見て一言,NA,8位,ぜ。,私が笑ったら笑っていいです,42,72.37,ターンブル/ベモペギ/さかまろ/800/たくみす(2)/くすも/こうつべ/二階から手続き/高だの高代/椎田(2)/白犬/ウラニワ/さんれん/ポッキー極細派/にじょー/わんわんお/犬ドリル/ペン/あぐら(2)/オケヤ/C.C.C/いち/ミッツ乾電池(2)/NatsubiSogan/まみや/鳴子レプシー/PD/てんまる/くろねこ商会/泥豚/あまちゃんIII/さかさままさか/くろぶち/マグナムゴブくん/橋本無双/投票ボーナス(3)
1104_4976_QOO,2023-11-25,171人,燃えている我が家を見て一言,NA,9位,（宇宙）,これいつ面白くなるんだ,41,71.39,なちょ/ターンブル/800/ぬくもり/ジョセフ/こんなところにエビチリ/kak/やる/デス・サップ/紫電/さりつかいし/ふじじじがが/二階から手続き/まやな(2)/ウラニワ(2)/シンマイ子/雲ひとつない撒き餌/ポッキー極細派/〆サバ/昨今/懐ヒロイン/こま/犬ドリル/sasuke/水の水割り/gas/ダダダチョウ/桐生/ヴォイド(2)/超ピンク/PD/まちょ/紫ヘイズ/💃/滅相もない/あまちゃんIII/山田生姜/ぷるちぽん
1104_4976_QOO,2023-11-25,171人,燃えている我が家を見て一言,NA,10位,ばば,履歴書に書こう,40,70.41,なちょ/EPOCALC/800/チャン・ツノ/ジョセフ/やる/さむちょ/デス・サップ/クロレラサイダー/紫電/すまいる/両者うつ伏せ/くすも(2)/かくれどり/クドウ/椎田/そてー/ななぴ/砂漠/ほろほろ/にじょー/あぐら/オケヤ/sasuke/吉村(2)/突然及川/ダダダチョウ/タニンノネコニ/落雁/💃/滅相もない/泥豚/赤ちゃん/下り坂まで/ぷるちぽん/投票ボーナス(3)
