お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,1位,茄ッ子,タメ口でいいよ笑,38,84.73,控えめなピース/かきあげうどん/すずめがヒューストン/wanumayu/なあはう/吉田美男/goigois(2)/支援魔(2)/石崎/瀧野/マコトシヤカ/阿吽/揚げたてメンチメン/くらべ(3)/ほろほろ/清水り/プーアル茶/こっち(2)/デス・サップ/珍宝小僧/フユフク/無知な豚キムチ/ホソカワタタ(2)/monika/きゅーきゅー/棒/まさら町(2)/ばば/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,2位,ばば,反対意見の方いますか,37,83.4,かきあげうどん/すーず/EPOCALC/せりか/もりそば/ニューロン/アンサイン/💃/きまぐれ/じゃん/揚げたてメンチメン/ゼンザイさん(2)/ポジ/ほろほろ/ヂョイマン/絶命/ケビ沢(2)/プーアル茶/nya-./ふわっと/ノラクラ/骨密度/ぼんやり/rayleigh/紗和和和/フユフク/じじじい/無知な豚キムチ/monika/棒/んぬ/さんれん/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,2位,紗和和和,こっちでも確認してみます,37,83.4,かきあげうどん/U7ypK/すーず/支援魔/石崎/臭い紅茶/阿吽/💃/じゃん(2)/ななぴ/ゼンザイさん/タニンノネコニ/ランゲル・ハンス/ヂョイマン/清水り/ケビ沢(3)/こっち/赤黄色/ノラクラ/骨密度/rayleigh/仮想現実のﾐﾁｮﾊﾟ/フユフク/monika/きゅーきゅー(2)/おるす/棒/業務用虚無/んぬ/さんれん/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,4位,rayleigh,声も良いんだね,28,71.49,すずめがヒューストン(3)/毒ぶどう/えび/机上で実演(2)/臭い紅茶(2)/揚げたてメンチメン/絶命/赤黄色/ノラクラ(2)/デス・サップ/ぼんやり/茄ッ子/きゅーきゅー/棒/業務用虚無(2)/まさら町(3)/んぬ/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,5位,骨密度,ご紹介にあずかりました、痴漢です,27,70.17,えつこちゃん/wanumayu(2)/なあはう(3)/ペン/ななぴ/下り坂まで/はどふ/ランゲル・ハンス/こっち/ちんほ。/nya-./ノラクラ/フユフク/大ちゃんす/お嬢様ですわぁ/きゅーきゅー/おるす/業務用虚無(3)/まさら町/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,6位,下り坂まで,果たしてそれだけかな,24,66.19,かきあげうどん/wanumayu/てれび/goigois/支援魔/ニューロン/マコトシヤカ/阿吽/きまぐれ/揚げたてメンチメン/絶命/ケビ沢/こっち/ふわっと/ちぇみちぇみ！/rayleigh/お嬢様ですわぁ/棒/業務用虚無(2)/ばば/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,7位,棒,ここからの逆転が凄いんですよ,23,64.87,えつこちゃん/毒ぶどう/なあはう/机上で実演/EPOCALC/ナギ/石崎/💃/ゼンザイさん(2)/ほろほろ/下り坂まで/ヂョイマン/絶命/ケビ沢(2)/赤黄色/骨密度/monika/業務用虚無/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,8位,wanumayu,それは前科の話で,22,63.55,すずめがヒューストン/U7ypK/えび/大根.jp(3)/もりそば/ニューロン/阿吽/きまぐれ/揚げたてメンチメン/ほろほろ/デス・サップ/じじじい/ホソカワタタ/きゅーきゅー/業務用虚無/んぬ/さんれん/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,9位,あまちゃん,皆さんもご一緒に,21,62.22,えつこちゃん/すずめがヒューストン/えび/なあはう/もりそば/まきな/きまぐれ/じゃん/ななぴ/下り坂まで(2)/ふじじじがが/清水り/こっち(2)/ノラクラ/rayleigh/きゅーきゅー/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,9位,赤黄色,この人たち、ですよ,21,62.22,控えめなピース/えび/机上で実演/もりそば/味噌と殴り合い/揚げたてメンチメン/ゼンザイさん/ポジ/ケビ沢/nya-./デス・サップ/ちぇみちぇみ！/そてー/rayleigh/無知な豚キムチ/茄ッ子/お嬢様ですわぁ/monika/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,11位,こっち,それと窃盗です,20,60.9,控えめなピース/すずめがヒューストン/wanumayu/毒ぶどう/ペン/ケビ沢(2)/ふわっと/デス・サップ/ちぇみちぇみ！/そてー/仮想現実のﾐﾁｮﾊﾟ/じじじい/無知な豚キムチ/茄ッ子/おるす/ばば/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,11位,ちぇみちぇみ！,婦警が来るといいな,20,60.9,机上で実演/石崎/瀧野/マコトシヤカ/きまぐれ/ゼンザイさん/ふじじじがが/ヂョイマン/ケビ沢(2)/赤黄色/ノラクラ/デス・サップ/rayleigh/あまちゃん/無知な豚キムチ/茄ッ子/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,11位,ほろほろ,冷静じゃん、合格,20,60.9,大根.jp(3)/なあはう(2)/ナギ/石崎/ニューロン/くらべ(3)/涙花/プーアル茶/デス・サップ/茄ッ子/業務用虚無(2)/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,11位,臭い紅茶,そんなこと皆わかってんだよ,20,60.9,wanumayu(2)/U7ypK(2)/机上で実演/まきな/瀧野/絶命/清水り/nya-./ふわっと/デス・サップ/そてー/フユフク/きゅーきゅー/業務用虚無(2)/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,15位,石崎,時代背景とかにも触れて,19,59.57,かきあげうどん/すーず/てれび/まきな/マコトシヤカ/💃/下り坂まで(2)/ぼんやり/仮想現実のﾐﾁｮﾊﾟ(2)/じじじい/無知な豚キムチ/ホソカワタタ/棒/ばば/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,15位,阿吽,俺が言いたかった,19,59.57,瀧野/プーアル茶(2)/こっち/デス・サップ/そてー/骨密度/珍宝小僧/ぼんやり/紗和和和/フユフク/monika/業務用虚無(2)/んぬ/さんれん/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,17位,支援魔,いいから、早く服着て下さい。,18,58.25,えつこちゃん/せりか/goigois(2)/ペン/ななぴ/プーアル茶/ふわっと/Chevon(2)/あまちゃん/大ちゃんす/業務用虚無(2)/まさら町/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,18位,フユフク,いいえ、それはトムです。,17,56.93,EPOCALC/もりそば/アンサイン(2)/ななぴ/滑らかなK/ふじじじがが/nya-./デス・サップ/珍宝小僧/Chevon(2)/大ちゃんす/業務用虚無/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,18位,業務用虚無,ええ、ほんと損な苗字ですよ,17,56.93,ペン/きまぐれ/タニンノネコニ(3)/滑らかなK(3)/清水り/ケビ沢/珍宝小僧/Chevon/あまちゃん/ホソカワタタ/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,20位,そてー,対抗CO、被害者です,16,55.6,控えめなピース/毒ぶどう/えび/せりか/アンサイン/ほろほろ/はどふ/ヂョイマン/絶命/nya-./ホソカワタタ/大ちゃんす/業務用虚無/投票ボーナス(3)
0194_3085_RSH,2023-12-03,93人,女性「この人、痴漢です！」男性「〇〇」※文字数制限なし,NA,21位,monika,多分そう／部分的にそう,15,54.28,控えめなピース/かきあげうどん/机上で実演/アンサイン/ふじじじがが/涙花/nya-./デス・サップ/珍宝小僧/じじじい(2)/おるす/投票ボーナス(3)
