お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0648_3282_BRE,2023-12-07,141人,大食い大会を生観戦してガッカリした理由,NA,1位,むらさき,すぐ妊婦に例える,50,84.67,黒胡椒/wanumayu/rayleigh/やんわり/Y-Not/メイド・イン・ムーン/猫デリバリー(3)/茄ッ子/うおくん/のとさわ/右回りドサイドン/なまこP/サバイブレーション/ここはが/ぜ。/PLガス/らうかった/ヤンマー部隊隊長/イワザル(2)/ぐすく/かくれどり/5.5畳(2)/魚粉/ラーギ/ドゥラちゃん(2)/なめたっけ/sAwArA(2)/玄の字。/はちわれ/片腕は諦めなさい(3)/いっぱい秋/マカマカエキス(3)/絶命/しゃくとめ/POPOJI/メタルきぬどうふ/ジェンツーペンギン/投票ボーナス(3)
0648_3282_BRE,2023-12-07,141人,大食い大会を生観戦してガッカリした理由,NA,2位,みやまる,精進料理の回だった,45,79.37,yms/控えめなピース/wanumayu(3)/rayleigh/石原消し炭/ひがその/daredayo/うおくん(2)/ポリエステルの産物/満天星まいてぃん/噛みにくい蟹(3)/なまこP/収蔵/クロレラサイダー/クルペッコの手羽元/らうかった/鼻腔炭酸/ふるれ/鶴bay/粉石鹸/ぐすく(2)/5.5畳(2)/せりか/じゃー(3)/天国かラスベガス/片腕は諦めなさい(2)/いっぱい秋/しゃくとめ/アンサイン/わんつーさんし/もんさん(2)/メタルきぬどうふ(2)/とんでも左大臣
0648_3282_BRE,2023-12-07,141人,大食い大会を生観戦してガッカリした理由,NA,3位,Y-Not,負けてヘラヘラしてた,40,74.07,業務用虚無/エクスタC(3)/イカポン/キペ(2)/メイド・イン・ムーン/石原消し炭/タマ「」「」「」「」/ひがその/800/xos/ポリエステルの産物/PD(3)/右回りドサイドン/なまこP/PLガス/ふるれ/タツコデラックス/ぼんやり/かくれどり/5.5畳/白昼ドードー/ラーギ/砂漠/煮込みVUITTON/玄の字。/にじょー/修行修行/おきおきひ/赤ドラの嶺上クス/POPOJI/渇望/とんでも左大臣/投票ボーナス(3)
0648_3282_BRE,2023-12-07,141人,大食い大会を生観戦してガッカリした理由,NA,4位,いっぱい秋,想像以上に作業だった,38,71.95,黒胡椒/おとうふ。/業務用虚無(2)/Yokuboy/副キャプテンアメリカ/yms/ゃまゃま/カンブリア/キペ/パーくん/満天星まいてぃん(2)/PD/なまこP/収蔵/ぜ。(2)/nu大明神/あとひとつ流星群/らうかった/ぼんやり/鶴bay/粉石鹸/じゃー/ラーギ/天国かラスベガス(2)/なめたっけ/フイ/絶命/汁物勢/ウインナーうまい/帰る亭中野周辺/ジェンツーペンギン/投票ボーナス(3)
0648_3282_BRE,2023-12-07,141人,大食い大会を生観戦してガッカリした理由,NA,5位,せりか,思ってたのとかなり同じだった,37,70.89,業務用虚無(3)/yms/控えめなピース/イカポン(2)/Y-Not/埼京線/石原消し炭/800/ホルモン師匠/うおくん/PD(2)/右回りドサイドン/サバイブレーション/むらさき/ラーギ(3)/砂漠/煮込みVUITTON/にじょー/プレーン加藤/是非/るれろ(2)/ONO YU/マカマカエキス/汁物勢/そてー/こんなところにエビチリ/とんでも左大臣/投票ボーナス(3)
0648_3282_BRE,2023-12-07,141人,大食い大会を生観戦してガッカリした理由,NA,5位,ジェンツーペンギン,シニア大会だったので心配が勝つ,37,70.89,黒胡椒/業務用虚無(2)/副キャプテンアメリカ/yms/やんわり/森さんです。/タマ「」「」「」「」/パーくん/ひがその/daredayo/うおくん(2)/噛みにくい蟹(2)/右回りドサイドン/なまこP/収蔵/ぜ。/涙花/ヤンマー部隊隊長/ハッピーな店員(2)/ふるれ/魚粉/じゃー/砂漠/なめたっけ/ほろほろ/マカマカエキス(2)/そてー/たし/メタルきぬどうふ/投票ボーナス(3)
0648_3282_BRE,2023-12-07,141人,大食い大会を生観戦してガッカリした理由,NA,7位,sAwArA,その骨まだいけるのに,36,69.83,ぬくれお(2)/yms/控えめなピース/rayleigh/イカポン/カンブリア/ウラニワ(2)/やんわり/メイド・イン・ムーン/ひがその/800/満天星まいてぃん(2)/のとさわ/サバイブレーション/PLガス/涙花/ヤンマー部隊隊長/タツコデラックス/5.5畳(2)/Chunbeam/せりか/玄の字。/はちわれ/おきおきひ/ノコノコdeath/絶命/赤ドラの嶺上クス/こんなところにエビチリ(2)/投票ボーナス(3)
0648_3282_BRE,2023-12-07,141人,大食い大会を生観戦してガッカリした理由,NA,8位,やんわり,シードの人有利すぎた,35,68.77,wanumayu(2)/ゃまゃま/rayleigh/キペ/スイートランド/石原消し炭/パーくん/だしまきddd/xos/なまこP/サバイブレーション/じす/ヤンマー部隊隊長/ふるれ/鶴bay/かくれどり/ドブねずみ/5.5畳/カニセクシャル(2)/ほろほろ/ONO YU/アムリタ/しゃくとめ/ウインナーうまい/POPOJI/アンサイン/帰る亭中野周辺/こんなところにエビチリ(3)/投票ボーナス(3)
0648_3282_BRE,2023-12-07,141人,大食い大会を生観戦してガッカリした理由,NA,8位,無明海,おかわりの度に厨房から舌打ちが聞こえた,35,68.77,業務用虚無/キペ/スイートランド/石原消し炭/森さんです。/タマ「」「」「」「」/猫デリバリー/iiha(2)/だしまきddd/daredayo(2)/うおくん(3)/右回りドサイドン/はむすたにぎにぎ(2)/なまこP/nu大明神/涙花/鼻腔炭酸/パリンコ鮭卵(2)/5.5畳/玄の字。/フイ/るれろ(2)/汁物勢/しゅーきち/もんさん/投票ボーナス(3)
0648_3282_BRE,2023-12-07,141人,大食い大会を生観戦してガッカリした理由,NA,8位,花火の様,いただきますした人が初戦敗退した,35,68.77,業務用虚無(2)/ゃまゃま/ウラニワ(2)/キペ(2)/埼京線/タマ「」「」「」「」/猫デリバリー/iiha/不調/うおくん(3)/のとさわ/右回りドサイドン/じす/むらさき/イワザル/ぐすく/魚粉/〜トリコ、完結〜/砂漠/煮込みVUITTON/天国かラスベガス/sAwArA(2)/にじょー/フイ/赤ドラの嶺上クス/メタルきぬどうふ/ジェンツーペンギン/渇望/とんでも左大臣
