お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1427_1231_OCG,2023-12-09,130人,格闘家との水族館デートでのワンシーン,NA,1位,やる,勝てる魚だけ呼び捨てにしてた,55,94.96,モロヘイヤ(2)/前田の後ろ(2)/焼酎師/Figaro/公共プール/池野/じす/うみちゃん/着用/サルのものまね/ごとー(2)/鵺野凛音/monika/ひがその/チェケン南蛮/裏四国/アホランド/スリッペ/幻/経費で落ちた恋(2)/山田凸次郎(2)/Speedcater/マルヤマ/固定残業代(2)/からすまめ(2)/カク・ブツチチ/右回りドサイドン/メイド・イン・ムーン/トカトントン(3)/スタジオ疾風/どぅ/ラーギ/ニューロン/three-all/F難度フェルナンド/ダライマラ(2)/カナダ/北千住柱間/デス・サップ/YD/なんこつ/のとさわ/投票ボーナス(3)
1427_1231_OCG,2023-12-09,130人,格闘家との水族館デートでのワンシーン,NA,2位,three-all,感想言う時いちいちマウスピース外す,53,92.7,モロヘイヤ(3)/ずずエさん/じす/やまだまだまだ/鵺野凛音/monika/ひがその/チェケン南蛮(3)/スリッペ/敵刺(2)/哲学ミミズ/山田凸次郎(2)/ベコラス3世/ナルシマアンバイ/ぺね(2)/固定残業代(2)/baseball /子供部屋フォーク/クルペッコの手羽元/要介護ッチ2(2)/魔児/rec/ドガバギん(2)/どぅ(3)/gray24(2)/猫デリバリー(2)/フイ/たし(3)/たいら/kakankan/F難度フェルナンド/プレミアム佐藤/鉄仮面冨江/てんまる/投票ボーナス(3)
1427_1231_OCG,2023-12-09,130人,格闘家との水族館デートでのワンシーン,NA,3位,ベリー,大人一枚と格闘家一枚,38,75.74,モロヘイヤ(3)/前田の後ろ/Figaro/政信/池野/じす/ひがその/スリッペ/DJBK/みのないまぐろ(3)/ししだ(2)/マルヤマ(2)/クルペッコの手羽元/コロコロムアニ(3)/魔児/スタジオ疾風/どぅ(3)/猫デリバリー(2)/three-all/kakankan/愛鯉家/ミラー/タニンノネコニ/やる/投票ボーナス(3)
1427_1231_OCG,2023-12-09,130人,格闘家との水族館デートでのワンシーン,NA,4位,カナリカリガ・タカ,3分置きにベンチに座る,37,74.61,モロヘイヤ(3)/前田の後ろ/ずずエさん/公共プール/Arbby/じす/鵺野凛音(2)/monika/敵刺(2)/哲学ミミズ/山田凸次郎(2)/あゆと・D/ししだ/焼/向井/トカトントン/rec/ぽーちゃん(3)/ぺんぎんにき/gray24/ラーギ/three-all/F難度フェルナンド/タニンノネコニ/デス・サップ/鉄仮面冨江/のとさわ/投票ボーナス(3)
1427_1231_OCG,2023-12-09,130人,格闘家との水族館デートでのワンシーン,NA,5位,クルペッコの手羽元,大人1枚バンダム級1枚で,34,71.22,モロヘイヤ(3)/Arbby/chiwachiwa/ごとー(3)/monika/裏四国/内田有紀(美人)/DJBK/ベコラス3世/ししだ/マルヤマ(2)/右回りドサイドン/子供部屋フォーク(2)/Candy?/とまぴよよ(2)/ONO YU/gray24(2)/猫デリバリー/three-all/かしみや/愛鯉家/北千住柱間(2)/投票ボーナス(3)
1427_1231_OCG,2023-12-09,130人,格闘家との水族館デートでのワンシーン,NA,6位,詫びシャイニング,あれは練習になる魚,33,70.09,焼酎師/Figaro/ずずエさん/公共プール/じす/着用/鵺野凛音/monika/スリッペ/敵刺/山田凸次郎/この後クリーム砲/ゆんける/子供部屋フォーク/ベリー/gray24/フイ/ニューロン/three-all/たし/たいら(2)/カリーいながわ/sAwArA(2)/やる/北千住柱間/カナリカリガ・タカ/鉄仮面冨江(2)/投票ボーナス(3)
1427_1231_OCG,2023-12-09,130人,格闘家との水族館デートでのワンシーン,NA,7位,パーくん,入場にやたら時間かける,30,66.69,前田の後ろ/公共プール/げら(2)/ごとー/内田有紀(美人)(2)/山田凸次郎(3)/この後クリーム砲/ししだ/からすまめ/右回りドサイドン/クルペッコの手羽元/要介護ッチ2(2)/rec/ぺんぎんにき/ベリー/ラーギ/ニューロン/kakankan(2)/ミラー/北千住柱間(2)/投票ボーナス(3)
1427_1231_OCG,2023-12-09,130人,格闘家との水族館デートでのワンシーン,NA,8位,政信,小声で「倒せる、倒せない、倒せる」と呟いてた,28,64.43,モロヘイヤ/chiwachiwa/着用/お菓子のゴミ/りと/イワザル/チェケン南蛮/焼/固定残業代/クルペッコの手羽元/コロコロムアニ(2)/ぽーちゃん/とまぴよよ/猫デリバリー/フイ/しば/愛鯉家/カナダ/ここどこなっつ(3)/北千住柱間(2)/なんこつ/投票ボーナス(3)
1427_1231_OCG,2023-12-09,130人,格闘家との水族館デートでのワンシーン,NA,9位,カリーいながわ,地上だったら勝てますよ,27,63.3,政信/ボチョムキン/池野/chiwachiwa/げら/りと/鵺野凛音(2)/monika/幻/目につく男/経費で落ちた恋(2)/てんしちゃん/この後クリーム砲/カク・ブツチチ/クルペッコの手羽元/魔児/ONO YU/フイ/やる/北千住柱間(2)/のとさわ/投票ボーナス(3)
1427_1231_OCG,2023-12-09,130人,格闘家との水族館デートでのワンシーン,NA,9位,ニューロン,何度も｢栄養｣と言った,27,63.3,Figaro/ずずエさん/ボチョムキン/じす/サルのものまね/やまだまだまだ/幻/敵刺/詫びシャイニング/焼/ニューユー/メイド・イン・ムーン/魔児/トカトントン/rec/ぺんぎんにき/ONO YU/猫デリバリー(2)/たし/たいら/パーくん/北千住柱間(2)/投票ボーナス(3)
