お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,1位,東松永,ちゃんと書いたしんにょう,32,88.54,お菓子のゴミ/kak(2)/ぺーるおれんじ/井上ヘノシタ/誤解/聖ジェネリック女子学院/ちぇみちぇみ！/ホソカワタタ/パピヨン/てんまる/とんでも左大臣/Y-Not/年金/こめだこ/あると/marakasu/shiganhei/てっぺんざしお/Xiroo/ゆうのう(2)/みゆ/この後クリーム砲/多々/膝裏バンクシー(3)/立板に流水/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,2位,Namacha,精密採点DX,22,70.69,循環器/感謝のうなぎ/ぜ。(3)/ぺーるおれんじ/ちぇみちぇみ！/側転ソクラテス/ナルシマアンバイ/ポリエチレングリコール(2)/雲/長谷川キモ彦/太極拳のカリスマ/ペイ/たか/白いインク/最果てのほうじ茶(2)/Xiroo/砂漠/わんこそば
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,2位,marakasu,mixiで足跡だけ残すのは失礼という文化,22,70.69,さむちょ/お菓子のゴミ/続きを読む/中肉大勢/埼玉西武ライオンズ/とんでも左大臣/島次郎(2)/チャックザジッパー/shiganhei/うわらば(3)/てっぺんざしお/Xiroo/砂漠/多々/膝裏バンクシー/わんこそば/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,4位,とんでも左大臣,少し重要な封筒,21,68.9,さむちょ/続きを読む/kak/やや不安(2)/側転ソクラテス/ナルシマアンバイ/Sierra/パピヨン/年金/星ドッラ/たか/きゅーきゅー(2)/東松永/やなな/xos/紆余曲折/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,5位,ふんがぁ,4人以上でのじゃんけん,20,67.12,かみそん/続きを読む/中肉大勢/ぺーるおれんじ/聖ジェネリック女子学院(2)/ちぇみちぇみ！/ラータ/Y-Not/3ねこ/きゅーきゅー(2)/東松永/そいそーす/あると/白いインク/チャックザジッパー/この後クリーム砲/多々/立板に流水
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,5位,長谷川キモ彦,塾の友達にだけ見せるノリ,20,67.12,かみそん/循環器/さむちょ/お菓子のゴミ/中肉大勢/ちぇみちぇみ！/側転ソクラテス/Sierra/とんでも左大臣/3ねこ/東松永/marakasu/多々/膝裏バンクシー/グルワール/立板に流水(2)/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,7位,Y-Not,友近の感性,19,65.33,お菓子のゴミ/井上ヘノシタ/ホソカワタタ/ナルシマアンバイ/太極拳のカリスマ/年金/みやまる/きゅーきゅー/チャックザジッパー/やなな/shiganhei/Xiroo/この後クリーム砲/多々/もるぺちda/紆余曲折/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,7位,ちぇみちぇみ！,芋で作ったハンコ,19,65.33,さいころちゃらみん/太極拳のカリスマ/Y-Not/年金/みやまる/たか(2)/東松永/コナミスポーツ/shiganhei/xos/てっぺんざしお/砂漠/この後クリーム砲/DAKARA/マカマカエキス/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,7位,てっぺんざしお,敬語使わないタレントを許す風潮,19,65.33,循環器/さむちょ/kak/中肉大勢/ナルシマアンバイ/長谷川キモ彦/みやまる/ペイ/東松永/そいそーす/白いインク/最果てのほうじ茶/shiganhei/多々/膝裏バンクシー(2)/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,10位,3ねこ,起動音,18,63.55,中肉大勢/ホソカワタタ(2)/ナルシマアンバイ/Sierra/ラータ/パピヨン/埼玉西武ライオンズ/年金/みやまる/きゅーきゅー/marakasu/Xiroo/わんこそば/マカマカエキス/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,10位,さむちょ,魔法のｉらんど,18,63.55,ぺーるおれんじ/けいすけ/リトマス試験紙/さいころちゃらみん(2)/ポリエチレングリコール(2)/みやまる/ペイ/そいそーす/marakasu/てっぺんざしお/立板に流水(2)/マカマカエキス/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,12位,xos,｢ぬ｣,17,61.76,循環器/お菓子のゴミ/犬卍/リトマス試験紙/誤解(3)/さいころちゃらみん/側転ソクラテス/最果てのほうじ茶(2)/砂漠/多々/わんこそば/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,12位,わんこそば,おでん缶,17,61.76,かみそん/さむちょ/ぜ。/kak(2)/ぺーるおれんじ/ちぇみちぇみ！/ペイ/あると(2)/コナミスポーツ/やなな/この後クリーム砲/もるぺちda/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,12位,星ドッラ,リッツパーティー,17,61.76,かみそん/ぺーるおれんじ/犬卍/リトマス試験紙/ポリエチレングリコール(2)/とんでも左大臣/Y-Not/ペイ/てっぺんざしお/ゆうのう/砂漠/この後クリーム砲/マカマカエキス/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,15位,Xiroo,心のノート,16,59.98,かみそん/ちゃーぱ(3)/ぜ。/お菓子のゴミ/星ドッラ/こめだこ/marakasu/最果てのほうじ茶/もるぺちda/グルワール/DAKARA/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,15位,ペイ,傷つけない笑い,16,59.98,循環器/さむちょ/kak/こめだこ/東松永/marakasu/うわらば/Xiroo(2)/ゆうのう(2)/みゆ/砂漠/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,15位,中肉大勢,本初子午線,16,59.98,感謝のうなぎ/けいすけ/リトマス試験紙/誤解(3)/側転ソクラテス/年金/みやまる/たか/東松永/みゆ/グルワール/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,18位,やなな,司会者が所長と呼ばれる番組,15,58.19,さむちょ/リトマス試験紙/やや不安(2)/とんでも左大臣/きゅーきゅー/東松永/あると/marakasu/チャックザジッパー/うわらば/わんこそば/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,19位,しんぺいた,恐竜の良さ,14,56.41,kak/ぺーるおれんじ/犬卍/やや不安(2)/さいころちゃらみん/ホソカワタタ/Sierra/星ドッラ/3ねこ/きゅーきゅー(2)/東松永/xos
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,19位,みやまる,ビリーズブートキャンプ,14,56.41,けいすけ/ポリエチレングリコール/長谷川キモ彦/島次郎/3ねこ/てっぺんざしお/砂漠/もるぺちda/グルワール/DAKARA/マカマカエキス/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,19位,最果てのほうじ茶,小数点,14,56.41,中肉大勢/井上ヘノシタ/やや不安(2)/パピヨン/雲/3ねこ/東松永/白いインク/shiganhei/紆余曲折/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,19位,紆余曲折,着てるお姉さん,14,56.41,お菓子のゴミ/井上ヘノシタ(2)/けいすけ/ホソカワタタ/Sierra/埼玉西武ライオンズ/東松永/あると/やなな/DAKARA/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,23位,SY,点P,13,54.62,循環器/お菓子のゴミ/誤解(2)/雲/長谷川キモ彦/ペイ/たか/こめだこ/最果てのほうじ茶/shiganhei/みゆ/もるぺちda
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,23位,たか,かかとのローラーでシャーって滑る靴,13,54.62,さむちょ/感謝のうなぎ/ちゃーぱ(3)/太極拳のカリスマ/コナミスポーツ/チャックザジッパー/てっぺんざしお/立板に流水/投票ボーナス(3)
0385_5531_ZTW,2023-12-15,86人,最近の若者はこんなものからも離れてる,NA,23位,よしこ,レインボーアートデラックス,13,54.62,続きを読む/中肉大勢(2)/聖ジェネリック女子学院(3)/ちぇみちぇみ！/ポリエチレングリコール(2)/島次郎/Y-Not/shiganhei/Xiroo
