お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0644_9365_ASJ,2023-12-19,128人,めちゃくちゃ人気の爪楊枝は、ここがすごい！,NA,1位,メイド・イン・ムーン,1本1本にエピソードがある,56,102.68,ポジ/ハッスル運動会/kubodi/ばやし(2)/sasuke/まちょ/白藍/ぺね(3)/毒ぶどう/葱仮面/rayleigh/最果てのほうじ茶(3)/ハミハミ歯磨き粉太郎/ウラニワ(2)/マルイは二進法で5/この後クリーム砲/もるげ/シーサイド品川/諂国模様/ペン/たし/ノビッタ/たーー/ド天体(2)/バニラソフト/ノニバス/ババロア/shaman/緑峰(2)/どんばいぱー/代々木ポトフ(2)/とんでも左大臣(2)/パブロ風の犬/ラプンツェル/雑兵/螺旋貝柱/下り坂まで/牛込神楽/珍宝小僧(2)/修行修行/三重県津市/フユフク/投票ボーナス(3)
0644_9365_ASJ,2023-12-19,128人,めちゃくちゃ人気の爪楊枝は、ここがすごい！,NA,2位,リトマス試験紙,「これを刺した人はこんなものも刺しています」が出る,38,79.51,メメンッ(2)/ハッスル運動会/sasuke/石蓴/丼もの/毒ぶどう/葱仮面/するめ大夫/きゃりーまらまら/もるげ/桜桃(2)/諂国模様/たし/たーー/ロボ魚/シコウサクゴロー/コレカタ/緑峰/おへびさん/ぴよぴよ侍/なめらかな斜面/ラプンツェル/螺旋貝柱/杉山田(2)/きゅうり農家(3)/珍宝小僧/三重県津市/フユフク/kakankan(2)/投票ボーナス(3)
0644_9365_ASJ,2023-12-19,128人,めちゃくちゃ人気の爪楊枝は、ここがすごい！,NA,3位,鶴bay,使いたくて食べる,37,78.22,ポジ/ばやし/sasuke/さむちょ/rayleigh/お嬢様ですわぁ/ウラニワ/この後クリーム砲/もるげ/桜桃(2)/ペン/ノビッタ/ド天体/よれん/バニラソフト/ノニバス/シコウサクゴロー(2)/shaman/緑峰/メイド・イン・ムーン/あぐら/代々木ポトフ/とんでも左大臣/パブロ風の犬/いいも/すーず(2)/螺旋貝柱/マグぬ/白いインク/下り坂まで/ずんだれ/投票ボーナス(3)
0644_9365_ASJ,2023-12-19,128人,めちゃくちゃ人気の爪楊枝は、ここがすごい！,NA,4位,この後クリーム砲,オスとメスがある,30,69.21,ハッスル運動会/さむちょ/ハミハミ歯磨き粉太郎/ウラニワ(2)/mow/MF式角砂糖/もるげ/おきおきひ/桜桃/たーー/内田有紀(美人)/空き家71/kak/緑峰/らうかった/リトマス試験紙/メイド・イン・ムーン/とんでも左大臣/アンサイン/雲/マグぬ/白いインク/納屋の鍵(2)/牛込神楽/st/投票ボーナス(3)
0644_9365_ASJ,2023-12-19,128人,めちゃくちゃ人気の爪楊枝は、ここがすごい！,NA,4位,世界の牛肉,これを撃ち上げてる国もある,30,69.21,kubodi/石蓴/毒ぶどう/えちえち/rayleigh/クイズ次郎(2)/ハミハミ歯磨き粉太郎/Heaven/鶴bay/たーー/ド天体/美辞麗句/しがつ/コレカタ/どんばいぱー/がしけん/three-all/雑兵/すーず/アンサイン/白いインク/納屋の鍵/牛込神楽/st/修行修行/三重県津市/投票ボーナス(3)
0644_9365_ASJ,2023-12-19,128人,めちゃくちゃ人気の爪楊枝は、ここがすごい！,NA,6位,rayleigh,少し歯並びも治る,29,67.92,sasuke/白藍/葱仮面/するめ大夫/ハミハミ歯磨き粉太郎/しゃくとめ/ジョセフ/Heaven/おきおきひ/たし/ほろほろ/たーー/ド天体/kak/美辞麗句/シコウサクゴロー/ぴよぴよ侍/とんでも左大臣/がしけん/ランス/雑兵/スポーツバッグ/アンサイン/下り坂まで/マチルダ少佐/鯖度80％/投票ボーナス(3)
0644_9365_ASJ,2023-12-19,128人,めちゃくちゃ人気の爪楊枝は、ここがすごい！,NA,7位,シーサイド品川,胸ポケットの爪楊枝で命が助かった,28,66.64,ハッスル運動会/kubodi/白藍/最果てのほうじ茶(3)/Heaven/桜桃/諂国模様/たーー/内田有紀(美人)/ロボ魚(2)/埼玉西武ライオンズ/空き家71/バニラソフト/ババロア/コレカタ/どんばいぱー/リトマス試験紙(2)/ラプンツェル(2)/マグぬ/杉山田/投票ボーナス(3)
0644_9365_ASJ,2023-12-19,128人,めちゃくちゃ人気の爪楊枝は、ここがすごい！,NA,7位,ノニバス,どの世代にも刺さる,28,66.64,まちょ/白藍/士農工商/丼もの/クイズ次郎/お嬢様ですわぁ/しゃくとめ/ジョセフ/ほろほろ/ド天体/初心者まゆげ/空き家71/kak/シコウサクゴロー/shaman/らうかった/おへびさん/あぐら/ぴよぴよ侍/なめらかな斜面/代々木ポトフ/ランス/白いインク/kakankan(2)/投票ボーナス(3)
0644_9365_ASJ,2023-12-19,128人,めちゃくちゃ人気の爪楊枝は、ここがすごい！,NA,7位,丼もの,もちろん、爪楊枝としても使える,28,66.64,ばやし/sasuke/ぺね/マルイは二進法で5/桜桃(3)/チーズ/ペン/ノビッタ/たーー/ロボ魚(2)/空き家71/ノニバス/シコウサクゴロー(2)/リトマス試験紙/なめらかな斜面/〜トリコ、完結〜/満天星まいてぃん/いいも/スポーツバッグ/マグぬ/冷食パスタレビュー/投票ボーナス(3)
0644_9365_ASJ,2023-12-19,128人,めちゃくちゃ人気の爪楊枝は、ここがすごい！,NA,10位,three-all,国旗がなくてもお子様ランチが成立する,27,65.35,士農工商/するめ大夫/えちえち/きゃりーまらまら(2)/Heaven/鶴bay/ほろほろ/たーー/初心者まゆげ/空き家71/シコウサクゴロー/コレカタ/おへびさん(3)/がしけん/ランス/benefit/きゅうり農家/珍宝小僧/三重県津市/フユフク/甘納豆/投票ボーナス(3)
