お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0799_6349_AUL,2023-12-27,151人,武器として漢字が配られたバトルロイヤル,NA,1位,ふるれ,ニートが「職」を手にした,52,81.9,N1ckel(3)/白藍/クープラン/フイ/きゃっぷ/存フリ/ドブコック(2)/誤解(2)/發狂亭怪樂(2)/ダリト/おさかな地獄/みやまる(2)/ちゅ〜犬/RUM(3)/おとうふ。/ヤバいマイケル屋さん/コハ/七草ななな(3)/モチオ/夜食/unknown/たそ/御曹司/じす(2)/かなやま/さかもと/放尿魔/ぺね(3)/えつこちゃん/monika/使われているユーザー名/紫電/さんだる/899/錆缶/鈴木ヘッジホッグ/投票ボーナス(3)
0799_6349_AUL,2023-12-27,151人,武器として漢字が配られたバトルロイヤル,NA,2位,放尿魔,ゴシック体じゃ僕は殺せないよ,48,78.2,白藍/蓮丸/三ル貝/ギサワ/灰色ギツネ(3)/たし/コレカタ(2)/桜桃/きゃっぷ/ドブコック/うら/wanumayu/夏目(兄)(3)/S'more…/らぷんつぇるん/コロコロムアニ(2)/鯨喰い猪瀬(3)/ノニバス/DJBK/むらさき/ころり/右代みゃ(2)/たそ/御曹司/じす/高だの高代/noricheng/すぐラップ&チルド/シルル紀前期/紅芋紫/軽自転車(2)/サルモネラ銀次郎/モチ/899/ぼんやり/投票ボーナス(3)
0799_6349_AUL,2023-12-27,151人,武器として漢字が配られたバトルロイヤル,NA,3位,むもん,「血」を指にはめて使う,47,77.27,ゃまゃま/丼もの/コレカタ(2)/鳴子レプシー/桜桃/たんまちお(2)/メイド・イン・ムーン/がんばりま翔/螺旋貝柱/誤解(3)/みすちーZ/えちえち/平凡ぽんち/こんなところにエビチリ(2)/ちゅ〜犬/七草ななな(2)/トニー・サンム(2)/北千住柱間(2)/新田.jpg/ころり(2)/unknown(2)/ドロレス・グランギニョル/阿吽/御曹司/すぐラップ&チルド/放尿魔/monika/ふるれ/サルモネラ銀次郎/899/最果てのほうじ茶/鈴木ヘッジホッグ/コックカワサキ(2)/投票ボーナス(3)
0799_6349_AUL,2023-12-27,151人,武器として漢字が配られたバトルロイヤル,NA,3位,メイド・イン・ムーン,友の墓に十を立てる,47,77.27,蓮丸(3)/幻/灰色ギツネ(3)/鼻くそゴリラ/きゃっぷ/がんばりま翔/土星/發狂亭怪樂/平凡ぽんち/おさかな地獄/夏目(兄)/なあはう/ちゅ〜犬/七草ななな(3)/鯨喰い猪瀬/新田.jpg/ノニバス(2)/DJBK/ウ段邂逅/夜食/unknown(2)/たそ/完備(2)/むもん/最後の在校生/じす/すぐラップ&チルド/紅芋紫/放尿魔/軽自転車/紫電/モチ/899/鈴木ヘッジホッグ/ぼんやり/投票ボーナス(3)
0799_6349_AUL,2023-12-27,151人,武器として漢字が配られたバトルロイヤル,NA,3位,モチ,「旧」が剣と盾になる,47,77.27,三ル貝/鼻くそゴリラ/EPOCALC/ド水(2)/ペンギン横移動/メイド・イン・ムーン/がんばりま翔/ドブコック(2)/誤解(2)/みすちーZ/こんなところにエビチリ(2)/wanumayu(2)/夏目(兄)/おとうふ。/コロコロムアニ/あかのすけ/ヤバいマイケル屋さん/ぼんぼら(2)/北千住柱間(2)/ノニバス(2)/unknown(2)/ドロレス・グランギニョル/むもん/最後の在校生/高だの高代/かなやま/noricheng/さかもと/Good insect/エクスタC/monika/軽自転車/ふるれ/きゃらめる/鈴木ヘッジホッグ/投票ボーナス(3)
0799_6349_AUL,2023-12-27,151人,武器として漢字が配られたバトルロイヤル,NA,6位,ぺね,大量の丶が落ちてるのを見て、何かがあったと悟る,45,75.42,蓮丸(2)/コレカタ/ド水/桜桃/螺旋貝柱/ドブコック(3)/wanumayu(3)/夏目(兄)(2)/なあはう/らぷんつぇるん(2)/ちゅ〜犬/RUM/あかのすけ/ヤバいマイケル屋さん/コハ/モチオ(2)/トニー・サンム/桃山ももたろう/むらさき/ウ段邂逅/あまちゃんIII/unknown/ごまもなか/男も育休/むもん/Good insect/シルル紀前期/エクスタC/放尿魔/サルモネラ銀次郎/umenerineri(2)/きゃらめる/コックカワサキ/投票ボーナス(3)
0799_6349_AUL,2023-12-27,151人,武器として漢字が配られたバトルロイヤル,NA,7位,二階から手続き,「三」「位」「一」「体」で4人が組んだ,43,73.56,ゃまゃま/コレカタ(2)/ゑくれあ/ド水/桜桃(2)/發狂亭怪樂/ダリト/おさかな地獄(3)/みやまる/コロコロムアニ(3)/あかのすけ/ヤバいマイケル屋さん/コハ(3)/ごまもなか/男も育休(2)/たそ/shiganhei/御曹司/じす/かなやま/noricheng(3)/さかもと/Good insect/エクスタC/くものす(2)/軽自転車/紫電/自動車部員/最果てのほうじ茶(2)/鈴木ヘッジホッグ
0799_6349_AUL,2023-12-27,151人,武器として漢字が配られたバトルロイヤル,NA,8位,たし,金八が悲しそうに人持ってる,42,72.64,蓮丸(3)/丼もの/クープラン/鳴子レプシー/ゑくれあ/メイド・イン・ムーン/螺旋貝柱/ドブコック/でーたら/發狂亭怪樂/えちえち(2)/平凡ぽんち/カナリカリガ・タカ/能動的三半規管(2)/らぷんつぇるん/おとうふ。/ぼんぼら/コハ(3)/nya-./北千住柱間/新田.jpg/御曹司(2)/じす/すぐラップ&チルド/紅芋紫/放尿魔(2)/えつこちゃん(2)/ふるれ/さんだる/ぼんやり/投票ボーナス(3)
0799_6349_AUL,2023-12-27,151人,武器として漢字が配られたバトルロイヤル,NA,9位,さかもと,強いから使ってるけど読めない,39,69.86,首まがりギャング(3)/ギサワ/コレカタ(3)/フイ/メイド・イン・ムーン/螺旋貝柱/でーたら/發狂亭怪樂(2)/えちえち/平凡ぽんち/ダリト/S'more…/なあはう/らぷんつぇるん/nya-./新田.jpg/桃山ももたろう/むらさき/ころり/むもん/阿吽/高だの高代/Good insect/えつこちゃん(2)/umenerineri(3)/綿白 雪/含有量/コックカワサキ/投票ボーナス(3)
0799_6349_AUL,2023-12-27,151人,武器として漢字が配られたバトルロイヤル,NA,10位,カナリカリガ・タカ,誰も「母」を盾にしてる奴に攻撃しない,36,67.08,白藍/幻/涙花/鼻くそゴリラ/ド水/メイド・イン・ムーン/きゃっぷ/ドブコック(2)/でーたら(2)/發狂亭怪樂/うら/こんなところにエビチリ(2)/みやまる/トニー・サンム/ノニバス/HS三遊間/むもん/最後の在校生/高だの高代/すぐラップ&チルド(2)/エクスタC/紅芋紫/綾浜(2)/えつこちゃん/使われているユーザー名/きゃらめる/綿白 雪/鈴木ヘッジホッグ/投票ボーナス(3)
