お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2268_5227_XQY,2024-01-09,105人,密着かたつむり24時のハイライト,NA,1位,でろ坊,海が見えてきた時ちょっと速かった,36,79.75,ダンシング爆弾/ホソカワタタ/随契(2)/てれび/金の卵/コックカワサキ(3)/さぼシス/ひぺりおん/むもん(2)/723(2)/ねこめんたい(2)/初ギプス/早寝き/ナンウィーズリー/指小屋/朤燚㵘䲜䨻/湯紙オフロ/デス・サップ/しゅーきち/すぎり(2)/gas/tansann/大喜利研究生31号/粉石鹸/あとひとつ流星群/ササキ/投票ボーナス(3)
2268_5227_XQY,2024-01-09,105人,密着かたつむり24時のハイライト,NA,2位,お嬢様ですわぁ,国道を渡りきった,34,77.13,達筆(2)/ダンシング爆弾/ホソカワタタ/紆余曲折/伯林/白いインク/てれび/ランゲル・ハンス/ゼンザイさん(2)/毒ぶどう/さりつかいし/指小屋/猫殴/黒胡椒/湯紙オフロ/生身/でろ坊/しゅーきち/犬ドリル/何ともなきふぐ汁/gas/tansann(2)/わたなべいびー/大喜利研究生31号/シーサイド品川/粉石鹸/きゃりーまらまら/雲ひとつない撒き餌/投票ボーナス(3)
2268_5227_XQY,2024-01-09,105人,密着かたつむり24時のハイライト,NA,2位,きゃりーまらまら,通った跡が「完」だった,34,77.13,ホソカワタタ/他のＰ/随契/白いインク/フェルメール/ランゲル・ハンス/金の卵(2)/ポコ軍/毒ぶどう/さぼシス/むもん/冷食パスタレビュー/すずきゆ/フローラ/少しだけ賢い/お嬢様ですわぁ/早寝き/デス・サップ/生身/すぎり(2)/犬ドリル/ミニお馬/わたなべいびー/一般/粉石鹸/あとひとつ流星群/たくみす(2)/偶然な風船/投票ボーナス(3)
2268_5227_XQY,2024-01-09,105人,密着かたつむり24時のハイライト,NA,4位,はどふ,生き返ったみたいなシーンある,32,74.52,シンマイ子/紆余曲折/ド天体(2)/白いインク/瀧山グングニル/ランゲル・ハンス/金の卵/ひぺりおん/むもん/723/kak/お嬢様ですわぁ/佐々木虚像/尾崎体育観/itibetu/指小屋/猫殴/かくだ/黒胡椒/でろ坊/しゅーきち/すぎり/犬ドリル/ミニお馬/gas/えちえち/わぎり/たくみす/投票ボーナス(3)
2268_5227_XQY,2024-01-09,105人,密着かたつむり24時のハイライト,NA,5位,ササキ,吠えた,31,73.21,達筆(3)/シンマイ子/てれび/はどふ/ランゲル・ハンス/さぼシス/むもん/冷食パスタレビュー/赤ドラの嶺上クス/宗教鍋/kesyousui/すずきゆ/オムライス畑/少しだけ賢い/佐々木虚像/指小屋/生身/わたなべいびー/ラジウス/シーサイド品川/ニナモリ/電車追いかけ殴り(3)/Shineman/きゃりーまらまら/投票ボーナス(3)
2268_5227_XQY,2024-01-09,105人,密着かたつむり24時のハイライト,NA,6位,ランゲル・ハンス,声出して笑った,30,71.9,達筆/ホソカワタタ/紆余曲折/他のＰ/きゃらめる/冷食パスタレビュー/赤ドラの嶺上クス/723/宗教鍋/初ギプス/上村/きたむら(3)/黒胡椒/生身/SY(3)/土星/ニナモリ/Shineman/きゃりーまらまら/イリシ(2)/ササキ(2)/投票ボーナス(3)
2268_5227_XQY,2024-01-09,105人,密着かたつむり24時のハイライト,NA,7位,偶然な風船,終盤こちらに向かってちょっとお辞儀をした,29,70.59,金の卵/Candy?/きゃらめる/すずきゆ(2)/初ギプス/佐々木虚像(2)/指小屋/上村/朤燚㵘䲜䨻/猫殴/かくだ/デス・サップ(2)/印税ライフ/しゅーきち(2)/すぎり(2)/一般/粉石鹸/ニナモリ/半丙太/イリシ(2)/投票ボーナス(3)
2268_5227_XQY,2024-01-09,105人,密着かたつむり24時のハイライト,NA,8位,あとひとつ流星群,ついに国境を越えた,27,67.97,達筆/ホソカワタタ/ド天体/てれび/ポコ軍(3)/ゼンザイさん/さぼシス/さりつかいし/むもん/オムライス畑/主食ワセリン/itibetu/上村/でろ坊/しゅーきち(2)/大喜利研究生31号/すぐラップ&チルド/ラジウス/シーサイド品川/三行半/雲ひとつない撒き餌/投票ボーナス(3)
2268_5227_XQY,2024-01-09,105人,密着かたつむり24時のハイライト,NA,9位,gas,加速する床なのに耐えてた,25,65.35,紆余曲折/ド天体/他のＰ/随契/白いインク/金の卵/毒ぶどう/さぼシス/むもん/kesyousui/初ギプス/くろねこ商会/早寝き/指小屋/朤燚㵘䲜䨻/かくだ/でろ坊/えちえち/ラジウス/粉石鹸/たくみす/ササキ/投票ボーナス(3)
2268_5227_XQY,2024-01-09,105人,密着かたつむり24時のハイライト,NA,9位,印税ライフ,エスカレーターに乗った,25,65.35,シンマイ子/紆余曲折/伯林/白いインク/金の卵/ポコ軍/毒ぶどう/さぼシス/さりつかいし/赤ドラの嶺上クス/723/宗教鍋/kesyousui/闇炒飯/指小屋/でろ坊/gas/大喜利研究生31号/ラジウス/シーサイド品川/たくみす(2)/投票ボーナス(3)
2268_5227_XQY,2024-01-09,105人,密着かたつむり24時のハイライト,NA,9位,固定残業代,好きな人の前では一人称が「マイマイ」になる,25,65.35,達筆/ゼンザイさん/さぼシス/ひぺりおん/ねこめんたい/少しだけ賢い/くろねこ商会/きたむら(3)/朤燚㵘䲜䨻/猫殴/かくだ(2)/生身/ミニお馬/わたなべいびー/粉石鹸/わぎり/ササキ(2)/偶然な風船/投票ボーナス(3)
