お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2075_5194_ZXF,2024-01-13,141人,口から出てきたら焦るもの第10位,NA,1位,chiwachiwa,発音しないg,61,100.57,林鍵太郎/やきとり/あっと/小林(3)/ハルトマン/シンマイ子/むもん/heena/やまもん/二百五重奏/片腕は諦めなさい/メソッド/サンプリ/まきな/アレイ(3)/unknown/あ行/えーす/新古今パパ2(3)/とほ/鈴木ヘッジホッグ/テツ/Y-Not/うしにょこ👉🐮👈/ハンムラビ証券/玄の字。/ナノナニカ(3)/みやまる/ゴータマ8/コトバの踊り場/ノコノコdeath/ボーイ/突然及川/化酸過水素(2)/偏差値2/清水り/新里　要/さとしき/あぐら/お菓子のゴミ/あまちゃんIII/かさぶた/けんちゃんねる/平凡ぽんち/最後の在校生/茄ッ子/不染(2)/パーくん/投票ボーナス(3)
2075_5194_ZXF,2024-01-13,141人,口から出てきたら焦るもの第10位,NA,2位,ヘルシー帝,今必要なネジ,41,78.16,お湯ドラ/やきとり/紅芋紫/シンマイ子/いち/リュウ02/裁判官ランキング/やまもん/片腕は諦めなさい(2)/メソッド/生身/達筆(2)/ここはが/アレイ(2)/マリオカート/とほ/Y-Not/阿吽/ナノナニカ/高見盛/支援魔(2)/ぬりかべ/なまこP/ボーイ/突然及川/さかもと(2)/リック/みみみT/新里　要/あばならばえばなので/えつこちゃん/みささぎ/平凡ぽんち/投票ボーナス(3)
2075_5194_ZXF,2024-01-13,141人,口から出てきたら焦るもの第10位,NA,2位,世界の牛肉,仕込んでないハト,41,78.16,お湯ドラ/ouou/あっと/みすちーZ/紅芋紫/あ〜ちゃん(2)/瀧山グングニル/二百五重奏/生身/サンプリ/立板に流水/えーす/エレメノピー/吉村/とほ/うしにょこ👉🐮👈/ハンムラビ証券(2)/マルイは二進法で5/玄の字。/プロトタイプ大前/じす/突然及川/koooooooki/おきおきひ/清水り/あぐら/けんちゃんねる/フユフク/尻海/きゃりーまらまら/MODY/茄ッ子/はどふ(2)/パーくん/けいすけ/投票ボーナス(3)
2075_5194_ZXF,2024-01-13,141人,口から出てきたら焦るもの第10位,NA,2位,清水り,ですわ,41,78.16,お湯ドラ/みすちーZ/紅芋紫/シンマイ子/冷食パスタレビュー/世界の牛肉/瀧山グングニル/生身/達筆(3)/まきな/えーす/吉村/テツ/ハンムラビ証券(2)/ぬりかべ/ぬこぐみ/ボーイ(2)/らぷんつぇるん(2)/ラプンツェル(2)/みみみT/さとしき(2)/お菓子のゴミ/かさぶた(2)/えつこちゃん(3)/最後の在校生/ふさふさマカオ/パーくん/新Goo/投票ボーナス(3)
2075_5194_ZXF,2024-01-13,141人,口から出てきたら焦るもの第10位,NA,5位,みささぎ,完璧なグラタン,40,77.04,やきとり/ouou/味噌と殴り合い/シンマイ子/冷食パスタレビュー/世界の牛肉/片腕は諦めなさい/メソッド/達筆(2)/ここはが/unknown/あ行(2)/にゃんごすちん/ハンムラビ証券(3)/ドゥラちゃん/阿吽/プロトタイプ大前(2)/高見盛/錆缶/ゲルマン康太郎/ぬこぐみ/突然及川/さかもと/jomajoma/がしけん/おきおきひ/清水り/新里　要/あまちゃんIII/尻海/茄ッ子/ムラジュン/投票ボーナス(3)
2075_5194_ZXF,2024-01-13,141人,口から出てきたら焦るもの第10位,NA,6位,冷食パスタレビュー,辞世の句,37,73.68,やきとり/みすちーZ/紅芋紫/heena/瀧山グングニル/片腕は諦めなさい/生身/えーす/覇道きてぃ/エレメノピー/スカー/吉村/工事茶(2)/鈴木ヘッジホッグ(2)/テツ/ナノナニカ(2)/支援魔/桜井赤/jomajoma/フイ/清水り(2)/お菓子のゴミ/最後の在校生/うわらば(3)/茄ッ子/ムラジュン/パーくん/chiwachiwa/投票ボーナス(3)
2075_5194_ZXF,2024-01-13,141人,口から出てきたら焦るもの第10位,NA,7位,おきおきひ,昨日入れた座薬,36,72.56,林鍵太郎/循環器/紅芋紫/むもん(2)/つゆだQ/二百五重奏/生身/ペス山ペス男/あ行(2)/とほ/にゃんごすちん/鈴木ヘッジホッグ/Y-Not/ナノナニカ/高見盛/支援魔(2)/ゴータマ8/じす(2)/なまこP/さかもと/らぷんつぇるん/koooooooki/あぐら/フユフク/うわらば(3)/茄ッ子/ミッチー/投票ボーナス(3)
2075_5194_ZXF,2024-01-13,141人,口から出てきたら焦るもの第10位,NA,8位,みみみT,大卒のザリガニ,33,69.2,お湯ドラ/やきとり/ハルトマン(2)/味噌と殴り合い/いち/つゆだQ/片腕は諦めなさい(2)/生身/失禁/新古今パパ2(2)/玄の字。/阿吽/みやまる/じす/ボーイ/フイ/偏差値2/koooooooki/がしけん/あばならばえばなので/ドロレス・グランギニョル/不染(3)/ゆうき/ムラジュン/パーくん/投票ボーナス(3)
2075_5194_ZXF,2024-01-13,141人,口から出てきたら焦るもの第10位,NA,8位,茄ッ子,スネ夫の声,33,69.2,渇望/世界の牛肉/つゆだQ/二百五重奏/ペス山ペス男/ここはが/えーす/女将/こうつべ/鈴木ヘッジホッグ(2)/Y-Not/玄の字。/みやまる(2)/あんぐら/突然及川/らぷんつぇるん/さとしき(2)/お菓子のゴミ/あまちゃんIII/かさぶた(2)/えつこちゃん(2)/平凡ぽんち/最後の在校生/尻海/パーくん/投票ボーナス(3)
2075_5194_ZXF,2024-01-13,141人,口から出てきたら焦るもの第10位,NA,10位,絶叫,固体のゲロ,31,66.95,林鍵太郎/小林(2)/みすちーZ/ハルトマン(2)/つゆだQ/ペス山ペス男/アレイ(2)/unknown(2)/あ行/覇道きてぃ/失禁/こうつべ/支援魔(2)/なまこP/突然及川/さかもと/jomajoma/koooooooki/さとしき(2)/あぐら/お菓子のゴミ/平凡ぽんち/ふさふさマカオ/不染/新Goo
