お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2506_1637_OZP,2024-01-15,69人,万引きGメン専門学校,NA,1位,カントリーマアム,万引きAメンから始まる,40,97.06,新古今パパ2/マット式としき(3)/CDTVをご覧のミナ/かるめら(3)/MODY/rrryo/ぽーちゃん/ちょっと大きいミニウサギ/くろねこ商会(2)/牛込神楽(2)/七転び直樹/ガーディアンゴーレム(2)/らぶ℃おる/寝たきりジェイソン/SorahanaLux/メガネザル/リセ/ハルトマン(3)/諏訪/ピエールバエッツ(2)/さいばハチ/クープラン/桶(3)/オムライス畑/フユフク/投票ボーナス(3)
2506_1637_OZP,2024-01-15,69人,万引きGメン専門学校,NA,2位,ポポ氏,「先生はどっちもやったから分かるんだけども～」,22,68.68,地位ラテアート/FZKB/カントリーマアム/ぽーちゃん/内田有紀(美人)/洋介山/七転び直樹/らぶ℃おる/SorahanaLux(2)/犬ピアッサ/諏訪/いくらチャン/ばか/イワザル/まやな/そろばん６級/otogi/フユフク/投票ボーナス(3)
2506_1637_OZP,2024-01-15,69人,万引きGメン専門学校,NA,3位,ちょっと大きいミニウサギ,技は先輩から盗みなさい,20,65.53,FZKB(3)/rrryo/山の麓/洋介山/毒ぶどう/黒胡麻/寝たきりジェイソン(2)/SorahanaLux/メガネザル/いくらチャン(2)/高だの高代/さりつかいし/そろばん６級/投票ボーナス(3)
2506_1637_OZP,2024-01-15,69人,万引きGメン専門学校,NA,4位,OWL,とった赤点全部見せて,19,63.95,良識/ラーギ/エスニック美女軍団/特殊人間/毒ぶどう/らぶ℃おる(2)/寝たきりジェイソン(2)/諏訪/さいばハチ/控えめなピース/ばか/ポリエステルの産物/three-all/そろばん６級/ガリメガネ(2)/otogi
2506_1637_OZP,2024-01-15,69人,万引きGメン専門学校,NA,5位,クロレラサイダー,芸術点がある,18,62.38,地位ラテアート/良識/ラーギ/みらくるたけしくん(3)/特殊人間/黒胡椒/黒胡麻/リセ/カエル販売機/二階から手続き/控えめなピース/クープラン/otogi/投票ボーナス(3)
2506_1637_OZP,2024-01-15,69人,万引きGメン専門学校,NA,5位,牛込神楽,ペアを組んで万引き側をやらされる,18,62.38,rrryo/内田有紀(美人)/特殊人間/山の麓/ミッチー/七転び直樹/ポポ氏/黒胡麻/ポャチ/たくみす/高だの高代/イワザル/そろばん６級/ぎん/フユフク/投票ボーナス(3)
2506_1637_OZP,2024-01-15,69人,万引きGメン専門学校,NA,7位,はちびっと,「お前あそこのコンビニでGメンしてこいよ」という謎のいじめがある,17,60.8,新古今パパ2/CDTVをご覧のミナ/地位ラテアート/MODY/ラーギ/ちょっと大きいミニウサギ/山の麓/ミッチー/メガネザル/クロレラサイダー/カエル販売機/さいばハチ/ばか/苔(3)/フユフク
2506_1637_OZP,2024-01-15,69人,万引きGメン専門学校,NA,7位,クープラン,万引き役の先生の手際が良すぎて怖い,17,60.8,良識/rrryo/ミッチー/リセ/ポャチ(2)/いくらチャン/カエル販売機/three-all/女将の見えざる手/ミスイ/そろばん６級/ぎん/メッテルニヒ/投票ボーナス(3)
2506_1637_OZP,2024-01-15,69人,万引きGメン専門学校,NA,9位,さりつかいし,起立、礼、索敵,16,59.23,MODY/カントリーマアム/ぽーちゃん/特殊人間/牛込神楽/黒胡椒/ハルトマン(3)/クロレラサイダー/さいばハチ/オムライス畑/ぎん/投票ボーナス(3)
2506_1637_OZP,2024-01-15,69人,万引きGメン専門学校,NA,9位,ガーディアンゴーレム,万引き専門学校との合同演習がある,16,59.23,みらくるたけしくん(2)/ちょっと大きいミニウサギ/くろねこ商会/ミッチー/牛込神楽(2)/いくらチャン/桶(2)/マチルダ少佐/そろばん６級/メッテルニヒ/投票ボーナス(3)
2506_1637_OZP,2024-01-15,69人,万引きGメン専門学校,NA,9位,マチルダ少佐,道徳道徳社会道徳,16,59.23,マット式としき(2)/CDTVをご覧のミナ/かるめら/地位ラテアート/ちょっと大きいミニウサギ/七転び直樹/犬ピアッサ/カエル販売機/さいばハチ/ポリエステルの産物/ガリメガネ/ぎん/投票ボーナス(3)
2506_1637_OZP,2024-01-15,69人,万引きGメン専門学校,NA,9位,ラーギ,担任がこっそり出席取る,16,59.23,内田有紀(美人)/特殊人間/洋介山/クマ牧場/毒ぶどう/ガーディアンゴーレム/リセ/たくみす/二階から手続き/ポリエステルの産物/three-all/オムライス畑/ぎん/投票ボーナス(3)
