お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1603_9542_MOG,2024-01-17,97人,蛾を褒めてください,NA,1位,哲学ミミズ,夜が始まった気する,33,75.87,DJBK/りくがめ/２度あることはサンドラ/不染(3)/ちぇみちぇみ！/デス・サップ/ぼんやり/あぐら/伯林/月の瞼/ぬこぐみ/open/簪(2)/すずきゆ/800/サメVS巨大タコス/おしゃる/冷食パスタレビュー/ポリエステルの産物/トカトントン/納豆腐/涙の数だけ強くなりました/むらさき/rayleigh/かがり火(2)/あまちゃん/投票ボーナス(3)
1603_9542_MOG,2024-01-17,97人,蛾を褒めてください,NA,2位,おしゃる,そろそろ2文字狙える,32,74.42,ペン/四川炒飯(2)/りくがめ(2)/デス・サップ/jomajoma/阿吽/哲学ミミズ/open/簪/すずきゆ/800/ガリメガネ(2)/タケキャブ(3)/山田生姜(2)/バム/石テクノロジー/ポリエステルの産物/ゼラチン/ベモペギ/rayleigh/すこや蟹/モンゴリアンカヌレ/あまちゃん/投票ボーナス(3)
1603_9542_MOG,2024-01-17,97人,蛾を褒めてください,NA,2位,ベモペギ,"女ウケ狙わないのカッコいいよね
",32,74.42,ペン/ピエールバエッツ/🌟/２度あることはサンドラ/yumiki930/鼻腔炭酸/あぐら/エキスポ万博/パラ味/内田有紀(美人)/茄ッ子/つくは/苔(2)/ひぺりおん/スクリーンショット(2)/わんこそば/おしゃる/あけぼの/とんでも左大臣/トカトントン(2)/ナノナニカ/炭素(3)/絶叫/あまちゃん/投票ボーナス(3)
1603_9542_MOG,2024-01-17,97人,蛾を褒めてください,NA,4位,ぬこぐみ,まず孤高だよね,30,71.52,🌟/阿吽/こぼれおちないCH/ぼんやり/伯林/大吉(2)/犬ドリル/ラーギ/すずきゆ/スクリーンショット(2)/サメVS巨大タコス/北千住柱間(2)/山田生姜/shika shika/石テクノロジー/2周年🍵/ポリエステルの産物/トカトントン(3)/ベモペギ/rayleigh/雑兵/あまちゃん/投票ボーナス(3)
1603_9542_MOG,2024-01-17,97人,蛾を褒めてください,NA,4位,仁義,俺も背中これがいい,30,71.52,寿司らぎ/りくがめ/ちぇみちぇみ！/阿吽/うわらば(2)/哲学ミミズ/エキスポ万博/月の瞼/内田有紀(美人)/つくは/800/ひぺりおん/スクリーンショット(3)/ふわっと/サメVS巨大タコス/北千住柱間(2)/山田生姜/石テクノロジー/イワザル/rayleigh/グリ坊/雑兵/あまちゃん/投票ボーナス(3)
1603_9542_MOG,2024-01-17,97人,蛾を褒めてください,NA,6位,marakasu,こんな夜遅くまで,29,70.08,バナナ切り機/国産/あとひとつ流星群/ぼんやり/鼻腔炭酸/あぐら/エキスポ万博/伯林/大吉/月の瞼/ちびのっぽ(2)/或る日/茄ッ子/ふわっと/ハ生ム/コナミスポーツ/山田生姜/shika shika/2周年🍵/ポリエステルの産物/ナノナニカ/💃/rayleigh/グリ坊/かがり火(2)/絶叫/あまちゃん
1603_9542_MOG,2024-01-17,97人,蛾を褒めてください,NA,7位,800,裏も描いてるじゃん,28,68.63,りくがめ/🌟(3)/２度あることはサンドラ/ごくぶとしっと/あとひとつ流星群/鼻腔炭酸/哲学ミミズ/ちびのっぽ/open/メメントモリ/すずきゆ/スクリーンショット(2)/ラールラン/バム/ポリエステルの産物/ナノナニカ/納豆腐/リック/💃/かがり火(2)/あまちゃん/投票ボーナス(3)
1603_9542_MOG,2024-01-17,97人,蛾を褒めてください,NA,7位,鼻腔炭酸,閉まってたのに凄い,28,68.63,国産/りくがめ/jomajoma/えちえち/エキスポ万博/open/すずきゆ/800/スクリーンショット(2)/北千住柱間/山田生姜/おしゃる/shika shika/とんでも左大臣/ポリエステルの産物/ナンムラ(3)/ベモペギ/すこや蟹(2)/ジブチ/絶叫/あまちゃん/投票ボーナス(3)
1603_9542_MOG,2024-01-17,97人,蛾を褒めてください,NA,9位,エキスポ万博,闇属性かつ光属性だよな,27,67.18,DJBK/寿司らぎ/国産/わろく(2)/デス・サップ/あぐら/哲学ミミズ/パラ味/犬ドリル/茄ッ子/つくは/すずきゆ/マイケルコース/ひぺりおん/レジ袋(2)/ラールラン/北千住柱間(2)/山田生姜/納豆腐/イワザル/あまちゃん/投票ボーナス(3)
1603_9542_MOG,2024-01-17,97人,蛾を褒めてください,NA,10位,open,よく見るまで蝶,24,62.83,国産/ごくぶとしっと/仁義/デス・サップ/阿吽/えちえち/ぼんやり/股の山先生(2)/大吉(2)/犬ドリル/800/レジ袋/shika shika/石テクノロジー/ゼラチン/ベモペギ/グリ坊/ランゲル・ハンス/あまちゃん/投票ボーナス(3)
