お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1906_3468_VRQ,2024-01-19,134人,糸電話がスマホに勝っているところを教えてください,NA,1位,にゃいぬ,会社から電話が来ない,52,88.73,支援魔/教皇領/りゃんぺこ/るーりき/あの日のニンニ/ぼんやり/たこかいな/大宮にいえ(2)/柚苑/ひぺりおん/断定の助動詞なり連用形/ポコ軍/💃/ハッスル運動会/シンマイ子/はちわれ/オチカ/8億/なに(3)/満天星まいてぃん/ナシよ/モチオ/ナゲット・ワイルド(2)/屋内用雨傘/まお/まさしまさお/やる/ハ生ム/しばとも/せりか/あきらマシーン/まねきたぬ/rayleigh/マカマカエキス/大ちゃんす/ラプンツェル/えちえち/shiganhei/カッツー/そろばん６級/とほ/かと/鼻腔炭酸/桜井赤/クロレラサイダー/投票ボーナス(3)
1906_3468_VRQ,2024-01-19,134人,糸電話がスマホに勝っているところを教えてください,NA,2位,まさしまさお,電話しながらスマホを触れる,49,85.46,教皇領(3)/りゃんぺこ(2)/899/愛²/あの日のニンニ(2)/ぼんやり/ひぺりおん/ペン/断定の助動詞なり連用形/ポコ軍/ドロレス・グランギニョル(3)/ハッスル運動会(2)/ラヴアンドラヴ佐竹(3)/シンマイ子/オチカ/度蔵まぐら(2)/こんなところにエビチリ(2)/アホランド(2)/Ponchoruno(2)/屋内用雨傘/りゅーちん/エレメノピー/けんけんぱ/牛込神楽/バジルごはん/ねくび/T-FOX/カッツー/２度あることはサンドラ/桜井赤/机上で実演(2)/汁物勢/投票ボーナス(3)
1906_3468_VRQ,2024-01-19,134人,糸電話がスマホに勝っているところを教えてください,NA,3位,年金,「電話」を名乗る厚かましさ,47,83.28,教皇領(2)/何奴/りゃんぺこ(2)/るーりき/TGTRK/much(3)/にゃいぬ(3)/大宮にいえ(2)/自称賞レースマニア/ドロレス・グランギニョル(2)/💃/詐病立米/ニンジャラマ/富士夫(3)/ラヴアンドラヴ佐竹/はちわれ/たくみす(2)/こんなところにエビチリ/Ponchoruno(2)/魚粉/うわらば(2)/ほろほろ/牛込神楽(2)/歯車元気印(2)/rrryo/T-FOX/えちえち/4Vクリムガン/リュカオン/投票ボーナス(3)
1906_3468_VRQ,2024-01-19,134人,糸電話がスマホに勝っているところを教えてください,NA,4位,どぅ,民度が良い,46,82.19,教皇領/りゃんぺこ/おだンゴ/たこかいな(2)/much(3)/wanumayu/otogi(2)/断定の助動詞なり連用形/ノビッタ/工事茶/詐病立米/オチカ/満天星まいてぃん/度蔵まぐら/ゲルマン康太郎/モチオ/屋内用雨傘/自然光/やる/ほろほろ/長老_M/しばとも/せりか/クープラン/ヤシの木/No Image/倹飩箱(3)/白いインク/マカマカエキス/ボーイ(3)/とほ/年金/yumiki930/桜井赤/汁物勢/投票ボーナス(3)
1906_3468_VRQ,2024-01-19,134人,糸電話がスマホに勝っているところを教えてください,NA,5位,屋内用雨傘,故障の原因がすぐわかる,38,73.48,半丙太(2)/るーりき/899/あの日のニンニ/たこかいな/much/ドロレス・グランギニョル/💃/ハッスル運動会/シンマイ子/はちわれ/8億/度蔵まぐら(2)/アホランド/Ponchoruno/やる/ハ生ム/けんけんぱ/ほろほろ/ららら/知恵の輪/せりか/No Image/カワセミ/T-FOX/マカマカエキス/えちえち/shiganhei/女将/そろばん６級/mrm(2)/鼻腔炭酸/投票ボーナス(3)
1906_3468_VRQ,2024-01-19,134人,糸電話がスマホに勝っているところを教えてください,NA,6位,迷探亭困難,誘拐犯の居場所が分かる,36,71.3,支援魔(2)/りゃんぺこ/899/あの日のニンニ(2)/TGTRK(2)/たこかいな(3)/ひぺりおん/詐病立米/ニンジャラマ/8億/度蔵まぐら(2)/まちょ/屋内用雨傘/まお/けんけんぱ/どぅ/長老_M/せりか/あきらマシーン/山の麓/T-FOX/白いインク/そろばん６級/かと(2)/yumiki930/桜井赤/投票ボーナス(3)
1906_3468_VRQ,2024-01-19,134人,糸電話がスマホに勝っているところを教えてください,NA,7位,たこかいな,いきなり用件から入る人がいない,34,69.12,マルイは二進法で5/半丙太/りゃんぺこ/おだンゴ/TGTRK/大宮にいえ/柚苑/ひぺりおん/断定の助動詞なり連用形(2)/ポコ軍(3)/ニンジャラマ/ハッスル運動会/ケチャナ/はちわれ/こんなところにエビチリ(2)/Ponchoruno/ヤシの木/rrryo(2)/ココア/えちえち/shiganhei/いえろーず/そろばん６級/かと/年金/yumiki930/投票ボーナス(3)
1906_3468_VRQ,2024-01-19,134人,糸電話がスマホに勝っているところを教えてください,NA,8位,BBG,辿れば会える,32,66.94,支援魔/おだンゴ/おっまる/wanumayu(2)/otogi(2)/ひぺりおん/断定の助動詞なり連用形/💃/シンマイ子/屋内用雨傘/自然光/魚粉/ハ生ム/バジルごはん/長老_M/しばとも/ららら/あきらマシーン/ヤシの木/No Image/rayleigh(2)/マカマカエキス/たまごと呼ばれて３年目/女将/そろばん６級/とほ/年金/鼻腔炭酸/クロレラサイダー
1906_3468_VRQ,2024-01-19,134人,糸電話がスマホに勝っているところを教えてください,NA,8位,大ちゃんす,依存性がない,32,66.94,支援魔/るーりき/899/おだンゴ/たこかいな(2)/much(3)/おっまる/大宮にいえ/ケチャナ/ナゲット・ワイルド/やる/ハ生ム/牛込神楽/しばとも/ららら/知恵の輪/ポポ氏/ココア/マカマカエキス/ラプンツェル/カッツー/いえろーず/そろばん６級/かと/mrm/汁物勢/投票ボーナス(3)
1906_3468_VRQ,2024-01-19,134人,糸電話がスマホに勝っているところを教えてください,NA,10位,支援魔,嫌いな人には繋がらない,31,65.85,マルイは二進法で5/半丙太/りゃんぺこ/あの日のニンニ/TGTRK/nrt/柚苑(2)/断定の助動詞なり連用形/工事茶/💃/はちわれ/ナシよ/屋内用雨傘/自然光(2)/けんけんぱ/バジルごはん/長老_M/ららら/せりか/ねくび/rrryo/T-FOX/女将/いえろーず/そろばん６級/とほ/投票ボーナス(3)
1906_3468_VRQ,2024-01-19,134人,糸電話がスマホに勝っているところを教えてください,NA,11位,おだンゴ,何の躊躇もなく貸せる,29,63.68,nrt/much/wanumayu/半裸/ペン/ニンジャラマ/ハッスル運動会/ケチャナ/ラヴアンドラヴ佐竹/たくみす/満天星まいてぃん/こんなところにエビチリ(2)/ナゲット・ワイルド/自然光/やる/ハ生ム/牛込神楽/長老_M/ネクストン/ラプンツェル/リュカオン(2)/かと/yumiki930/鼻腔炭酸/投票ボーナス(3)
1906_3468_VRQ,2024-01-19,134人,糸電話がスマホに勝っているところを教えてください,NA,11位,おっまる,初期費用,29,63.68,マルイは二進法で5/るーりき/much(2)/wanumayu/MODY/ペン/詐病立米/ラヴアンドラヴ佐竹/シンマイ子/なに(3)/ナシよ/モチオ/せりか/ポポ氏/まねきたぬ/ボーイ(3)/ラプンツェル/shiganhei/女将/西口音弥/とほ/投票ボーナス(3)
1906_3468_VRQ,2024-01-19,134人,糸電話がスマホに勝っているところを教えてください,NA,11位,こんなところにエビチリ,資本主義から遠い,29,63.68,何奴(2)/愛²/ペン/断定の助動詞なり連用形/ドロレス・グランギニョル/たくみす(2)/度蔵まぐら/Ponchoruno(2)/自然光/九/やる/ららら/歯車元気印(2)/竹トイレブラシ(2)/リュカオン(2)/いえろーず/桜井赤/クロレラサイダー(2)/机上で実演/投票ボーナス(3)
1906_3468_VRQ,2024-01-19,134人,糸電話がスマホに勝っているところを教えてください,NA,14位,年下の義母,第一声のもしもしって言うワクワク,28,62.59,899/nrt/にゃいぬ(3)/ノビッタ/工事茶/💃/ケチャナ/こんなところにエビチリ/ナシよ/ナゲット・ワイルド/アホランド/Ponchoruno(2)/ららら/ネクストン(3)/マカマカエキス(2)/ラプンツェル/カッツー/自由人/iiha/西口音弥(3)
