お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,1位,DJBK,「せーの」が入る,42,84.38,A4/ハロ山(3)/すずきゆ(3)/カナダ/モロダッシュ/中川圭一/松尾/頓挫のぴ/はちわれ/肩叩き けん/ぎゃら/けつの園/愛鯉家/石蓴(3)/ベリー/緯度/ツルミチッ素/２度あることはサンドラ/でかいミニバン/まさに肩叩きまさし/土編に花でゴミと読む/A19078/ゆっくりして7月(2)/フイ/めっけもん/長老_M/国王/ごじょう　さとらない/えいり/モチ(2)/彩雨/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,2位,土編に花でゴミと読む,実話になった,39,80.58,射的屋/北千住柱間(3)/A4/ミスティカティ/含有量(2)/Qr(2)/9月が終わったら起こして/こぼれおちないCH/紗和和和/らうかった/ぎゃら/けつの園/テツ/おばすん(2)/まさに肩叩きまさし(3)/のとさわ/長老_M/国王(2)/野生のインドカレー/ぷるちぽん/モチ/所々ジョージ(2)/ポンポコ/なめらかな斜面(2)/おひたし蒐集家(2)/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,3位,幻,笑いが起こらないNGシーン,37,78.05,射的屋(2)/北千住柱間(2)/A4/ミスティカティ/すずきゆ/iiha/カナダ/含有量/煮込みVUITTON/Qr/エキスポ万博(2)/焼酎師/ベモペギ/肩叩き けん/クルペッコの手羽元/おばすん(2)/のとさわ/A19078/ゆっくりして7月(2)/長老_M/国王/イワザル/やきとり/デス・サップ/ケイオス盤/冷凍トイレ/所々ジョージ/おひたし蒐集家(2)/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,4位,ロール,弁当が2個余る,35,75.52,射的屋(2)/半丙太/DJBK/すずきゆ/煮込みVUITTON/松尾/低血圧/9月が終わったら起こして/こぼれおちないCH(2)/紗和和和/ぎゃら/rayleigh/けつの園/テツ/PD(2)/でかいミニバン/まさに肩叩きまさし(3)/のとさわ/土編に花でゴミと読む/鼻腔炭酸/シードル/でろ坊/田んぼアート/そろばん６級/ごじょう　さとらない/やきとり(3)/えいり/ここはが
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,5位,低血圧,歯が無いエンディングだった,33,72.99,ラッセン/スポーツバッグ/半丙太/DJBK/幻/中川圭一/でーたら/エキスポ万博/突然及川/能動的三半規管/はちわれ/紗和和和/けつの園/ベリー/緯度/フイ/長老_M/でろ坊/ターンブル/イワザル/ぷるちぽん/そろばん６級/えび/モチ/冷凍トイレ/所々ジョージ(3)/ここはが/とらぼーい/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,6位,おひたし蒐集家,爆発が遠い,32,71.73,ポポ氏/ラッセン/りゅみぐらす/汁物勢/煮込みVUITTON/Qr/9月が終わったら起こして/でーたら/焼酎師/らうかった/自動車部員/やる/ベリー(2)/満天星まいてぃん/PD/でかいミニバン(2)/のとさわ/でろ坊/野生のインドカレー/そろばん６級/ごじょう　さとらない/所々ジョージ(2)/ここはが/とらぼーい/なめらかな斜面/彩雨/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,7位,PD,目つぶって飛ぶ,30,69.2,スポーツバッグ/汁物勢/iiha/幻/shika shika/中川圭一/9月が終わったら起こして/はちわれ/紗和和和/ぎゃら/rayleigh/けつの園(3)/やる/ベリー/ちょっと大きいミニウサギ/テツ/chiwachiwa/土編に花でゴミと読む/長老_M/ぷるちぽん/えいり/ここはが/とらぼーい/おひたし蒐集家/大ちゃんす/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,7位,エキスポ万博,口論メインの殺陣,30,69.2,ポポ氏/ラッセン/北千住柱間(2)/るーりき/ド天体(3)/Qr/はちわれ/らうかった/けつの園/愛鯉家/やる/満天星まいてぃん/ろいやる/chiwachiwa/A19078/長老_M/国王/田んぼアート/プレーン味のワニ(2)/ごじょう　さとらない/モチ/ケイオス盤/所々ジョージ/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,7位,含有量,演技じゃない怯えある,30,69.2,射的屋/北千住柱間/ハロ山/カナダ/中川圭一/Qr/でーたら/頓挫のぴ/らうかった/しゅうしゅう/ベモペギ/肩叩き けん/石蓴/満天星まいてぃん/緯度/テツ/おばすん/ツルミチッ素/PD/２度あることはサンドラ/土編に花でゴミと読む/フイ/えいり/モチ/冷凍トイレ/彩雨(2)/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,10位,ギサワ,座ったまま助けた,25,62.87,半丙太/ハロ山(2)/汁物勢/幻/ド天体/はいどぼーい/中川圭一/煮込みVUITTON/Qr/低血圧/9月が終わったら起こして/エキスポ万博/ベモペギ/ぎゃら/rayleigh/やる/ウラニワ/ツルミチッ素/chiwachiwa/土編に花でゴミと読む/そろばん６級/モチ/ここはが/なめらかな斜面
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,11位,けつの園,｢ヘルメットが大流行りしている世界の話｣という設定になった,24,61.61,wowwow/A4/モロダッシュ/松尾(2)/エキスポ万博/しゅうしゅう/肩叩き けん/満天星まいてぃん/ろいやる/のとさわ/イワザル/プレーン味のワニ(2)/えび/固定残業代/終電卍(2)/やきとり/デス・サップ/冷凍トイレ/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,11位,ここはが,口の説明が多い,24,61.61,ポポ氏/スポーツバッグ/DJBK/モロダッシュ/shika shika/松尾/低血圧/9月が終わったら起こして/でーたら/らうかった/ぎゃら/やる/緯度/テツ/PD/chiwachiwa/のとさわ/国王/田んぼアート/所々ジョージ/彩雨/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,11位,焼酎師,エンドロールが「故○○へ捧ぐ」だらけ,24,61.61,ラッセン/北千住柱間(3)/DJBK/ミスティカティ/るーりき(2)/こぼれおちないCH/肩叩き けん/ぎゃら/石蓴/おばすん/イワザル/そろばん６級/固定残業代/ごじょう　さとらない/デス・サップ/ケイオス盤/冷凍トイレ/彩雨/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,14位,こぼれおちないCH,所々、アニメ化した,23,60.34,ポポ氏/北千住柱間/幻/昭和のにほひ/頓挫のぴ/突然及川/rayleigh/愛鯉家/おばすん/鼻腔炭酸/野生のインドカレー/ターンブル/田んぼアート(2)/プレーン味のワニ/そろばん６級/えいり/所々ジョージ/ポンポコ/大ちゃんす/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,14位,ベリー,すみませんが多い,23,60.34,射的屋/すずきゆ/9月が終わったら起こして/エキスポ万博/突然及川/ベモペギ/石蓴(2)/テツ/ツルミチッ素/土編に花でゴミと読む/ゆっくりして7月/フイ/めっけもん/長老_M/国王(2)/ターンブル/とらぼーい/ろむ07/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,16位,wowwow,死んでも良いように法の無い国で撮る,22,59.08,射的屋/北千住柱間/ハロ山/はいどぼーい/石蓴/でかいミニバン/のとさわ/シードル/めっけもん/野生のインドカレー/イワザル/プレーン味のワニ/そろばん６級/固定残業代(2)/ポンポコ/なめらかな斜面(2)/大ちゃんす/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,16位,ド天体,今、ゴキっていった,22,59.08,すずきゆ/るーりき/中川圭一/昭和のにほひ/9月が終わったら起こして/ぎゃら/石蓴(2)/ベリー(2)/緯度/ターンブル/やきとり(3)/えいり/ケイオス盤/なめらかな斜面/大ちゃんす/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,16位,中川圭一,テーブルに上がって降りる,22,59.08,スポーツバッグ/半丙太/A4/汁物勢/iiha/煮込みVUITTON/頓挫のぴ/ぎゃら/rayleigh/自動車部員/ベリー/ろいやる/のとさわ/シードル/フイ/ムラジュン/そろばん６級/ここはが/彩雨/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,19位,ぷるちぽん,エンドロールに【訃報】の欄がある,21,57.81,北千住柱間/DJBK/昭和のにほひ/突然及川/能動的三半規管(3)/ぎゃら/クルペッコの手羽元/おばすん/A19078/シードル/長老_M/国王/イワザル/やきとり/ポンポコ/ろむ07/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,20位,rayleigh,驚いてる群衆ばっかり出てくる,20,56.55,りゅみぐらす/ハロ山/汁物勢/すずきゆ(2)/でーたら/突然及川/紗和和和/ベモペギ/やる/満天星まいてぃん/ちょっと大きいミニウサギ/でかいミニバン/長老_M/プレーン味のワニ(2)/とらぼーい/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,20位,ぎゃら,エンドロールに「故人」の一覧も出た,20,56.55,ポポ氏/北千住柱間/A4/DJBK/他のＰ/shika shika/昭和のにほひ/突然及川/自動車部員/クルペッコの手羽元/A19078/フイ/野生のインドカレー/そろばん６級/所々ジョージ/彩雨/おひたし蒐集家/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,20位,しゅうしゅう,今日はここまでにしといてやるぜしか言わない,20,56.55,wowwow/北千住柱間/るーりき/モロダッシュ/松尾/でーたら/はちわれ/らうかった/ベリー/でかいミニバン/A19078/長老_M/ムラジュン/田んぼアート(2)/ここはが/彩雨/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,20位,らうかった,音だけで楽しむ時間がある,20,56.55,ド天体/煮込みVUITTON/低血圧/突然及川/テツ/土編に花でゴミと読む/A19078/ゆっくりして7月/フイ/めっけもん/プレーン味のワニ/冷凍トイレ/メメントモリ/ポンポコ/彩雨/おひたし蒐集家(2)/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,20位,ポンポコ,おまけのNGシーンが本編より長くなった,20,56.55,北千住柱間/りゅみぐらす/A4/含有量(2)/shika shika/ぎゃら/緯度/クルペッコの手羽元/テツ/２度あることはサンドラ/A19078(2)/終電卍/ケイオス盤/冷凍トイレ/彩雨/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,25位,Qr,葬式も映画の中でやった,19,55.28,半丙太(2)/DJBK/るーりき/幻/でーたら/能動的三半規管/紗和和和/chiwachiwa/めっけもん/長老_M/ムラジュン/ターンブル/そろばん６級/所々ジョージ/ポンポコ/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,25位,すずきゆ,だいたい顔のアップ,19,55.28,北千住柱間/りゅみぐらす/ミスティカティ/shika shika/でーたら/しゅうしゅう/rayleigh/やる/ベリー/ちょっと大きいミニウサギ/緯度/ツルミチッ素/めっけもん/固定残業代/えいり/とらぼーい/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,25位,ちょっと大きいミニウサギ,いらすとや多用,19,55.28,すずきゆ/るーりき/shika shika/突然及川/こぼれおちないCH/ぎゃら/満天星まいてぃん/鼻腔炭酸(2)/フイ/そろばん６級/終電卍/冷凍トイレ/ポンポコ/彩雨/おひたし蒐集家/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,25位,テツ,主役の顔が変わっていった,19,55.28,北千住柱間(2)/ミスティカティ(2)/汁物勢/幻/松尾/能動的三半規管/紗和和和/やる/緯度/土編に花でゴミと読む/フイ/ムラジュン/メメントモリ/大ちゃんす/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,25位,彩雨,呆然とする時間がある,19,55.28,ポポ氏/ラッセン/北千住柱間/半丙太/汁物勢/含有量/煮込みVUITTON/Qr/9月が終わったら起こして/エキスポ万博/ちょっと大きいミニウサギ/ウラニワ/ツルミチッ素/でかいミニバン/土編に花でゴミと読む/デス・サップ/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,25位,突然及川,最終日まとめて撮る,19,55.28,shika shika/エキスポ万博/焼酎師/紗和和和/らうかった/石蓴/満天星まいてぃん/ウラニワ/ツルミチッ素/PD/でかいミニバン/土編に花でゴミと読む/田んぼアート/ここはが/メメントモリ/なめらかな斜面/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,31位,9月が終わったら起こして,爆発で居なくなる,18,54.02,半丙太/カナダ/Qr/ベモペギ/自動車部員/やる/PD/野生のインドカレー/そろばん６級/えび/モチ/ここはが/メメントモリ/なめらかな斜面/大ちゃんす/投票ボーナス(3)
2151_4071_UUO,2024-01-23,116人,スタントマンを雇えなかったアクション映画で起きたこと,NA,31位,そろばん６級,アニメ化決定！,18,54.02,スポーツバッグ/カナダ/幻/shika shika/松尾(2)/能動的三半規管(2)/ベモペギ/ぎゃら/テツ/２度あることはサンドラ/固定残業代/ごじょう　さとらない/えいり/投票ボーナス(3)
