お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0339_8530_KOT,2024-01-25,112人,デッサン中もずっと喋ってるヌードモデル,NA,1位,砂漠,こっちも脱ぐと黙る,38,83.8,💃/台湾まぜそば/カタン/ポコ軍/カツカリーパン食え(2)/ざいふぉお(3)/古い絵画/くらばやし/ミド/低血圧/ウラニワ/お雑煮ボーリング/おおちゃん@ジャン鶴/まいにちコンビーフ/雲ひとつない撒き餌/がんばりま翔/かみそん/腹痛/ぎゃら/クルペッコの手羽元/大納豆/さすけのお兄/myama/カジハラ(3)/ゆっくりして7月/葱仮面/トニー・サンム/バニラソフト/コハ/リュカオン/投票ボーナス(3)
0339_8530_KOT,2024-01-25,112人,デッサン中もずっと喋ってるヌードモデル,NA,2位,でろ坊,マジマジここ7針,34,78.13,💃/えちえち/Y-Not/コレカタ(2)/ざいふぉお(2)/iakuro/ハ生ム/マルチャーナごめんね/緯度/おやつのピーナッツ/マルヤマ/両者うつ伏せ/お雑煮ボーリング/おおちゃん@ジャン鶴/雲ひとつない撒き餌/tasko/初対面/断定の助動詞なり連用形/ハゼバトラー　くにお(2)/とんちー/ぎゃら/松尾/イワザル/絶命/myama/てっぺんざしお/羊水/shiganhei/投票ボーナス(3)
0339_8530_KOT,2024-01-25,112人,デッサン中もずっと喋ってるヌードモデル,NA,3位,イワザル,一つ一つの傷にエピソードがある,32,75.29,ぐれいそん/花火の様(2)/ポコ軍(3)/Y-Not/アナブキラク/コレカタ/A4/atatakaimizu/クマ牧場/両者うつ伏せ/瀧野/メソッド/まかないフードファイター/新Goo/ゃまゃま/背骨増し増し/ボチョムキン/さすけのお兄/エキスポ万博/GYAI/shiganhei/マルイは二進法で5/あとひとつ流星群/立板に流水(2)/ひとじまくん/投票ボーナス(3)
0339_8530_KOT,2024-01-25,112人,デッサン中もずっと喋ってるヌードモデル,NA,4位,メソッド,こことかむずいっしょ,29,71.04,でろ坊/カタン/Y-Not/星ドッラ/アナブキラク/ざいふぉお/ポリエステルの産物/くらばやし/緯度/ミド/お雑煮ボーリング(2)/初対面/断定の助動詞なり連用形/ぎゃら/ゃまゃま/イワザル/絶命/大納豆/ボーイ/てっぺんざしお/りくがめ/GYAI/ToraChan/あとひとつ流星群/ひとじまくん/投票ボーナス(3)
0339_8530_KOT,2024-01-25,112人,デッサン中もずっと喋ってるヌードモデル,NA,4位,新Goo,どう痒いか説明してくる,29,71.04,きまぐれ/アナブキラク/コレカタ/A4/くらばやし/atatakaimizu/ミド/低血圧/おおちゃん@ジャン鶴/まいにちコンビーフ/メソッド/断定の助動詞なり連用形/がんばりま翔/ぎゃら/松尾/大納豆/ボチョムキン/さすけのお兄/てっぺんざしお/エキスポ万博/ゆっくりして7月(2)/GYAI/葱仮面/ハメ鳥太郎/トニー・サンム/投票ボーナス(3)
0339_8530_KOT,2024-01-25,112人,デッサン中もずっと喋ってるヌードモデル,NA,6位,でかいミニバン,私がまだ描く側だった時にね,28,69.62,パブロ風の犬/ぐれいそん/でろ坊/カタン(2)/星ドッラ/コレカタ(2)/ポリエステルの産物/iakuro/緯度/クマ牧場/おおちゃん@ジャン鶴/雲ひとつない撒き餌/大ちゃんす/まかないフードファイター/断定の助動詞なり連用形/新Goo/腹痛/ぎゃら/いい感じ/ゆっくりして7月/GYAI/葱仮面/メイド・イン・ムーン/バニラソフト/けいすけ/ひとじまくん
0339_8530_KOT,2024-01-25,112人,デッサン中もずっと喋ってるヌードモデル,NA,6位,クルペッコの手羽元,皆一回ペン置こう,28,69.62,きまぐれ/Y-Not/星ドッラ/コレカタ(2)/くらばやし(2)/atatakaimizu/ウラニワ/おくら/お雑煮ボーリング/おおちゃん@ジャン鶴/まいにちコンビーフ(2)/雲ひとつない撒き餌/初対面/断定の助動詞なり連用形(2)/いい感じ/松尾(2)/大納豆/ボチョムキン/幻/マルイは二進法で5/投票ボーナス(3)
0339_8530_KOT,2024-01-25,112人,デッサン中もずっと喋ってるヌードモデル,NA,8位,バニラソフト,親にはね、嘘ついてるの,26,66.78,でろ坊/ポコ軍/星ドッラ/ざいふぉお(2)/古い絵画/干し柿/緯度/クマ牧場/両者うつ伏せ/瀧野/初対面/断定の助動詞なり連用形(2)/がんばりま翔/絶命/クルペッコの手羽元/kak/ボーイ/葱仮面/メイド・イン・ムーン/けいすけ/あとひとつ流星群/投票ボーナス(3)
0339_8530_KOT,2024-01-25,112人,デッサン中もずっと喋ってるヌードモデル,NA,8位,ポリエステルの産物,メモみたいな絵になる,26,66.78,💃(2)/パブロ風の犬/BBG(2)/マルチャーナごめんね/atatakaimizu/ウラニワ/砂漠/瀧野/雲ひとつない撒き餌/tasko/断定の助動詞なり連用形/がんばりま翔/新Goo/ぎゃら/イワザル/マイケルコース/さすけのお兄/エキスポ万博/GYAI/羊水/幻/投票ボーナス(3)
0339_8530_KOT,2024-01-25,112人,デッサン中もずっと喋ってるヌードモデル,NA,10位,カタン,まだ脱げるけどどうする？,25,65.37,パブロ風の犬/台湾まぜそば/iakuro(2)/くらばやし/マルチャーナごめんね/atatakaimizu(2)/ミド/瀧野/メソッド/大ちゃんす/tasko/初対面/腹痛/スカー/ボーイ(2)/てっぺんざしお/諏訪/ハメ鳥太郎/幻/投票ボーナス(3)
0339_8530_KOT,2024-01-25,112人,デッサン中もずっと喋ってるヌードモデル,NA,10位,両者うつ伏せ,トークも赤裸々だった,25,65.37,きまぐれ/カツカリーパン食え/アナブキラク/iakuro/A4/緯度/マルヤマ/匍匐(3)/まかないフードファイター/かみそん(2)/ぎゃら/myama/エキスポ万博/shiganhei(2)/トニー・サンム/マルイは二進法で5/ひとじまくん/リュカオン/投票ボーナス(3)
0339_8530_KOT,2024-01-25,112人,デッサン中もずっと喋ってるヌードモデル,NA,12位,あとひとつ流星群,脱ぐまでが長い,24,63.95,きまぐれ/恋雅嵐/アナブキラク/A4/ハ生ム/両者うつ伏せ(2)/おおちゃん@ジャン鶴/まいにちコンビーフ/断定の助動詞なり連用形/かみそん/腹痛/ゃまゃま/myama(2)/GYAI(2)/トニー・サンム/メイド・イン・ムーン/けいすけ/ひとじまくん/投票ボーナス(3)
