お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0800_8440_ALA,2024-03-05,105人,試験監督「問題の訂正です。問2で『線分ABの長さを求めよ』とありますが、（　？　）」,NA,1位,プレーン味のワニ,すごくいい問題です,37,84.17,ダァ/AMIO/ジャイロ(2)/ベモペギ/机上で実演/うめめ/ヤバいマイケル屋さん/まちょ/すずきゆ/珍百景のクロ/黒胡椒/そよかぜ(2)/鮭大根/大納豆/じす/荒ぶる波平/じゃん/天国かラスベガス/ぎん/大納言ステップ/もりそば/インノケンティウス/きゃりーまらまら/suei/落雁/コントとレール(3)/ウインナーうまい/錆缶/きれいな市役所/OWL/投票ボーナス(3)
0800_8440_ALA,2024-03-05,105人,試験監督「問題の訂正です。問2で『線分ABの長さを求めよ』とありますが、（　？　）」,NA,2位,らのたみ,ここで押すか伊沢拓司,34,79.85,ダァ/ジャイロ(3)/EPOCALC/こなくそ/にてまる(2)/四川炒飯/うえじゅん/ヤマカゼ/Ary/プレーン味のワニ/めっけもん(2)/なまこP/ふぁず/駄三盆/おざか/ひっそりおにぎり/こんよす/suei/落雁/ぷっちょにあ(2)/駆け付け毒三杯(2)/ハム(2)/禁断の水/OWL/投票ボーナス(3)
0800_8440_ALA,2024-03-05,105人,試験監督「問題の訂正です。問2で『線分ABの長さを求めよ』とありますが、（　？　）」,NA,3位,ふさふさマカオ,気持ち短めにお願いします,27,69.77,机上で実演/うめめ/ヤバいマイケル屋さん/こなくそ/まちょ/すずきゆ/珍百景のクロ/四川炒飯/天国かラスベガス/4L(2)/ぎん/ミシシッピ/ここはが/駄三盆/厚底眼鏡/こんよす/舞鶴/iiha/ぷっちょにあ/コントとレール/留学生/森さんです。/大体いつも眠い人/投票ボーナス(3)
0800_8440_ALA,2024-03-05,105人,試験監督「問題の訂正です。問2で『線分ABの長さを求めよ』とありますが、（　？　）」,NA,4位,美辞麗句,聞こえてきたのは 男性の声ですか？女性の声ですか？,26,68.33,ふさふさマカオ/ジャイロ/ymh/こなくそ/大納豆/すみま戦闘態勢 !!(2)/素犬/ヤマカゼ/ミシシッピ(2)/ふぁず/nya-./インノケンティウス/駄三盆/こんよす/井上ヘノシタ/すまいる/落雁/ラッセン/ウインナーうまい/禁断の水(2)/投票ボーナス(3)
0800_8440_ALA,2024-03-05,105人,試験監督「問題の訂正です。問2で『線分ABの長さを求めよ』とありますが、（　？　）」,NA,5位,すずきゆ,やっといたので大丈夫です,25,66.89,ジャイロ/ベモペギ/うめめ/黒胡椒/桃山ももたろう/ポリエステルの産物(2)/Ary/ミシシッピ/ここはが/みらきの/赤黄色/ふぁず/駄三盆/佐世保太郎/きゃりーまらまら/落雁/コントとレール/森さんです。/ドゴドド/きれいな市役所/リック/投票ボーナス(3)
0800_8440_ALA,2024-03-05,105人,試験監督「問題の訂正です。問2で『線分ABの長さを求めよ』とありますが、（　？　）」,NA,5位,井上ヘノシタ,求めすぎに注意,25,66.89,ジャイロ/机上で実演/うめめ/ymh/こなくそ/あさみんく/美辞麗句/じす/きまぐれ/天国かラスベガス/素犬/ヤマカゼ/Ary/プレーン味のワニ/ミシシッピ/みらきの(2)/ひっそりおにぎり/すのー/コントとレール/駆け付け毒三杯/てーん/投票ボーナス(3)
0800_8440_ALA,2024-03-05,105人,試験監督「問題の訂正です。問2で『線分ABの長さを求めよ』とありますが、（　？　）」,NA,7位,OWL,今、何問目？,24,65.45,benefit/ふさふさマカオ/ジャイロ/うめめ/たし/美辞麗句/うえじゅん/すみま戦闘態勢 !!(2)/nya-./佐世保太郎/おざか/ひっそりおにぎり/こんよす/すまいる/suei/狂人m/禁断の水(2)/留学生/森さんです。/投票ボーナス(3)
0800_8440_ALA,2024-03-05,105人,試験監督「問題の訂正です。問2で『線分ABの長さを求めよ』とありますが、（　？　）」,NA,7位,ばば,一部不適切な表現がありました,24,65.45,orionfires/ジャイロ(2)/珍百景のクロ/美辞麗句(2)/そよかぜ/じゃん/きまぐれ/ミシシッピ/耕すあんこ/インノケンティウス/駄三盆(2)/厚底眼鏡/きゃりーまらまら/おざか/こんよす/iiha/駆け付け毒三杯(2)/投票ボーナス(3)
0800_8440_ALA,2024-03-05,105人,試験監督「問題の訂正です。問2で『線分ABの長さを求めよ』とありますが、（　？　）」,NA,7位,インノケンティウス,求める側ではなく、求められる側になりましょう,24,65.45,こなくそ(2)/じす/きまぐれ/素犬/4L(2)/ヤマカゼ/Ary(2)/ミシシッピ/耕すあんこ/おざか/こんよす/井上ヘノシタ/すまいる/鮒侍/舞鶴/禁断の水/森さんです。/大体いつも眠い人/投票ボーナス(3)
0800_8440_ALA,2024-03-05,105人,試験監督「問題の訂正です。問2で『線分ABの長さを求めよ』とありますが、（　？　）」,NA,7位,ウインナーうまい,...続きを読む,24,65.45,うめめ/EPOCALC/ymh/にてまる(3)/Ary/めっけもん(2)/なまこP/nya-.(2)/耕すあんこ/こんよす/舞鶴(2)/ハム/禁断の水(2)/森さんです。/OWL/投票ボーナス(3)
