お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0018_1351_IIH,2024-03-06,111人,「犯人を丸で囲む」「伏線のページを折る」とかなら分かるけど、それは何？ってなったネタバレの方法,NA,1位,素犬,犯人の上に、「がんばれ」と書いてある,45,86.15,EPOCALC/ドブコック/月の瞼/やんわり/半額(3)/ブンカサイブンコボン/業務用虚無(2)/Y-Not/ポポ氏/ミズイチ/ぜ/山田生姜/にじょー/さすら/なまこP/ナンムラ(2)/じす/お肉/自称賞レースマニア(2)/ヌル8(2)/駆け付け毒三杯/硝酸/香典/ドロレス・グランギニョル(2)/ぽきもき/げら/誤字/osnet/軽度のシスコン/ノニバス/錆缶/よれん(2)/せね！/わんわんお/投票ボーナス(3)
0018_1351_IIH,2024-03-06,111人,「犯人を丸で囲む」「伏線のページを折る」とかなら分かるけど、それは何？ってなったネタバレの方法,NA,2位,ブンカサイブンコボン,そこだけ裏声で読む,43,83.78,ドブコック/three-all/月の瞼/奇蹄目/やんわり/一昨日/けいすけ/スシトレイン/Y-Not/ポポ氏/かきあげうどん/ミズイチ/ぎん/かりそめカヌレ/にじょー/さすら/ナンムラ(2)/お肉/覇道きてぃ/じゃん/滑らかなK/レイルレイル/硝酸/素犬/田中はこちらを見ている(2)/離反/りす/ハリネズミの時限爆弾/弥太郎/汁物勢/魚粉/大ちゃんす/でかいミニバン/冷凍トイレ/ゆうき/かと/TOEIC5点/理科インターネット/投票ボーナス(3)
0018_1351_IIH,2024-03-06,111人,「犯人を丸で囲む」「伏線のページを折る」とかなら分かるけど、それは何？ってなったネタバレの方法,NA,3位,机上で実演,同じ手口で捕まる,40,80.23,three-all/スシトレイン(2)/ブンカサイブンコボン/アンサイン/業務用虚無(2)/Y-Not/ポポ氏/ふるれ/こぼれおちないCH(2)/ぎん/GYAI/山田生姜/なまこP/がんばりま翔/gas/お肉/じゃん/駆け付け毒三杯(2)/香典/赤黄色/ドロレス・グランギニョル/田中はこちらを見ている/支援魔/離反(2)/りす/何かのマリネ/osnet(2)/軽度のシスコン/せね！(2)/ゆうき/投票ボーナス(3)
0018_1351_IIH,2024-03-06,111人,「犯人を丸で囲む」「伏線のページを折る」とかなら分かるけど、それは何？ってなったネタバレの方法,NA,4位,さすら,オッズが与えられてる,36,75.49,three-all/奇蹄目/ユズリハ/洋介山/半額/スシトレイン/アンサイン/Y-Not/かきあげうどん/こぼれおちないCH/かりそめカヌレ/みのむし/嶋佐と前撮り(2)/なまこP/ナンムラ(2)/じす/滑らかなK/駆け付け毒三杯/硝酸/赤黄色/今江(3)/弥太郎/錆缶/💃/せね！(2)/机上で実演/かと/汁/投票ボーナス(3)
0018_1351_IIH,2024-03-06,111人,「犯人を丸で囲む」「伏線のページを折る」とかなら分かるけど、それは何？ってなったネタバレの方法,NA,5位,枠の外,スタバのカップに書かれる,35,74.31,ゑくれあ/やんわり/洋介山/一昨日/半額(3)/ブンカサイブンコボン/アンサイン/業務用虚無/さめかす/山田生姜/平凡ぽんち/なまこP/ナンムラ(2)/ラプンツェル/ちきちきた/gas/ヌル8(2)/レイルレイル/ドロレス・グランギニョル/田中はこちらを見ている/石蓴/おとうふ。/りす/osnet/阿修羅 ハルカゼ/でかいミニバン/わんわんお/かと/投票ボーナス(3)
0018_1351_IIH,2024-03-06,111人,「犯人を丸で囲む」「伏線のページを折る」とかなら分かるけど、それは何？ってなったネタバレの方法,NA,6位,石蓴,犯人をイメージしたカクテルのレシピが挟んであった,31,69.57,ドブコック/ユズリハ(2)/半額(3)/コロコロムアニ/ぜ/照り焼き(3)/山田生姜/親指/がんばりま翔/あさみんく(3)/お肉/滑らかなK/ぽきもき/迷探亭困難/ハリネズミの時限爆弾/軽度のシスコン/ノニバス/弥太郎/TOEIC5点/理科インターネット(2)/投票ボーナス(3)
0018_1351_IIH,2024-03-06,111人,「犯人を丸で囲む」「伏線のページを折る」とかなら分かるけど、それは何？ってなったネタバレの方法,NA,7位,一昨日,犯人だけ赤シートで隠せる,30,68.39,奇蹄目/ユズリハ/業務用虚無/コロコロムアニ(2)/ポポ氏/ミズイチ/とらぼーい/なまこP/じす/がんばりま翔/あさみんく(2)/ヌル8(2)/滑らかなK/最上川ジャンガジャンガ/レイルレイル/硝酸/素犬/田中はこちらを見ている(2)/おとうふ。/枠の外/弥太郎/机上で実演/ゆうき/投票ボーナス(3)
0018_1351_IIH,2024-03-06,111人,「犯人を丸で囲む」「伏線のページを折る」とかなら分かるけど、それは何？ってなったネタバレの方法,NA,8位,喋るな,帯でだらだら語る,28,66.02,月の瞼/半額(3)/スシトレイン/啓蒙思想/照り焼き(2)/声にならないSOS(2)/さすら/コーラ中将/なまこP/じす/ラプンツェル/あさみんく/じゃん/ねこめんたい/硝酸/赤黄色/石蓴/おとうふ。/ノニバス/錆缶/せね！/投票ボーナス(3)
0018_1351_IIH,2024-03-06,111人,「犯人を丸で囲む」「伏線のページを折る」とかなら分かるけど、それは何？ってなったネタバレの方法,NA,9位,osnet,「俺コイツ嫌い」って書いてる,27,64.83,EPOCALC/three-all/月の瞼/やんわり/業務用虚無(2)/コロコロムアニ(2)/啓蒙思想/ミズイチ/照り焼き(2)/山田生姜/コーラ中将/なまこP/じす/ちきちきた/香典/赤黄色/ぽきもき/げら/ハリネズミの時限爆弾/軽度のシスコン/かと/投票ボーナス(3)
0018_1351_IIH,2024-03-06,111人,「犯人を丸で囲む」「伏線のページを折る」とかなら分かるけど、それは何？ってなったネタバレの方法,NA,9位,照り焼き,本屋の店員さんがカバーを付けるついでに教えてくれた,27,64.83,半額(3)/ぜ/山田生姜/にじょー(2)/嶋佐と前撮り/なまこP/ヌル8(3)/滑らかなK/駆け付け毒三杯(2)/ねこめんたい/素犬/ぽきもき/支援魔/ハリネズミの時限爆弾/阿修羅 ハルカゼ/冷凍トイレ/わんわんお/理科インターネット/投票ボーナス(3)
