お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,1位,chiwachiwa,この家にします,36,79.08,アントニーきらい王/やんわり/練馬のバッタ/ランチタイムんですよね/あの時のペリー/ジェンツーペンギン/shaman/行方/ニューメキシコ/静岡健伊東氏(3)/たくみす/zashiki(2)/座談会/かしみあ/rayleigh/副菜/すっしー/9月が終わったら起こして/スシトレイン/ねてととて/二塁シャチ/きまぐれ(2)/達筆/青い柴犬(2)/綿白 雪/Show/Matchart(2)/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,2位,Y.M,あーこれこれ、この屈辱感,31,72.52,アントニーきらい王(2)/しまてつ(2)/たく/青色迷子(3)/あさなまら(2)/中の人/Mr.GIFT券(2)/ミトンアイス/嶋佐と前撮り/ジェンツーペンギン/Ary/田口さん🍙/座談会/きみをゆるさない。/かしみあ/鮭大根/深層心理見放題/青い柴犬/しばらくはうに/オーバーニート(2)/蒼空便箋/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,3位,gas,ごめん今これしかなくて,29,69.9,アントニーきらい王/やんわり/さすけのお兄/ランチタイムんですよね/トマトバサミ/ドゴドド/嶋佐と前撮り/めっけもん/ジェンツーペンギン/shaman/ニューメキシコ/モチ/きみをゆるさない。/すっしー/たまりラー油/800/ねてととて/くいてー/多山(2)/しばらくはうに/メソッド/かたたたたたたたき券(2)/骨密度/ふぐりぼーい/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,3位,副菜,ここから鳴ってる,29,69.9,嶋佐と前撮り/尊敬/インノケンティウス/あかしやきいも/塩鮭/gas/きみをゆるさない。/かしみあ/さいころちゃらみん/9月が終わったら起こして/800/ねてととて(2)/達筆/たまご兄貴/ててっち(2)/生存権🚷(2)/超ピンク/メソッド/蒼空便箋/骨密度/shika shika/うめめ/シンマイ子/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,3位,超ピンク,趣味とはいえ,29,69.9,しまてつ(2)/練馬のバッタ/さすけのお兄/あさなまら(2)/ドゴドド/ジブチ/いりぞう/行方/きれいな市役所/ニューメキシコ/タカラ（グラッパ）/田口さん🍙/さんれん/塩鮭/gas/かしみあ/スシトレイン/800/二塁シャチ/達筆/軽度のシスコン/カナダ/蒼空便箋/うめめ/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,3位,魚粉,良い歌詞はこうやってうまれる,29,69.9,練馬のバッタ/あさなまら/中の人/Mr.GIFT券/ミトンアイス/尊敬/瀧野/ちゃんねる(2)/行方/きれいな市役所/Ary/ししだ/いち/フユフク/rayleigh/キョニキ/スシトレイン(2)/ほろほろ/達筆/マービィ/超ピンク/蒼空便箋/ふぐりぼーい/シンマイ子/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,7位,シンマイ子,まず最初のプレゼントは,28,68.59,やんわり/たく/マシロン/さすけのお兄/中の人/瀧野/ヌル8(3)/ちゃんねる/やもりみゆき/きれいな市役所/モチ/フユフク/座談会(2)/gas/ほろほろ/ねてととて(2)/くいてー/メソッド/オーバーニート/shika shika/ふぐりぼーい/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,7位,生存権🚷,どんどん懐かしい,28,68.59,たく/中の人/嶋佐と前撮り/めっけもん/ジェンツーペンギン/行方/chiwachiwa/ししだ/座談会/rayleigh/副菜/鮭大根/スシトレイン(2)/二塁シャチ/達筆(2)/多山(2)/しばらくはうに(2)/フォークソング研究部/蒼空便箋/骨密度/shika shika/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,9位,くいてー,次は良いの引く,27,67.28,やんわり/マシロン/めっけもん(3)/やもりみゆき/shaman/きれいな市役所/たくみす/田口さん🍙/ししだ/きみをゆるさない。/副菜/鮭大根/鮫〜/800/達筆/軽度のシスコン/マービィ/多山/メソッド/オーバーニート(2)/骨密度/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,9位,マイケルコース,いや、今日初めてです,27,67.28,さすけのお兄/ランチタイムんですよね/トマトバサミ(2)/あの時のペリー/ミトンアイス/嶋佐と前撮り/やもりみゆき/啓蒙思想/行方/きれいな市役所/タカラ（グラッパ）/Ary/インノケンティウス/ししだ/いち/副菜/鮭大根/くいてー/達筆/青い柴犬(2)/しばらくはうに/フォークソング研究部/Show/骨密度/ふぐりぼーい
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,9位,瀧野,今日誕生日だよね？,27,67.28,アントニーきらい王(3)/やんわり(2)/練馬のバッタ/トマトバサミ/アホランド(2)/静岡健伊東氏(3)/たくみす/塩鮭/gas/さえもんもん/副菜/くいてー/深層心理見放題/マービィ/Matchart(2)/ふぐりぼーい/シンマイ子/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,12位,オーバーニート,最近運が良すぎてさ,26,65.97,アントニーきらい王/練馬のバッタ/あさなまら/ミトンアイス/ジブチ/shaman/啓蒙思想/矢野 圭人/田口さん🍙/キョニキ/スシトレイン(2)/にょにょにょ(2)/Y.M/たまご兄貴/軽度のシスコン/マービィ/青い柴犬/Show/Matchart(2)/シンマイ子/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,12位,キョニキ,おっ、動揺してますね,26,65.97,アントニーきらい王(2)/しまてつ/たく/青色迷子(3)/さすけのお兄/あさなまら(2)/ミトンアイス/嶋佐と前撮り/あだちく/行方/たくみす/あかしやきいも/さいころちゃらみん/rayleigh/めるめるちゃん/魚粉/たまご兄貴/カナダ/フォークソング研究部/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,12位,嶋佐と前撮り,だいじょぶ、慣れてるから,26,65.97,たく/マシロン/さすけのお兄/トマトバサミ/Mr.GIFT券(3)/瀧野/やもりみゆき/chiwachiwa/給食センター/インノケンティウス/田口さん🍙/塩鮭/きみをゆるさない。/さえもんもん/rayleigh/ねてととて(3)/深層心理見放題/カナダ/かたたたたたたたき券/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,15位,うめめ,もっと自炊しろ,25,64.65,青色迷子(3)/瀧野/ジブチ/めっけもん/やもりみゆき/いりぞう(3)/たくみす(2)/ししだ/9月が終わったら起こして/ほろほろ/めるめるちゃん/Y.M/きまぐれ/メソッド/骨密度/shika shika/シンマイ子/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,15位,きまぐれ,応援とかいらないやつです,25,64.65,たく/練馬のバッタ/あさなまら/ミトンアイス/きれいな市役所/chiwachiwa/モチ/給食センター/田口さん🍙/座談会/さえもんもん/にょにょにょ/めるめるちゃん/ミラー/魚粉/深層心理見放題/軽度のシスコン/マービィ/Show/かたたたたたたたき券/骨密度/うめめ/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,15位,達筆,こことかまだ食える,25,64.65,ドゴドド/給食センター/狂ったパン屋さん/あかしやきいも/たまりラー油/にょにょにょ(3)/ねてととて(2)/魚粉/くいてー/しばらくはうに(2)/オーバーニート(2)/あんぽんたん(3)/shika shika/ふぐりぼーい/シンマイ子/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,18位,きみをゆるさない。,貴方がさっき選んだカードは……,24,63.34,たく/トマトバサミ/あさなまら(2)/アホランド(2)/ミトンアイス/嶋佐と前撮り(2)/尊敬/Ary/矢野 圭人(2)/フユフク/ミラー/超ピンク/綿白 雪/うめめ/Matchart(2)/ふぐりぼーい/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,19位,スシトレイン,「かつて」がいっぱい,23,62.03,アントニーきらい王(2)/ミトンアイス(2)/岩石惑星/行方/Ary(2)/田口さん🍙/rayleigh/キョニキ/鮫〜(2)/二塁シャチ/マービィ(2)/しばらくはうに/綿白 雪/Matchart(2)/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,19位,田口さん🍙,気は確かですから,23,62.03,しまてつ(3)/トマトバサミ/ドゴドド/尊敬/啓蒙思想/行方/chiwachiwa/静岡健伊東氏/矢野 圭人/あかしやきいも/塩鮭/gas/さえもんもん/800/魚粉/オーバーニート(2)/ふぐりぼーい/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,21位,9月が終わったら起こして,まだ練習だから,22,60.72,しまてつ/ランチタイムんですよね/ミトンアイス/めっけもん/ジェンツーペンギン/shaman/極楽ブザービート/行方/ニューメキシコ/モチ/あかしやきいも/gas/副菜/たまりラー油/800/軽度のシスコン/メソッド/Show/シンマイ子/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,21位,インノケンティウス,こんなとこにいるはずもないのに,22,60.72,アントニーきらい王/やんわり/アホランド/瀧野/ヌル8(2)/ちゃんねる(2)/いりぞう/shaman/あだちく/ししだ/狂ったパン屋さん/あかしやきいも/鮫〜/ほろほろ/魚粉/軽度のシスコン/かたたたたたたたき券/投票ボーナス(3)
0811_0173_ACI,2024-03-12,122人,ゴミ箱に手を突っ込んで一言,NA,21位,骨密度,今握ったの誰,22,60.72,たく/ランチタイムんですよね/アホランド/ドゴドド/きれいな市役所/chiwachiwa/モチ/矢野 圭人/フユフク/塩鮭/gas/鮫〜/軽度のシスコン/多山/カナダ/あんぽんたん(3)/蒼空便箋/投票ボーナス(3)
