お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0156_2599_RWK,2024-03-13,118人,学校に念の為持ってきたけど、使わなかったもの,NA,1位,GYAI,下じきの下じき,34,80.97,瀧野/平凡ぽんち/きびだんご(2)/はら/ゆたーなる/匍匐(2)/リュカオン/たく/NIGG/あいうえびふらい/腫物のあ/5.5畳(2)/石蓴/ボルシチ/あかこんにゃく(2)/さな丸/スイートランド/アイム ピーナツ/羊たち黙っちゃったじゃん/江口 蒼🎧(2)/あまちゃん/すいみんちゃん/降りる人が先/じゃぱな/わぎり/じす/投票ボーナス(3)
0156_2599_RWK,2024-03-13,118人,学校に念の為持ってきたけど、使わなかったもの,NA,2位,さすけのお兄,絶対儲かる話,28,71.49,新Goo/ニューロン/スシトレイン/zashiki/鯖度80％/やさしさ/禁断の惑星/しょうりゅー/腫物のあ/Heaven/5.5畳/セカンドライナー/GYAI/お海/練馬のバッタ/留学生/学園/Y.M/伊勢八/兼好法師/こーひーたいむ/せりか/桃山ももたろう(2)/パブロ風の犬/投票ボーナス(3)
0156_2599_RWK,2024-03-13,118人,学校に念の為持ってきたけど、使わなかったもの,NA,2位,カナリカリガ・タカ,「5分押してます！」のカンペ,28,71.49,ラプンツェル/ケイオス盤/スシトレイン/きびだんご/アミバさん/匍匐/たく/睡眠/フユフク/ゆゆ子(3)/セカンドライナー/daredayo/めでぃ(2)/ホトココア/度蔵まぐら/ミラーマン/ぽせい/親のたたき/一般ユーザー/降りる人が先/じす/パブロ風の犬/投票ボーナス(3)
0156_2599_RWK,2024-03-13,118人,学校に念の為持ってきたけど、使わなかったもの,NA,2位,パブロ風の犬,円周率を長く言えるオウム,28,71.49,大ちゃんす/白藍/瀧野/ハッスル運動会/アミバさん/匍匐/睡眠/ハ生ム/しょうりゅー/Heaven/5.5畳/度蔵まぐら/お海/うえさん/羊たち黙っちゃったじゃん(2)/あまちゃん/ぽせい/Show/ketintin/あえいい/大体いつも眠い人/せりか/じゃぱな/じす/投票ボーナス(3)
0156_2599_RWK,2024-03-13,118人,学校に念の為持ってきたけど、使わなかったもの,NA,5位,石蓴,自作の教科書,27,69.91,なみまみな/万引き赤ちゃん(2)/ラプンツェル/ケイオス盤/ポポ氏/いぬもどき/匍匐/リュカオン/昭和のにほひ/Heaven/めでぃ(2)/さすけのお兄/冷食パスタレビュー/スイートランド/羊たち黙っちゃったじゃん/我(あ)/ぽせい/Show/一般ユーザー/降りる人が先/桃山ももたろう(2)/投票ボーナス(3)
0156_2599_RWK,2024-03-13,118人,学校に念の為持ってきたけど、使わなかったもの,NA,6位,羊たち黙っちゃったじゃん,一夜漬けのインコ,26,68.33,ニューロン/スシトレイン/瀧野/ハッスル運動会/カナリカリガ・タカ/匍匐/腫物のあ/Heaven/5.5畳/daredayo(2)/GYAI/うえさん(2)/冷食パスタレビュー/綿白 雪/もこもこねこちゃん/江口 蒼🎧/ぽせい/ketintin/あえいい/降りる人が先/わぎり/投票ボーナス(3)
0156_2599_RWK,2024-03-13,118人,学校に念の為持ってきたけど、使わなかったもの,NA,6位,雲ひとつない撒き餌,見せるための小説,26,68.33,白藍/ニューロン/タイファイター/瀧野/はら/リュカオン/鯖度80％/たく/星ドッラ/睡眠/禁断の惑星/ハ生ム/NIGG/腫物のあ/5.5畳/GYAI/さすけのお兄/スイートランド/最後の在校生/降りる人が先/大体いつも眠い人/こーひーたいむ/パブロ風の犬/投票ボーナス(3)
0156_2599_RWK,2024-03-13,118人,学校に念の為持ってきたけど、使わなかったもの,NA,8位,Heaven,検尿の時使った紙コップ,24,65.17,万引き赤ちゃん(3)/新Goo/zashiki/リュカオン/ハメ鳥太郎/やさしさ/ゆゆ子(3)/めでぃ(2)/さすけのお兄/アイム ピーナツ/切ない/親のたたき/ketintin/兼好法師(2)/桃山ももたろう/投票ボーナス(3)
0156_2599_RWK,2024-03-13,118人,学校に念の為持ってきたけど、使わなかったもの,NA,8位,あ〜ちゃん,遅刻の言い訳,24,65.17,大ちゃんす(3)/てんしょう/ニューロン/zashiki/昭和のにほひ/星ドッラ/やさしさ/アドカボ(3)/はーる(3)/セカンドライナー/冷食パスタレビュー/ketintin/あえいい/すいみんちゃん/せりか/投票ボーナス(3)
0156_2599_RWK,2024-03-13,118人,学校に念の為持ってきたけど、使わなかったもの,NA,8位,わぎり,薬味,24,65.17,なみまみな(2)/大ちゃんす/予備のエビフライ/新Goo/タイファイター/いぬもどき/okiai/あいうえびふらい(2)/ボルシチ/玄の字。/ホトココア/GYAI/練馬のバッタ/留学生/もこもこねこちゃん/オールトの雲(3)/兼好法師/投票ボーナス(3)
0156_2599_RWK,2024-03-13,118人,学校に念の為持ってきたけど、使わなかったもの,NA,8位,アドカボ,習字の教科書,24,65.17,なみまみな/予備のエビフライ(3)/過激(2)/平凡ぽんち/アミバさん(2)/やや不安/昭和のにほひ/ハメ鳥太郎/たく/腫物のあ/はーる/石蓴(2)/shiganhei/留学生/アイム ピーナツ/あえいい/投票ボーナス(3)
0156_2599_RWK,2024-03-13,118人,学校に念の為持ってきたけど、使わなかったもの,NA,8位,大ちゃんす,ちょっといいマヨネーズ,24,65.17,Bランク/過激(2)/きびだんご/アミバさん/いぬもどき/やや不安/鯖度80％/たく/NIGG/セカンドライナー/GYAI/さすけのお兄/羊たち黙っちゃったじゃん/ミラーマン/Y.M/あまちゃん/親のたたき/あえいい/せりか/パブロ風の犬/投票ボーナス(3)
0156_2599_RWK,2024-03-13,118人,学校に念の為持ってきたけど、使わなかったもの,NA,8位,欧文書体,リコーダーについてるクリーム,24,65.17,てんしょう/白藍(2)/第三キャッチャーゴリ/ゆたーなる/リュカオン/たく/okiai/腫物のあ/はーる/shiganhei/練馬のバッタ/アイム ピーナツ/綿白 雪/オールトの雲(3)/親のたたき/あえいい/最後の在校生/すいみんちゃん/投票ボーナス(3)
0156_2599_RWK,2024-03-13,118人,学校に念の為持ってきたけど、使わなかったもの,NA,14位,きびだんご,Wiiリモコンとヌンチャク,23,63.59,ラプンツェル(2)/予備のエビフライ(2)/スシトレイン/第三キャッチャーゴリ/いぬもどき/睡眠/NIGG/okiai/腫物のあ/石蓴(2)/さな丸/冷食パスタレビュー/ミラーマン(2)/Y.M/兼好法師/せりか/投票ボーナス(3)
0156_2599_RWK,2024-03-13,118人,学校に念の為持ってきたけど、使わなかったもの,NA,14位,ハッスル運動会,予備の第二ボタン,23,63.59,大ちゃんす(3)/てんしょう/白藍/きびだんご/あ〜ちゃん/いぬもどき/カナリカリガ・タカ/ハメ鳥太郎/やさしさ/ハ生ム/フユフク/okiai/ボルシチ/度蔵まぐら/さな丸/留学生/こーひーたいむ/せりか/投票ボーナス(3)
0156_2599_RWK,2024-03-13,118人,学校に念の為持ってきたけど、使わなかったもの,NA,16位,スイートランド,この学校を変えたいという気持ち,22,62.01,魔法のタイらんど/予備のエビフライ(2)/あ〜ちゃん/はら/睡眠/NIGG/しょうりゅー/石蓴(3)/さな丸/Good insect/ミラーマン/一般ユーザー(3)/すいみんちゃん(2)/投票ボーナス(3)
0156_2599_RWK,2024-03-13,118人,学校に念の為持ってきたけど、使わなかったもの,NA,16位,タイファイター,まとまった金,22,62.01,魔法のタイらんど/平凡ぽんち/あ〜ちゃん/鯖度80％/にじょー/やさしさ/フユフク/しょうりゅー/あいうえびふらい(2)/Heaven/shiganhei/ホトココア/GYAI/お海/ハタハタ(3)/留学生/投票ボーナス(3)
0156_2599_RWK,2024-03-13,118人,学校に念の為持ってきたけど、使わなかったもの,NA,16位,星ドッラ,音楽室の穴を埋める粘土,22,62.01,魔法のタイらんど/Bランク/スシトレイン/脊髄ハイム/アミバさん(2)/はら/リュカオン/昭和のにほひ/睡眠/フユフク/石蓴/shiganhei/さな丸/留学生/学園/あえいい/兼好法師/じす/投票ボーナス(3)
0156_2599_RWK,2024-03-13,118人,学校に念の為持ってきたけど、使わなかったもの,NA,19位,やさしさ,チョコありがとうの言葉,21,60.43,Bランク/過激/zashiki/カナリカリガ・タカ/たく/睡眠/フユフク/はーる/さな丸/アイム ピーナツ/そろばん６級/我(あ)/あえいい/一般ユーザー(2)/こーひーたいむ/せりか(2)/投票ボーナス(3)
