お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1915_2042_XJB,2024-03-21,115人,怒った地球が一言,NA,1位,ポポ氏,まだ青いうちに謝って,49,94.16,のびけ(3)/ロビンろびん/でらんちゃ(2)/未来永劫ちゃんねる/塩鮭/櫻装束/啓蒙思想/なまこP/まちょ/昨今/くまみ/7282/ドロレス・グランギニョル/さくらんぼるボックス/鼻毛最大/野良猫ヅツキ/よれん(2)/狂ったパン屋さん/ぴん/リッシン/やんわり/週1/800/PD/佐世保太郎(3)/かせ(2)/つゆだQ/テツ/OWL/TAKA/鳴子レプシー/深田えいみ/ケルン/Hoaro(3)/ナスマヨ/テトラ/フルーツパンチ/投票ボーナス(3)
1915_2042_XJB,2024-03-21,115人,怒った地球が一言,NA,2位,やんわり,空気悪くしてんの誰？,38,80.32,佐々木　サバク/ゆたーなる/優しさの木/塩鮭/たこかいな/突撃ひとり/朤燚㵘䲜䨻/💃/なまこP/まちょ/阿修羅 ハルカゼ/石蓴(3)/犬ヒロシ/7282/shock鮨/外面/かませdog(3)/鼻毛最大(2)/野良猫ヅツキ/ぴん/リッシン/NatsubiSogan(2)/800/つゆだQ/マービィ/くもつ/Hoaro(2)/テトラ/投票ボーナス(3)
1915_2042_XJB,2024-03-21,115人,怒った地球が一言,NA,3位,めでぃ,1個だけ要らない大陸決めろ,36,77.8,眠たい運転手(2)/佐々木　サバク/のびけ/ちびのっぽ/櫻装束(3)/ちぇみちぇみ！/石蓴(3)/7282/shock鮨(3)/よれん/生身(2)/狂ったパン屋さん/ぴん/やんわり/かせ/つゆだQ/マービィ/露骨/おだンゴ/地球島　永遠子(2)/世界の牛肉/ケルン(2)/フルーツパンチ/投票ボーナス(3)
1915_2042_XJB,2024-03-21,115人,怒った地球が一言,NA,4位,ケルン,今の自転が最後な,32,72.76,春立てる西陣織/のびけ/ロビンろびん/めでぃ(2)/朤燚㵘䲜䨻/💃/シーサイド品川/なまこP/サイコパス金子/くまみ(3)/ドロレス・グランギニョル/外面/かませdog/野良猫ヅツキ/ぴん/リッシン/benefit/ハム/800/トドのつまみ/テツ/OWL/マービィ/地球島　永遠子/ナスマヨ/フルーツパンチ/投票ボーナス(3)
1915_2042_XJB,2024-03-21,115人,怒った地球が一言,NA,5位,少しだけ賢い,初めての音聞かせます,31,71.5,ロビンろびん/ゆたーなる/優しさの木/めでぃ(2)/櫻装束(2)/朤燚㵘䲜䨻/啓蒙思想/シーサイド品川/なまこP/さんれん/ちぇみちぇみ！/shock鮨(2)/狂ったパン屋さん/やんわり(2)/ハム/PD/トドのつまみ/ブトマ/佐世保太郎/ポポ氏/OWL/スポーツバッグ/ケルン/阿吽/投票ボーナス(3)
1915_2042_XJB,2024-03-21,115人,怒った地球が一言,NA,6位,フォークソング研究部,なんの祈りだよ,30,70.25,眠たい運転手(2)/でらんちゃ(2)/💃/シーサイド品川/ぐりーずまん/昨今/少しだけ賢い/ぺね/石蓴(2)/やんわり/morisho/ハム/PD/トドのつまみ/ブンカサイブンコボン(2)/マービィ/露骨/パーくん/ハンペ/くもつ/ナスマヨ/テトラ/阿吽/投票ボーナス(3)
1915_2042_XJB,2024-03-21,115人,怒った地球が一言,NA,6位,💃,特に大阪,30,70.25,のびけ(3)/ゆたーなる/お湯ドラ/シーサイド品川/まちょ/はたけやま/さんれん/昨今/少しだけ賢い/鼻毛最大/生身/リッシン/NatsubiSogan(3)/ハム/つゆだQ/地球島　永遠子/かみそん/スポーツバッグ/Hoaro(3)/ナスマヨ/テトラ/投票ボーナス(3)
1915_2042_XJB,2024-03-21,115人,怒った地球が一言,NA,8位,かみそん,みなさんが静かになるまで三億年かかりました,29,68.99,優しさの木/チキンケバブタ/朤燚㵘䲜䨻/バタチキランラン ラン/アホランド(2)/なまこP/まちょ/親のたたき(2)/阿修羅 ハルカゼ/DAKARA/犬ヒロシ/7282/IQちょろQ/ドロレス・グランギニョル/外面/かませdog/リッシン/morisho/かせ/ポポ氏/おだンゴ/地球島　永遠子(3)/投票ボーナス(3)
1915_2042_XJB,2024-03-21,115人,怒った地球が一言,NA,9位,たこかいな,かゆいとこまで掘れよ,26,65.21,ロビンろびん/チキンケバブタ/朤燚㵘䲜䨻/はたけやま/石蓴(2)/shock鮨(2)/IQちょろQ/鼻毛最大/PD/ポポ氏/つゆだQ/露骨/地球島　永遠子(2)/スポーツバッグ/ハンペ(2)/くもつ(2)/ナスマヨ/阿吽/投票ボーナス(3)
1915_2042_XJB,2024-03-21,115人,怒った地球が一言,NA,9位,ちぇみちぇみ！,10億年ぶりにきたわ,26,65.21,佐々木　サバク/たこかいな/朤燚㵘䲜䨻/啓蒙思想/なまこP/まちょ/さんれん/昨今/少しだけ賢い/石蓴(2)/7282/ハム/週1/800/ブトマ/テツ/地球島　永遠子(2)/かみそん/世界の牛肉/ハンペ/Hoaro/投票ボーナス(3)
