お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0467_7225_AEN,2024-03-26,134人,トイレが限界な時に言われたら嫌なこと,NA,1位,やまもん,あなたはAEDを,52,96.57,そろばん６級/ノニバス(2)/bbmg/かな/すしやき/覇道きてぃ/お海/ゆたーなる(2)/御御御付け/長老_M/ななぴ/よっくもっく(3)/ミズイチ(2)/荒ぶる波平/chiwachiwa/本田圭佑(3)/せね！(3)/ラプンツェル/リュカオン(2)/すもーきー(2)/佐世保太郎/open(2)/のがみ/Daiki(3)/平凡亭パンチ/いりぞう/わたなべいびー/メイド・イン・ムーン/こぼれおちないCH(3)/あかしやきいも(2)/どん核どり丸/いち/投票ボーナス(3)
0467_7225_AEN,2024-03-26,134人,トイレが限界な時に言われたら嫌なこと,NA,2位,閾値,誰に一番伝えたいですか,40,81.48,げら/雲(2)/シンマイ子/ジュルジュル温泉!!/bbmg/腹筋ニート/モチ/はちわれ/井上ヘノシタ/パステルゆんゆん/鷹STARDOM関/ひこうき/女将/荒ぶる波平/5.5畳/ダリト/ラプンツェル/よく噛む/リュカオン/雫‎𓂃 𓈒𓏸/Y.M/高見盛/ほてっち/自動車部員/POPOJI/Daiki(3)/Shineman/ぷるちぽん/ロビンろびん/ちんてる/7282/どん核どり丸(2)/しょうりゅー/投票ボーナス(3)
0467_7225_AEN,2024-03-26,134人,トイレが限界な時に言われたら嫌なこと,NA,3位,絶命,第1問,36,76.45,静岡健伊東氏/聖歌隊(2)/雲/雲ひとつない撒き餌/腹筋ニート/仁義/Inpon/鷹STARDOM関/カエル販売機/ミズイチ/MUGIMISO/はっちゃん/5.5畳/オーバーニート/しらス(2)/ながひろ/ヤンマー部隊隊長/やまもん/阿吽/足を洗って下さる順番/佐世保太郎(2)/平凡亭パンチ/夢中になれ！(2)/いりぞう/ちんてる/むのうき/hugo/7282/しょうりゅー/投票ボーナス(3)
0467_7225_AEN,2024-03-26,134人,トイレが限界な時に言われたら嫌なこと,NA,4位,仁義,ご注文繰り返します,35,75.19,雲/ビッパジョン・スミス/猫撫での樹/はちわれ/すしやき/お海/サンプリ/カエル販売機/御御御付け/ななぴ/よれん/まん丸/ミズイチ/荒ぶる波平/chiwachiwa/Heaven/User A(2)/5.5畳/ダリト/ヤンマー部隊隊長/高見盛/竜胆(3)/ほてっち/自動車部員/カントリーマアム/平凡亭パンチ/いりぞう/ぷるちぽん/しょうりゅー/投票ボーナス(3)
0467_7225_AEN,2024-03-26,134人,トイレが限界な時に言われたら嫌なこと,NA,5位,7282,代打だ、行け,33,72.67,そろばん６級/お化けチャンドラ/ノコノコdeath/猫撫での樹/はちわれ/すしやき/鷹STARDOM関(2)/長老_M/女将/まん丸/ポポ氏/荒ぶる波平/本田圭佑(3)/Heaven/田口さん🍙/Y.M/高見盛/竜胆(2)/佐世保太郎/カントリーマアム/いりぞう/ぷるちぽん/メイド・イン・ムーン/hugo(2)/いち/投票ボーナス(3)
0467_7225_AEN,2024-03-26,134人,トイレが限界な時に言われたら嫌なこと,NA,5位,露骨,わたしの考察はこうよ,33,72.67,hiha/たこ焼きボンバー/雲ひとつない撒き餌/ジュルジュル温泉!!/ビッパジョン・スミス/パピ4ン/モチ/井上ヘノシタ/パステルゆんゆん/サンプリ/ひこうき/カエル販売機/ななぴ/まん丸/ミズイチ/荒ぶる波平/chiwachiwa/あるくら/はっちゃん/せね！/オーバーニート/よく噛む/高見盛/足を洗って下さる順番(3)/わたなべいびー/ココア/メイド・イン・ムーン/こぼれおちないCH/投票ボーナス(3)
0467_7225_AEN,2024-03-26,134人,トイレが限界な時に言われたら嫌なこと,NA,7位,ノコノコdeath,あだ名チャンス来たな,32,71.42,そろばん６級/たこ焼きボンバー/bbmg/減るわかめ/ビッパジョン・スミス(2)/お海/ゆたーなる/サンプリ/ひこうき/女将/テツ/MUGIMISO/オーバーニート(2)/よく噛む/ヤンマー部隊隊長/やまもん/青山もみじ(2)/のがみ(2)/POPOJI/ぷるちぽん/閾値/ロビンろびん/hugo/7282/どん核どり丸/投票ボーナス(3)
0467_7225_AEN,2024-03-26,134人,トイレが限界な時に言われたら嫌なこと,NA,8位,覇道きてぃ,中入ってからも結構並ぶよ,27,65.13,お化けチャンドラ/ノコノコdeath/さらえん(2)/サンプリ/よれん/まん丸/よっくもっく/User A/MUGIMISO/よく噛む/Y.M/竜胆(3)/ちゃんしー/open/カントリーマアム/いりぞう/わたなべいびー/ちんてる/おと/むのうき/支援魔/投票ボーナス(3)
0467_7225_AEN,2024-03-26,134人,トイレが限界な時に言われたら嫌なこと,NA,9位,🍮倶楽部,いつも見てます,26,63.87,雲ひとつない撒き餌/bbmg/モチ/はちわれ/かな/お湯ドラ/すしやき/仁義/覇道きてぃ/お海/パステルゆんゆん/ひこうき/ななぴ/chiwachiwa/せね！(2)/ダリト/よく噛む/Y.M/すもーきー(2)/POPOJI/平凡亭パンチ/ちんてる/むのうき/こぼれおちないCH
0467_7225_AEN,2024-03-26,134人,トイレが限界な時に言われたら嫌なこと,NA,10位,女将,孫に振り込みたいのですが,25,62.61,そろばん６級/シンマイ子/さらえん/カエル販売機/御御御付け/長老_M/ななぴ/まん丸/ポポ氏/User A/田口さん🍙/クープラン/しらス/open(2)/Daiki/平凡亭パンチ/わたなべいびー/ぷるちぽん/おと/7282/支援魔/投票ボーナス(3)
