お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1040_5168_RGW,2024-03-28,131人,"マジシャンの料理番組が一回で打ち切りに
何があった？",NA,1位,リトルガーデン,キャベツの葉1枚ずつ裏表を見せるのがしつこかった,41,84.52,エキスポ万博/ハッスル運動会(2)/syouseisatou(3)/んでびろ(2)/ずんだれ(2)/じす/腹筋ニート/たでくい/ボブ（北陸在住）/だうにー(3)/たたた/冠武(2)/ボビー/にこごり/ラジウス(2)/戦慄の北枕/幽幻アマネセル/ブッダマシーン/例の深海狐/エバラ/アルブラレリー(2)/まめまめデスメタル/らぷんつぇるん/ちゃ柴/wowwow/えちえち/あくび/アーバンストリート/投票ボーナス(3)
1040_5168_RGW,2024-03-28,131人,"マジシャンの料理番組が一回で打ち切りに
何があった？",NA,2位,gas,説明を嫌がった,36,78.25,まん丸/モチオ/みらきの/エキスポ万博/やもりみゆき/くいてー/健やか本社/でろ坊/にゃんごすちん/うえじゅん/こーひーたいむ/たけこ/サツパラ(2)/薄力粉/じす/もどりゃんせ/だうにー/真似き猫/ウ段邂逅/ちりめん猛者/月の瞼/ボビー/くろーむ/何かのマリネ/灰色こたつ/パピ4ン/ツチノコ/ととまる/黒胡椒/three-all/あくび/たくみす/投票ボーナス(3)
1040_5168_RGW,2024-03-28,131人,"マジシャンの料理番組が一回で打ち切りに
何があった？",NA,3位,でろ坊,スローで見てもわからない,35,76.99,まん丸/エキスポ万博/うめめ/やもりみゆき/にゃんごすちん/うえじゅん/🧸/減るわかめ(2)/こーひーたいむ/syouseisatou(3)/たけこ/んでびろ/ヒマジン(2)/たたた/ちりめん猛者/月の瞼/合法(2)/ツチノコ/ひなひなひな/gas/らぷんつぇるん/えちえち/どんぐり亭/three-all/girichoco(3)/投票ボーナス(3)
1040_5168_RGW,2024-03-28,131人,"マジシャンの料理番組が一回で打ち切りに
何があった？",NA,3位,ウ段邂逅,観客に触らせた,35,76.99,ぷるちぽん/まん丸/収蔵/みらきの/うめめ/やもりみゆき/ハッスル運動会(2)/健やか本社/morisho/んでびろ(2)/じす/ロンパ/飯田故郷/お刺身天国/ちりめん猛者/月の瞼/何かのマリネ/戦慄の北枕/幽幻アマネセル/土壇場娘/ツチノコ/ひなひなひな/まめまめデスメタル/gas/wowwow/えちえち/イマジゲン/あくび/たくみす(2)/投票ボーナス(3)
1040_5168_RGW,2024-03-28,131人,"マジシャンの料理番組が一回で打ち切りに
何があった？",NA,5位,やもりみゆき,味も消えた,31,71.97,三十路味噌汁(2)/ぷるちぽん/まん丸/うめめ/カエル販売機/にゃんごすちん(2)/うえじゅん/手向けられたナイフ(2)/薄力粉/じす/ヒマジン(2)/はいどぼーい/月の瞼/劣等生の扁桃腺/ボビー/にこごり/何かのマリネ/例の深海狐/合法(2)/Mr.GIFT券/黒胡椒/three-all/たくみす/投票ボーナス(3)
1040_5168_RGW,2024-03-28,131人,"マジシャンの料理番組が一回で打ち切りに
何があった？",NA,5位,永栄,口から口に移動した,31,71.97,ぷるちぽん/モチオ(2)/みらきの/やもりみゆき/カエル販売機/くいてー/でろ坊/にゃんごすちん/減るわかめ/さてつ/morisho/じす/腹筋ニート(3)/たでくい/ボブ（北陸在住）/ちりめん猛者/月の瞼/冠武/パピ4ン/アルブラレリー/ツチノコ/まめまめデスメタル/ととまる/黒胡椒/wowwow/どんぐり亭/イマジゲン/たくみす
1040_5168_RGW,2024-03-28,131人,"マジシャンの料理番組が一回で打ち切りに
何があった？",NA,7位,エキスポ万博,隠し味を絶対に教えない,30,70.71,みらきの/うめめ/🧸/ヤムチャ/さてつ/syouseisatou(2)/じす/コモリヤ(2)/たでくい/だうにー/ヒマジン/よく噛む/ウ段邂逅/何かのマリネ/ラジウス/かるろす/ひなひなひな/まめまめデスメタル/はそん/イマジゲン/あくび(2)/girichoco(3)/投票ボーナス(3)
1040_5168_RGW,2024-03-28,131人,"マジシャンの料理番組が一回で打ち切りに
何があった？",NA,8位,うえじゅん,レシピないって言い張る,29,69.46,まん丸/鍛冶(2)/モチオ/みらきの/やもりみゆき/健やか本社/でろ坊/さてつ/syouseisatou(3)/薄力粉/コモリヤ/ボブ（北陸在住）/ウ段邂逅/たたた/月の瞼/劣等生の扁桃腺(2)/何かのマリネ/gas/らぷんつぇるん/どんぐり亭/イマジゲン/あくび/投票ボーナス(3)
1040_5168_RGW,2024-03-28,131人,"マジシャンの料理番組が一回で打ち切りに
何があった？",NA,8位,にこごり,コインを触った手で食材を触っていた,29,69.46,収蔵/モチオ/明石/みらきの/ハッスル運動会/くいてー/でろ坊/うえじゅん/Heaven/サツパラ(2)/んでびろ/ずんだれ/薄力粉/ボブ（北陸在住）/リトルガーデン/月の瞼/劣等生の扁桃腺(2)/ラジウス/土壇場娘/atatakaimizu(2)/ひなひなひな/はそん/あくび/投票ボーナス(3)
1040_5168_RGW,2024-03-28,131人,"マジシャンの料理番組が一回で打ち切りに
何があった？",NA,10位,パピ4ン,スポンサーの字を消した,28,68.2,三十路味噌汁/まん丸/収蔵/みらきの/うめめ/やもりみゆき/カエル販売機/でろ坊/こーひーたいむ/じす/腹筋ニート/ウ段邂逅/灰色こたつ(2)/合法(2)/ツチノコ/ひなひなひな/黒胡椒(2)/wowwow(2)/えちえち/はそん/たくみす/投票ボーナス(3)
