お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1045_2183_TZZ,2024-04-03,195人,蚊が血を吸うと同時にしていたら嫌なこと,NA,1位,あかしやきいも,「また利用したい」に丸つける,60,87.09,あまるる/ちんてる/T-FOX/おまつ/入れ歯型乳歯/ポチオン/られるりり/お海/しばらくはうに/満天星まいてぃん/あの時のペリー/飯田故郷/ハッスル運動会/rrryo/冒（縞模様の土管）(2)/しわしわの和紙/ミズイチ/鮒侍/鼻腔炭酸/木星/まぐねくぼ/泥のぷーまん/冷食パスタレビュー/すぐラップ&チルド/バジルごはん/赤嶺二等兵(3)/もこもこねこちゃん/柚苑/sunshine(3)/きみをゆるさない。/直角/ミトンアイス/フイ/くじ運/ほろほろ/クラクロ/さすら/かみそん/りょんこ/Pany/紅芋紫/あ〜ちゃん/andrewZ/赤黄色/300500(3)/雀100/銀大次席/瀧野/冷凍トイレ/大ちゃんす/投票ボーナス(3)
1045_2183_TZZ,2024-04-03,195人,蚊が血を吸うと同時にしていたら嫌なこと,NA,2位,drzz,自分の痒いところ掻いてる,55,82.45,松尾(2)/ちんてる/hexagon6(2)/黄緑黄緑黄緑/あの時のペリー/ハッスル運動会(2)/Isamu(2)/rrryo/ささくれ撫ぜ太郎/すろとる(2)/アグロ失言蝶/ゴリラ王子(2)/木星(2)/固定残業代/冷食パスタレビュー/覇道きてぃ/よもぎ饅頭/やんわり/赤嶺二等兵(3)/sunshine/ミトンアイス/フイ/rayleigh/灰色こたつ(3)/劣等生の扁桃腺(2)/すこぶるねむい(3)/クラクロ/紆余曲折/さすら/にいがた/頑丈ベホマ(2)/つゆだQ/ぼんやり/幽体/花花花/銀大次席(3)/冷凍トイレ/裁判官ランキング
1045_2183_TZZ,2024-04-03,195人,蚊が血を吸うと同時にしていたら嫌なこと,NA,3位,miha,炭酸で割る,54,81.52,犬クジラ/すけ/あまるる/ちんてる/スキャンダル/のうのみそ/hexagon6/お海/幾田ごりら/ジョセフ/ささくれ撫ぜ太郎/冒（縞模様の土管）/汁物勢/まめまめデスメタル/小森/固定残業代(2)/すぐラップ&チルド/ﾈﾈﾈﾈﾈ/聖歌隊/やんわり/副菜(2)/きみをゆるさない。/もりそば/哲学ミミズ/直角/シャケマヨ/rayleigh/5.5畳/お嬢様ですわぁ/劣等生の扁桃腺/すこぶるねむい/ポリネシアン/ゾエコーヒー/さすら/紅芋紫/エントリー/あ〜ちゃん/むのうき/sasuke/おぅでぃだんだん/幽体/花花花/雀100/自動車部員/銀大次席/おでんは/せんだい/ボインの逆襲/何かのマリネ/チャイニーズマフィア/冷凍トイレ/大ちゃんす
1045_2183_TZZ,2024-04-03,195人,蚊が血を吸うと同時にしていたら嫌なこと,NA,4位,頑丈ベホマ,ふと秋を思う,49,76.87,あかしやきいも/ななめ(2)/のうのみそ/エバラ/満天星まいてぃん/あの時のペリー/飯田故郷(2)/すろとる(2)/頭痛が痛い(3)/しわしわの和紙/鼻腔炭酸/イケダタカハシ(2)/アグロ失言蝶(3)/たいら/さもん/覇道きてぃ/同じSHARK/もこもこねこちゃん/副菜/くじ運/灰色こたつ/ほろほろ/ゾエコーヒー/にいがた/Pany/andrewZ/赤黄色/早芽ねる(3)/吉井家よしえ(3)/幽体/みくすし/ロンパ/りくがめ/大ちゃんす/投票ボーナス(3)
1045_2183_TZZ,2024-04-03,195人,蚊が血を吸うと同時にしていたら嫌なこと,NA,5位,すぐラップ&チルド,首だけの会釈,48,75.94,犬クジラ/すけ/あまるる/松尾/満天星まいてぃん/黄緑黄緑黄緑/ジョセフ/やまぐちみかこ/ハッスル運動会/残り湯ごくごく丸/すろとる/しわしわの和紙/鼻腔炭酸/イケダタカハシ(2)/汁物勢/無明海/まめまめデスメタル/ﾈﾈﾈﾈﾈ/聖歌隊/バジルごはん/やんわり/すけきよ/柚苑/sunshine(2)/もりそば/直角/シャケマヨ/フイ/5.5畳/ほろほろ/にいがた/紅芋紫/エントリー/耳ぶた/幽体/バム(2)/ロンパ/瀧野/ボインの逆襲/りくがめ/あると(2)/投票ボーナス(3)
1045_2183_TZZ,2024-04-03,195人,蚊が血を吸うと同時にしていたら嫌なこと,NA,5位,すこぶるねむい,味変,48,75.94,ちんてる/玄の字。/おまつ/イカチュウ/幾田ごりら/満天星まいてぃん/冒（縞模様の土管）(2)/頭痛が痛い(2)/しわしわの和紙/木星/小森/たいら/覇道きてぃ/すぐラップ&チルド(2)/ライ/ﾈﾈﾈﾈﾈ/聖歌隊/やんわり/知り合い(2)/柚苑/たし/sunshine(2)/にこごり/まいつた/お嬢様ですわぁ/ポリネシアン/さすら/かみそん/にいがた/紅芋紫/頑丈ベホマ/エントリー/andrewZ(2)/Natyo/sasuke/自動車部員/ロンパ/おでんは/盾食う虫/投票ボーナス(3)
1045_2183_TZZ,2024-04-03,195人,蚊が血を吸うと同時にしていたら嫌なこと,NA,7位,黄緑黄緑黄緑,足でリズムを刻む,42,70.37,あかしやきいも/すけ/ちんてる/入れ歯型乳歯/とんちー/エバラ/あの時のペリー/ハッスル運動会/Isamu/rrryo/汁物勢/アグロ失言蝶(2)/まめまめデスメタル/iiha/たいら/さもん/覇道きてぃ/わたんきまん/ﾈﾈﾈﾈﾈ/聖歌隊(2)/バジルごはん/赤嶺二等兵(2)/もこもこねこちゃん/知り合い/副菜/くじ運(2)/クラクロ/ゾエコーヒー/約13個入り(2)/アホランド(2)/おぅでぃだんだん/バム/椎茸キング/投票ボーナス(3)
1045_2183_TZZ,2024-04-03,195人,蚊が血を吸うと同時にしていたら嫌なこと,NA,8位,せあしん,ストローぶくぶく,41,69.44,かにく/ちんてる/おまつ/イカチュウ/られるりり/エバラ/ジョセフ/やまぐちみかこ/ハ生ム/Isamu/リトルガーデン/鼻腔炭酸/木星/まぐねくぼ/まめまめデスメタル/iiha/小森/すぐラップ&チルド/ﾈﾈﾈﾈﾈ/聖歌隊/バジルごはん/柚苑/直角/シャケマヨ(2)/劣等生の扁桃腺(2)/ヌル8(2)/さすら/ゆっちー/紅芋紫/ボブ（北陸在住）/吉井家よしえ(2)/つゆだQ/ボインの逆襲/何かのマリネ/チャイニーズマフィア(2)/りくがめ
1045_2183_TZZ,2024-04-03,195人,蚊が血を吸うと同時にしていたら嫌なこと,NA,8位,劣等生の扁桃腺,ぐちゅぐちゅしてから飲む,41,69.44,かにく/すけ/ちんてる/二階から手続き/入れ歯型乳歯/ポチオン/お海/エバラ/幾田ごりら/ジョセフ/ハ生ム/rrryo/冒（縞模様の土管）/ゴリラ王子(2)/ライ/わたんきまん/聖歌隊/まいつた/ミトンアイス/お嬢様ですわぁ/ニューメキシコ/かみそん/ゆっちー(2)/andrewZ/Natyo(2)/他のＰ/赤黄色/300500(3)/瀧野/せんだい/何かのマリネ/チャイニーズマフィア/裁判官ランキング/投票ボーナス(3)
1045_2183_TZZ,2024-04-03,195人,蚊が血を吸うと同時にしていたら嫌なこと,NA,10位,まぐねくぼ,写真だけ撮ってほぼ捨てる,39,67.59,二階から手続き/イカチュウ/ポチオン/られるりり/しばらくはうに/満天星まいてぃん/ハ生ム/ささくれ撫ぜ太郎(2)/しわしわの和紙/アグロ失言蝶/干し柿/ゴリラ王子(2)/まめまめデスメタル/ライ/ﾈﾈﾈﾈﾈ/聖歌隊(2)/sunshine/直角/5.5畳/ほろほろ/ニューメキシコ/ぜ/りょんこ/頑丈ベホマ/ボブ（北陸在住）/andrewZ/むのうき/耳ぶた/ノコノコdeath/銀大次席(2)/おでんは/ボインの逆襲/投票ボーナス(3)
