お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,1位,塩鮭,まっすぐ育って褒められる,37,88.21,グシャグシャバキバキ/きう(2)/縁ちゃん3回っ！/じゃー/オガサワラ カズシ/わたぬきさしみ(3)/Icezuki/あららうね/田中アオジル/枡田アンディ/大体いつも眠い人/あるくら/かまど馬/るーと/副菜/くうき/ひこうき/shika shika/駒田/Y-Not/オードリーカットバーン/メイド・イン・ムーン/スシトレイン/御免ライダー/あの日のニンニ/ひぐま工房(2)/ランゲル･ハンス/犬ドリル/はっちゃん/孤独のＤ/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,2位,メイド・イン・ムーン,髪を掴んで連れてかれる,30,77.64,明石/マカマカエキス/円座/グシャグシャバキバキ/紆余曲折/きう/国王/縁ちゃん3回っ！(2)/水戸/枡田アンディ/越後のくらけん(2)/鳴子レプシー/天国かラスベガス(2)/クルペッコの手羽元/副菜/えいり/駒田/Y-Not/wanumayu(2)/あの日のニンニ/ひぐま工房(2)/犬ドリル/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,3位,Y-Not,軍手付けた人に握手される,28,74.62,マカマカエキス/スポーツバッグ/青山もみじ/ラプンツェル/国王/せんくうこげつ/あららうね/ビニ暖/大体いつも眠い人/わるめねこち/達筆/頭脳まさき/天国かラスベガス/しばらくはうに/クルペッコの手羽元(2)/顔面激戦区/shika shika/みんなでスポーツ/メイド・イン・ムーン/ガルプボルプ/御免ライダー/あの日のニンニ/ランゲル･ハンス/犬ドリル/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,4位,パステルゆんゆん,エロい俺もいる,25,70.09,グシャグシャバキバキ/PD/紆余曲折/他のＰ/国王(2)/粉々/大豪院wiki(2)/水戸/膝ちゃん/あららうね/ブイヤーベース飯/keaf(3)/わるめねこち/おっまる/主食ワセリン/オードリーカットバーン/市営ガチ恋(2)/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,5位,顔面激戦区,田舎の嫌な部分,24,68.58,グシャグシャバキバキ(2)/スポーツバッグ/青山もみじ/ラーギ/紆余曲折/優しい電磁波/この後クリーム砲/粉々/Icezuki(2)/達筆/クルペッコの手羽元/副菜/えいり/毒猿/フォークソング研究部/メイド・イン・ムーン/御免ライダー/市営ガチ恋/パステルゆんゆん/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,6位,天国かラスベガス,他人に足を洗われる,23,67.07,明石/円座/ラプンツェル/紆余曲折/この後クリーム砲/塩鮭(2)/未来コオロギ/るーと/骨密度/副菜/顔面激戦区/shika shika/Y-Not/オードリーカットバーン/フォークソング研究部/メイド・イン・ムーン/ガルプボルプ(2)/あの日のニンニ/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,7位,かまど馬,自我がおでんに溶けていく,22,65.56,猫屋敷/明石/マカマカエキス/ちょんまげ/紆余曲折/この後クリーム砲/枡田アンディ/越後のくらけん(3)/鳴子レプシー/あるくら/骨密度/クルペッコの手羽元/くうき/shika shika/親善小僧/ひぐま工房/孤独のＤ/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,8位,櫻装束,羊が硬い,21,64.05,ちゃ柴/PD/紆余曲折/他のＰ/国王/せいかいさがし/じゃー/わたぬきさしみ(2)/膝ちゃん/あららうね(2)/頭脳まさき/天国かラスベガス/しばらくはうに/生ハム子(3)/顔面激戦区/ひこうき/フォークソング研究部
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,9位,あららうね,おでんが出てきたということはおねしょで確定か,20,62.54,猫屋敷/明石/青山もみじ(2)/粉々/大豪院wiki(2)/さめかす/膝ちゃん/Icezuki/ビニ暖/枡田アンディ/keaf(2)/わるめねこち/かまど馬/市営ガチ恋/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,9位,オードリーカットバーン,青空に飽きてくる,20,62.54,青山もみじ/PD/ラーギ/粉々/田中アオジル/大体いつも眠い人/達筆/天国かラスベガス/骨密度/クルペッコの手羽元/豆腐/親善小僧/毒猿/スシトレイン/あの日のニンニ/はっちゃん/パステルゆんゆん/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,9位,ガルプボルプ,生産者さんの顔が、みえる、,20,62.54,ラーギ/膝ちゃん/Icezuki(3)/越後のくらけん(2)/生ハム子(3)/くうき(2)/えいり/豆腐(2)/市営ガチ恋/犬ドリル/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,9位,フォークソング研究部,電柱から鳥が見てる,20,62.54,紆余曲折/大体いつも眠い人/越後のくらけん(3)/鳴子レプシー/お笑いマニアマニア(2)/頭脳まさき/天国かラスベガス/骨密度/副菜/豆腐/Y-Not/オードリーカットバーン/あの日のニンニ/パステルゆんゆん/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,13位,じゃー,Adoが私は大根と歌う,19,61.03,メンテ(3)/マカマカエキス/きう/せいかいさがし(2)/大体いつも眠い人/顔面激戦区/ひこうき/えいり/主食ワセリン(2)/Y-Not(2)/オードリーカットバーン/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,13位,ちなむん,甲子園の土バカ美味い,19,61.03,メンテ(3)/猫屋敷/きう/塩鮭/せんくうこげつ/オガサワラ カズシ/田中アオジル/未来コオロギ(3)/クルペッコの手羽元/おっまる/顔面激戦区/主食ワセリン/メイド・イン・ムーン/市営ガチ恋/犬ドリル
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,13位,紆余曲折,農家の汗が降ってくる,19,61.03,猫屋敷/明石/マカマカエキス/この後クリーム砲/じゃー/粉々/大体いつも眠い人/越後のくらけん/お笑いマニアマニア/クルペッコの手羽元/副菜/オードリーカットバーン/ガルプボルプ/wanumayu(2)/パステルゆんゆん/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,16位,みんなでスポーツ,カツラを剥かれている,18,59.52,メンテ/青山もみじ/ラプンツェル/ちょんまげ/膝ちゃん/Icezuki/わるめねこち/鳴子レプシー/あるくら/おっまる/スシトレイン/wanumayu(2)/犬ドリル/チムポコヤマシタ/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,17位,ちゃ柴,正拳突きを繰り返す長渕剛,17,58.01,円座/ちょんまげ/狂ったパン屋さん/じゃー(2)/膝ちゃん/越後のくらけん/クルペッコの手羽元(2)/おっまる/ひこうき/みんなでスポーツ/ランゲル･ハンス/はっちゃん/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,17位,グシャグシャバキバキ,味に染みられる,17,58.01,ちゃ柴/PD/粉々/さめかす/あららうね/田中アオジル/越後のくらけん(2)/頭脳まさき/しばらくはうに/副菜/くうき/チムポコヤマシタ(2)/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,17位,ミソスープジャパン,5分おきにデブが来て菜箸で硬さを確認される,17,58.01,kous1(2)/猫屋敷/優しい電磁波/せんくうこげつ/水戸(2)/オガサワラ カズシ/あららうね(2)/ビニ暖/しばらくはうに/豆腐(2)/御免ライダー(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,17位,犬ドリル,足から擦られる,17,58.01,メンテ/kous1(2)/ラプンツェル/PD/粉々/さめかす(2)/越後のくらけん/鳴子レプシー/るーと/骨密度/クルペッコの手羽元/あの日のニンニ/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,21位,頭脳まさき,美容院で面取りされた,16,56.5,メンテ(2)/ラーギ/塩鮭/わたぬきさしみ/あるくら/かまど馬/しばらくはうに/毒猿/市営ガチ恋/犬ドリル/チムポコヤマシタ/孤独のＤ/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,22位,副菜,刀がすぐ折れる,15,55.0,マカマカエキス/スポーツバッグ/ちゃ柴/ラーギ/あららうね/達筆/天国かラスベガス(2)/しばらくはうに/クルペッコの手羽元/スシトレイン/パステルゆんゆん/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,23位,wanumayu,エロ人間としてニュースになる,14,53.49,メンテ(3)/円座/スポーツバッグ/青山もみじ/さめかす/ブイヤーベース飯/田中アオジル/かまど馬/Y-Not/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,23位,しばらくはうに,覚めるにつれ辛くなる,14,53.49,ラプンツェル/紆余曲折/他のＰ/せいかいさがし/頭脳まさき/顔面激戦区/ひこうき/rrryo/駒田/毒猿/ひぐま工房/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,23位,せいかいさがし,えっちな大根とそういう雰囲気になるが、断られる,14,53.49,グシャグシャバキバキ/きう/狂ったパン屋さん/優しい電磁波/あるくら/生ハム子(2)/くうき/豆腐/御免ライダー/犬ドリル/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,23位,大体いつも眠い人,武士が、おでんを守って斬られた,14,53.49,メンテ(3)/じゃー/塩鮭/水戸/達筆/おっまる/豆腐(2)/主食ワセリン/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,23位,大石くん,根つけない,14,53.49,ちゃ柴/ラプンツェル/この後クリーム砲/大豪院wiki/さめかす(2)/ブイヤーベース飯(2)/あるくら/shika shika/主食ワセリン(2)/スシトレイン/はっちゃん
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,23位,明石,彼女のスネ毛,14,53.49,メンテ(2)/スポーツバッグ/せいかいさがし/骨密度/顔面激戦区/Y-Not/フォークソング研究部/wanumayu(2)/パステルゆんゆん/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,23位,水戸,値段を付けられる,14,53.49,グシャグシャバキバキ/ラプンツェル/ちょんまげ/他のＰ/優しい電磁波/オガサワラ カズシ/枡田アンディ/rrryo/親善小僧/みんなでスポーツ/スシトレイン/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,23位,親善小僧,足からすりおろされる,14,53.49,ちゃ柴/ラプンツェル/きう/粉々/越後のくらけん(2)/鳴子レプシー/shika shika/rrryo/ガルプボルプ(2)/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,23位,豆腐,エッチな形の人間としてSNSでバズる,14,53.49,マカマカエキス/青山もみじ/他のＰ/狂ったパン屋さん/膝ちゃん/ブイヤーベース飯(2)/ビニ暖/枡田アンディ/かまど馬/毒猿/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,32位,shika shika,体が軽いと思ったら桂剥きされてた,13,51.98,きう/せんくうこげつ/ブイヤーベース飯/越後のくらけん/わるめねこち/お笑いマニアマニア(2)/頭脳まさき/rrryo/犬ドリル/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,32位,お笑いマニアマニア,動物と話せるけどみんな論破してくる,13,51.98,メンテ(3)/グシャグシャバキバキ/ちょんまげ/狂ったパン屋さん/オガサワラ カズシ/ビニ暖/メイド・イン・ムーン/あの日のニンニ/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,32位,きう,恋人がにんじん,13,51.98,ちゃ柴/オガサワラ カズシ/膝ちゃん/ビニ暖/るーと/くうき/えいり/オードリーカットバーン/御免ライダー/パステルゆんゆん/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,32位,ビニ暖,yogiboで寝ている人にめちゃくちゃ煽られている,13,51.98,メンテ/狂ったパン屋さん/せんくうこげつ/オガサワラ カズシ/わたぬきさしみ(3)/あるくら/みんなでスポーツ/はっちゃん/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,32位,大豪院wiki,どのジャンルでも主人公にはなれない,13,51.98,メンテ/優しい電磁波/Icezuki/越後のくらけん(3)/お笑いマニアマニア/頭脳まさき/rrryo/親善小僧/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,32位,毒猿,アツアツの人間を食べさせられる,13,51.98,猫屋敷/大豪院wiki/枡田アンディ(2)/あるくら/shika shika/えいり/メイド・イン・ムーン/御免ライダー/孤独のＤ/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,32位,狂ったパン屋さん,でっかい刺身のお布団で寝る,13,51.98,青山もみじ/国王/水戸/達筆/頭脳まさき(2)/shika shika/毒猿/Y-Not/孤独のＤ/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,39位,円座,枕を枕にした大根の夢,12,50.47,マカマカエキス/優しい電磁波/ビニ暖/枡田アンディ/しばらくはうに/くうき/ひこうき/えいり/駒田/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,39位,枡田アンディ,エッチなポーズで金縛りにあう,12,50.47,メンテ/ちゃ柴/せいかいさがし/塩鮭/田中アオジル/わるめねこち/スシトレイン/市営ガチ恋/ランゲル･ハンス/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,39位,骨密度,車から車が出てくる,12,50.47,国王/わるめねこち/鳴子レプシー/達筆/クルペッコの手羽元/副菜/ひこうき/フォークソング研究部(2)/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,42位,あの日のニンニ,谷に落ちた人たちの村,11,48.96,ちゃ柴/紆余曲折/縁ちゃん3回っ！(2)/じゃー/達筆(2)/スシトレイン/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,42位,わたぬきさしみ,髪や皮膚など、あまねく部位が可食部としてありがたがられる,11,48.96,せいかいさがし(2)/越後のくらけん(2)/わるめねこち/くうき/みんなでスポーツ/チムポコヤマシタ/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,42位,クルペッコの手羽元,さらに厚めに剥かれる,11,48.96,猫屋敷/ラーギ/この後クリーム砲/未来コオロギ/骨密度/メイド・イン・ムーン/犬ドリル/孤独のＤ/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,42位,スシトレイン,大根バーガーで破産する,11,48.96,ラーギ/ちょんまげ/他のＰ/水戸/鳴子レプシー/あるくら/かまど馬/rrryo/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,42位,孤独のＤ,森の役に3人使った,11,48.96,きう/国王/優しい電磁波(2)/せんくうこげつ/田中アオジル(2)/親善小僧/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,42位,青山もみじ,鈴木福くんに「変に演技するより素のままの方がいいですよ」とアドバイスを貰う,11,48.96,メンテ(3)/せいかいさがし/水戸/ひぐま工房(2)/孤独のＤ/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,48位,PD,見にくい歯型になる,10,47.45,縁ちゃん3回っ！/天国かラスベガス/骨密度/しばらくはうに/駒田/メイド・イン・ムーン/wanumayu/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,48位,あるくら,美女に膝枕してもらっているのに硬いし青臭いし,10,47.45,メンテ/大豪院wiki(2)/かまど馬/rrryo/親善小僧/パステルゆんゆん/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,48位,えいり,自分の頭の下にトンネルが建設される夢,10,47.45,円座/狂ったパン屋さん/せんくうこげつ/お笑いマニアマニア/親善小僧/駒田/ランゲル･ハンス/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,48位,この後クリーム砲,出汁がどんどん沁みてくる,10,47.45,明石/粉々/越後のくらけん/shika shika/駒田/ガルプボルプ/犬ドリル/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,48位,るーと,元気な大根を無事に出産,10,47.45,メンテ(2)/明石/さめかす/親善小僧/ランゲル･ハンス/孤独のＤ/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,48位,ランゲル･ハンス,タバコみたいに吸ってる,10,47.45,国王/この後クリーム砲/塩鮭/Icezuki/おっまる/オードリーカットバーン/スシトレイン/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,48位,ラーギ,大根おろしに出社する,10,47.45,kous1(2)/円座/オガサワラ カズシ/田中アオジル/毒猿/オードリーカットバーン/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,48位,御免ライダー,永遠に引っこ抜かれる,10,47.45,マカマカエキス/PD/ラーギ/この後クリーム砲/お笑いマニアマニア/ひこうき/スシトレイン/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,48位,薄力粉,脂ののったブリが泳いで来る,10,47.45,kous1/円座/他のＰ/塩鮭/ビニ暖/越後のくらけん/あるくら/おっまる/主食ワセリン/はっちゃん
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,57位,ひこうき,ある大根の一生,9,45.94,縁ちゃん3回っ！/わるめねこち/未来コオロギ(2)/るーと/フォークソング研究部/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,57位,バニラソフト,オフロードを歩いていると足が短くなっていく,9,45.94,グシャグシャバキバキ/大豪院wiki/せんくうこげつ/あららうね(2)/ブイヤーベース飯/越後のくらけん/生ハム子/顔面激戦区
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,57位,マカマカエキス,畑に横向きで埋まる,9,45.94,ラーギ/塩鮭/水戸/大体いつも眠い人/ひこうき/スシトレイン/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,57位,猫屋敷,千と千尋のアイツがエレベーターに乗った瞬間ブザーがなり₍₍ (̨̡ ‾᷄⌂‾᷅)̧̢ ₎₎ってなる夢,9,45.94,メンテ(2)/明石/スポーツバッグ(2)/あるくら/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,57位,田中アオジル,抜いたエロ大根で抜く,9,45.94,ちょんまげ/この後クリーム砲/keaf(2)/ガルプボルプ/チムポコヤマシタ/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,57位,達筆,青い部屋に武器が置かれてる,9,45.94,円座/青山もみじ/じゃー/副菜/顔面激戦区/みんなでスポーツ/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,63位,さめかす,下手くそな俳優,8,44.43,PD/縁ちゃん3回っ！/わるめねこち/駒田/ランゲル･ハンス/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,63位,スポーツバッグ,大きいオネエに膝枕してもらう,8,44.43,縁ちゃん3回っ！/クルペッコの手羽元/毒猿/みんなでスポーツ/パステルゆんゆん/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,63位,メンテ,身体の各所に妙に丈夫な太毛が生えてる,8,44.43,じゃー/オガサワラ カズシ/越後のくらけん/わるめねこち/るーと/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,63位,粉々,タイムズスクエアに生えるど根性大根,8,44.43,狂ったパン屋さん/優しい電磁波/越後のくらけん/チムポコヤマシタ(2)/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,63位,駒田,こきおろされる夢,8,44.43,他のＰ/ガルプボルプ/あの日のニンニ/ひぐま工房(2)/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,68位,こ゛りおた,棒読みの俳優に囲まれる,7,42.92,ラプンツェル/他のＰ/Icezuki/大体いつも眠い人/るーと/親善小僧/孤独のＤ
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,68位,オガサワラ カズシ,登場人物が全員大根役者,7,42.92,ちゃ柴/ビニ暖/keaf/みんなでスポーツ/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,68位,ラプンツェル,六甲おろしを歌いながらすりおろされる,7,42.92,猫屋敷/明石/越後のくらけん/くうき/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,68位,他のＰ,一富士二鷹三茄子の揚げ浸し,7,42.92,鳴子レプシー/しばらくはうに/主食ワセリン/はっちゃん/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,68位,越後のくらけん,干されて漬けられて自分の体から旨味が溢れていくリアルな感覚,7,42.92,かまど馬/るーと/えいり/はっちゃん/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,73位,わるめねこち,登場人物が全員大根芝居,6,41.41,kous1(2)/はっちゃん/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,73位,チムポコヤマシタ,先が二つに分かれて人の脚みたいなセクシー大根とイチャイチャできる。,6,41.41,ちょんまげ/お笑いマニアマニア/rrryo/投票ボーナス(3)
1566_5125_JPZ,2024-04-18,93人,大根を枕にした人の見る夢,NA,73位,国王,耳かき,6,41.41,PD/フォークソング研究部/市営ガチ恋/投票ボーナス(3)
