お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1536_9818_TNV,2024-04-23,106人,モンスターしかいない学校に赴任してきた教師,NA,1位,刺身たんぽぽ,呼ばれ方が「ニンゲン」から「先生」に変わっていく,49,88.15,たこかいな/マアズ/おまんじゅう/ハムスターさくら/ソバ(2)/キスいわし/手檻阿/ささくれ撫ぜ太郎/お麩カルマ/其ノ蜩/れろす/ヤマカゼ/はーる/エントリー/ルュリロラ(2)/ぱーむん/紆余曲折/camel/くじ運(2)/あついし(2)/ほんまや他人行儀/ターンブル/Good insect/粉石鹸/津浦/オーバーニート(2)/早芽ねる/ベイベベイベー/みつみはるか(3)/つちのこシャングリラ/石原消し炭/にこごり/みたらしマンボ(2)/ナゲット(2)/収蔵/ハッスル運動会/週1/投票ボーナス(3)
1536_9818_TNV,2024-04-23,106人,モンスターしかいない学校に赴任してきた教師,NA,2位,ハムスターさくら,教室入る前に1回セーブする,41,79.27,たこかいな/残り湯ごくごく丸/おまんじゅう/ルントウ/刺身たんぽぽ/鼻腔炭酸/手檻阿/骨密度/Nokisuke(2)/大ちゃんす/れろす/かみそん/はーる(2)/エントリー/他のＰ/道センター/ぱーむん(2)/camel/たまご兄貴/ほんまや他人行儀/ミズイチ/Good insect/粉石鹸/んまもんも/jam2628/つちのこシャングリラ/やまもん/月の瞼/みたらしマンボ(2)/ダイナマイト四国(2)/収蔵/ハッスル運動会(2)/投票ボーナス(3)
1536_9818_TNV,2024-04-23,106人,モンスターしかいない学校に赴任してきた教師,NA,3位,800,今日は花というものを持って来ました,39,77.05,たこかいな(3)/マアズ/ハムスターさくら/ルントウ(2)/りょんこ/手檻阿/あららうね/戦慄の北枕/ささくれ撫ぜ太郎/モゲラ/フイ/コレカタ/ヤマカゼ/ルュリロラ(2)/じゃみこ(2)/くじ運(3)/ほんまや他人行儀/低血圧(2)/んまもんも/早芽ねる/shika shika/めっけもん/牛込神楽/石原消し炭(2)/にこごり/ouou(2)/投票ボーナス(3)
1536_9818_TNV,2024-04-23,106人,モンスターしかいない学校に赴任してきた教師,NA,4位,ouou,どの感情の汁なのか聞く,35,72.61,マアズ/刺身たんぽぽ/shaman/キスいわし/鼻腔炭酸/ささくれ撫ぜ太郎/モゲラ(3)/コレカタ(2)/エントリー/本格中華(2)/道センター(2)/劣等生の扁桃腺(2)/ルュリロラ(2)/じゃみこ(2)/くじ運/ほんまや他人行儀/低血圧/ターンブル/んまもんも/早芽ねる/やまもん/秋菊(3)/投票ボーナス(3)
1536_9818_TNV,2024-04-23,106人,モンスターしかいない学校に赴任してきた教師,NA,4位,秋菊,どっちサイドの歴史を語るか悩む,35,72.61,おまんじゅう(2)/ハムスターさくら/ルントウ/新橋バシバシ/レイドン/あららうね/コレカタ/CH3OH/黄緑黄緑黄緑/れろす/ヤマカゼ/sunshine/じゃみこ(2)/camel/あついし(2)/ほんまや他人行儀/Good insect/津浦/親のたたき(2)/早芽ねる/ベイベベイベー/ゴリランド/tomaru126/めっけもん/牛込神楽/突撃ひとり/石原消し炭/かくれどり/投票ボーナス(3)
1536_9818_TNV,2024-04-23,106人,モンスターしかいない学校に赴任してきた教師,NA,6位,にこごり,生徒を顔と弱点で覚えている,32,69.28,おまんじゅう/近日公開/刺身たんぽぽ/鼻腔炭酸/手檻阿/あららうね/ささくれ撫ぜ太郎/二塁シャチ/フイ/コレカタ(2)/800/黄緑黄緑黄緑/エントリー/sunshine/道センター/camel/あついし/津浦/調査する/へきさまる/jam2628/tomaru126/shika shika/つちのこシャングリラ(3)/平凡亭パンチ/月の瞼/投票ボーナス(3)
1536_9818_TNV,2024-04-23,106人,モンスターしかいない学校に赴任してきた教師,NA,6位,平凡亭パンチ,まず非常口を覚える,32,69.28,残り湯ごくごく丸/近日公開/shaman/あららうね/二塁シャチ/フイ/大ちゃんす/コレカタ/800/かみそん/本格中華(2)/sunshine/ぱーむん/くじ運(2)/たまご兄貴/ほんまや他人行儀/へきさまる/みつみはるか(3)/つちのこシャングリラ/牛込神楽/バム/月の瞼/石原消し炭/ouou/ハッスル運動会/投票ボーナス(3)
1536_9818_TNV,2024-04-23,106人,モンスターしかいない学校に赴任してきた教師,NA,8位,sunshine,生物の授業で「人間は美味しくない」と強調する,30,67.06,たこかいな/新Goo/残り湯ごくごく丸/モチ/イデア/近日公開/レイドン/Nokisuke(2)/コレカタ/其ノ蜩/はーる/エントリー/劣等生の扁桃腺/ルュリロラ/ぱーむん/ミヤガイ/ほんまや他人行儀/ターンブル/親のたたき/jam2628/ゴリランド/すずきすなぎも/q館長/秋菊/みたらしマンボ(2)/投票ボーナス(3)
1536_9818_TNV,2024-04-23,106人,モンスターしかいない学校に赴任してきた教師,NA,8位,近日公開,家庭訪問を「クエスト」と呼ぶ,30,67.06,たこかいな(2)/ハムスターさくら/新橋バシバシ/レイドン/コレカタ/CH3OH/すみま戦闘態勢 !!/れろす/はーる/エントリー/他のＰ/camel/ミヤガイ(2)/あついし/ほんまや他人行儀/だしよくん(2)/へきさまる/jam2628/月の瞼/すずきすなぎも/にこごり/みたらしマンボ(2)/ナゲット/投票ボーナス(3)
1536_9818_TNV,2024-04-23,106人,モンスターしかいない学校に赴任してきた教師,NA,10位,たこかいな,出勤途中に倒した子がいて気まずい,28,64.84,ハムスターさくら/ソバ(2)/ささくれ撫ぜ太郎/其ノ蜩/エントリー/あらたな風(3)/じゃみこ(2)/camel/ミヤガイ/ほんまや他人行儀/津浦/早芽ねる/ベイベベイベー/tomaru126/突撃ひとり/すずきすなぎも/秋菊(3)/ouou/収蔵/投票ボーナス(3)
1536_9818_TNV,2024-04-23,106人,モンスターしかいない学校に赴任してきた教師,NA,10位,オーバーニート,落ちてきたのが黒板消しで安心した,28,64.84,残り湯ごくごく丸/ハムスターさくら/shaman/手檻阿/骨密度/Nokisuke/コレカタ/ヤマカゼ/エントリー/ぱーむん/じゃみこ(3)/くじ運/へきさまる/shika shika/めっけもん/牛込神楽(2)/すずきすなぎも(2)/石原消し炭/かくれどり(2)/ハッスル運動会/投票ボーナス(3)
