お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
1143_9798_VYI,2024-04-30,100人,お爺ちゃんみたいなギャル,NA,1位,もふっこ,スマホをいじる時指をなめる,37,86.16,じゃぱな(3)/わたなべいびー/バレッサ/ゆたーなる/実名希望/ちばらぴ/螺旋貝柱/Nado/一本松(2)/ひとくち肉/柚苑/ライ/祟り君/ラニーニャ/邪理(2)/なまこP/ぬるま湯スカッシュ/KCO/せりか/three-all/orionfires/パブロ風の犬/タユタウマグナム/明石/はっちゃん/かみそん/高だの高代/Y-Not/悲しげな女が踊る/ボブ（北陸在住）/投票ボーナス(3)
1143_9798_VYI,2024-04-30,100人,お爺ちゃんみたいなギャル,NA,2位,💃,ウチ薬飲んだ？,31,77.44,じゃぱな/過去分詞(3)/螺旋貝柱/ハッピー対策/ひとくち肉/柚苑/ムク/なまこP/鈍器/もふっこ/せりか/three-all/ふどゅぎ(2)/手檻阿/タユタウマグナム/斎藤/たまご兄貴/スコール/ほろほろ/わるめねこち/今、肘のとき/Y-Not/しょうりゅー/ボブ（北陸在住）/其ノ蜩/投票ボーナス(3)
1143_9798_VYI,2024-04-30,100人,お爺ちゃんみたいなギャル,NA,3位,邪理,朝盛れたのを忘れる,30,75.98,実名希望/螺旋貝柱/💃/一本松/ひとくち肉/ラニーニャ/エバラ/なまこP/ひがその/ぬるま湯スカッシュ/KCO/反抗期(2)/コックカワサキ/three-all/手檻阿/みょんみょん(2)/パブロ風の犬/お海/こんなところにエビチリ(3)/拙僧/敵刺/わるめねこち/ボブ（北陸在住）/投票ボーナス(3)
1143_9798_VYI,2024-04-30,100人,お爺ちゃんみたいなギャル,NA,4位,わるめねこち,ぴゑん🥺,29,74.53,バレッサ/過去分詞/イカポン/螺旋貝柱/Nado/ひとくち肉/祟り君(2)/なまこP/ひがその/鈍器/もふっこ/松永エンドレス/コックカワサキ/きむちぃ/orionfires/2周年🍵/タミフル5245(3)/秋の日はかかとおとし/しょうりゅー/レイドン/悲しげな女が踊る/小脳/はと/投票ボーナス(3)
1143_9798_VYI,2024-04-30,100人,お爺ちゃんみたいなギャル,NA,5位,拙僧,まぢムセる。,26,70.16,わたなべいびー/ひぃ(3)/💃/ボテボ亭三ゴ郎/ラニーニャ/なまこP/ひがその/松永エンドレス/せりか/three-all/むらさき/少しだけ賢い/たまご兄貴/山葵布団/しょうりゅー/レイドン/悲しげな女が踊る/カラスマル/はと(3)/投票ボーナス(3)
1143_9798_VYI,2024-04-30,100人,お爺ちゃんみたいなギャル,NA,5位,過去分詞,陛下が映る時だけマジで喋らない,26,70.16,紆余曲折(2)/バレッサ/ゆたーなる/💃/ムク/なまこP/KCO/チェドラウイ(2)/真島シゲキックス/小森/くとぅるふ/2周年🍵/斎藤(3)/今、肘のとき(2)/悲しげな女が踊る/小脳(2)/其ノ蜩/投票ボーナス(3)
1143_9798_VYI,2024-04-30,100人,お爺ちゃんみたいなギャル,NA,7位,KCO,付けてるカラコン探してる,24,67.25,螺旋貝柱/ラニーニャ/なまこP/さめかす/反抗期/せりか/真島シゲキックス/さいふぉん/ふどゅぎ/タユタウマグナム/斎藤/スコール/お海/こんなところにエビチリ(3)/敵刺/ほろほろ/はっちゃん/小脳/カラスマル/投票ボーナス(3)
1143_9798_VYI,2024-04-30,100人,お爺ちゃんみたいなギャル,NA,7位,わたなべいびー,109より119じゃね？,24,67.25,じゃぱな(2)/バレッサ/あかのすけ(2)/ouou/イカポン/ちばらぴ/ひとくち肉/ボテボ亭三ゴ郎/なまこP/ぬるま湯スカッシュ/弟子鈴/ふどゅぎ/2周年🍵/秋の日はかかとおとし/かみそん/しょうりゅー/レイドン/黒田虚弱体質/カラスマル/投票ボーナス(3)
1143_9798_VYI,2024-04-30,100人,お爺ちゃんみたいなギャル,NA,9位,パブロ風の犬,手叩いて笑った後むせる,23,65.8,紆余曲折/わたなべいびー/実名希望(2)/ライ/なまこP/ぬるま湯スカッシュ/コハ/鈍器/反抗期/弟子鈴/せりか/three-all/くとぅるふ/タミフル5245(3)/お海/はっちゃん/高だの高代/投票ボーナス(3)
1143_9798_VYI,2024-04-30,100人,お爺ちゃんみたいなギャル,NA,10位,さいふぉん,おつ枯山水〜☆,22,64.34,わたなべいびー/あかのすけ/イカポン/螺旋貝柱/柚苑/ラニーニャ/なまこP(2)/松永エンドレス/ふどゅぎ/きむちぃ(3)/小森/2周年🍵/揚げうどん(3)/レイドン/投票ボーナス(3)
1143_9798_VYI,2024-04-30,100人,お爺ちゃんみたいなギャル,NA,10位,ほろほろ,マジ老ける,22,64.34,わたなべいびー/ライ/祟り君/ラニーニャ(2)/なまこP/さめかす/せりか(2)/チェドラウイ/コックカワサキ/ふどゅぎ/2周年🍵/たまご兄貴/秋の日はかかとおとし(3)/レイドン/カラスマル/投票ボーナス(3)
1143_9798_VYI,2024-04-30,100人,お爺ちゃんみたいなギャル,NA,10位,ライ,深夜にいなくなる,22,64.34,紆余曲折/ゆたーなる/過去分詞(2)/祟り君/ムク/なまこP/コハ/コックカワサキ/みょんみょん/くとぅるふ/パブロ風の犬/お海/秋の日はかかとおとし/わるめねこち/はっちゃん/高だの高代/Y-Not/しょうりゅー/投票ボーナス(3)
1143_9798_VYI,2024-04-30,100人,お爺ちゃんみたいなギャル,NA,10位,櫻井二宮相葉大野くん松本,音を立てて飲む,22,64.34,ゆたーなる/螺旋貝柱/ぷるちぽん(2)/なまこP/KCO/反抗期/松永エンドレス/three-all/少しだけ賢い/くとぅるふ/たまご兄貴/お海/こんなところにエビチリ(3)/敵刺/ボブ（北陸在住）/カラスマル/投票ボーナス(3)
1143_9798_VYI,2024-04-30,100人,お爺ちゃんみたいなギャル,NA,14位,Y-Not,浅黒い肌に説得力がある,21,62.89,一本松/祟り君(2)/なまこP/チェドラウイ/少しだけ賢い/みょんみょん(3)/パブロ風の犬/明石/こんなところにエビチリ(2)/山葵布団/敵刺/小脳/黒田虚弱体質/其ノ蜩/投票ボーナス(3)
1143_9798_VYI,2024-04-30,100人,お爺ちゃんみたいなギャル,NA,15位,はーる,べーRealって言っちゃう,20,61.43,バレッサ/あかのすけ/実名希望/Nado/💃/一本松(2)/きう/なまこP/ぬるま湯スカッシュ/さめかす(2)/さいふぉん/タユタウマグナム/山葵布団/ほろほろ/Y-Not/小脳(2)/黒田虚弱体質
