お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,1位,ラーギ,ほんと誰も助けにこないな,46,89.47,オムライス畑/日本国憲法/のうのみそ/はまだ(2)/うおおお/だーちま(3)/たこすけ/雑兵/やきにく/expan(2)/ずんだれ/全王様/鈴木 a.k.a 鈴木(3)/石田ホルヘ/ぽむた/番場/予備のエビフライ/はちわれ/800/国王(2)/ikeishi/ジブチ/のお/満天星まいてぃん/宇治抹茶(2)/東三国/さかな/猫宮もあ/みねぼし/ダブルスタンダード/ボインの逆襲/脇原智/さんた3(2)/塩犬/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,2位,予備のエビフライ,ホットペッパービューティーを信じるしかない,39,80.72,田中アオジル/あなにいれろ/さとやまん/冠(2)/はまだ/油玉豚/うおおお(2)/初対面/たこ焼きボンバー/abcdefg/じんだい(2)/大森(2)/やきにく(2)/タユタウマグナム/ぽむた/まん丸/牛込神楽/のお/東三国/石綿アスベスト/すまいる/高城恭介(3)/akak1270(3)/別府/なゆた/野良猫ヅツキ/ブトマ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,3位,723,どの悪口だろう,38,79.47,田中アオジル/七転び直樹/隣駅(2)/オボック/はまだ(2)/油玉豚/たこ焼きボンバー/あぷら(3)/expan(2)/石田ホルヘ/ぽむた/PD/まちょ/はちわれ/未来永劫ちゃんねる/国王(2)/愛²/シーサイド品川/ナゲット・ワイルド/へなちょこ/石綿アスベスト/さかな/高城恭介(3)/ハイパーブラック/この件はご内密に/ラーギ/なゆた/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,4位,ナゲット・ワイルド,腕は確かなのよね,37,78.22,田中アオジル/オムライス畑/オボック/鮨おどし/たこ焼きボンバー/723/あぷら(3)/全王様/約13個入り/予備のエビフライ/PD/懐かしむ会/バタチキランラン ラン/はちわれ/800/未来永劫ちゃんねる/国王(2)/ひぺりおん/満天星まいてぃん/宇治抹茶(2)/フイ/顔面激戦区(2)/新郎シンポジウム/さかな/みねぼし/ダブルスタンダード/別府/ラーギ/なゆた/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,4位,懐かしむ会,ここでは先輩だから,37,78.22,シーフードパエリア(3)/オボック/のうのみそ/鮨おどし/はまだ(2)/油玉豚/だーちま/723(2)/雑兵/ひねたんからの/expan/全王様/monika/約13個入り/PD/さりつかいし/あの時のペリー/800/国王(2)/シーサイド品川/ジブチ/宇治抹茶/フイ/ツルミチッ素/へなちょこ/東三国/ダブルスタンダード/脇原智/塩犬/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,6位,東三国,UNOって言ってないよね？,36,76.97,さとやまん/七転び直樹/冠(3)/オボック/メジャー/はまだ/油玉豚/北千住柱間/だーちま(3)/鈴木 a.k.a 鈴木(3)/まん丸/予備のエビフライ/ロビンろびん/跳梁跋扈ペンデュラム/reki/愛²/ikeishi/新郎シンポジウム/石綿アスベスト/すまいる/りる24(3)/アホランド(2)/もふっこ/留学生/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,7位,さりつかいし,自慢の歌はどうした,31,70.72,田中アオジル/オムライス畑/オボック/のうのみそ/少しだけ賢い/はまだ/油玉豚/北千住柱間(2)/初対面/abcdefg/雑兵/ずんだれ/monika/まん丸/約13個入り/PD/まちょ/800/未来永劫ちゃんねる/国王/ひぺりおん/ナゲット・ワイルド/へなちょこ/啓蒙思想/さかな/脇原智/ラーギ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,8位,シーサイド品川,はい誓います,30,69.47,オムライス畑/バトルアックス(2)/チキンケバブタ/のうのみそ/はまだ(2)/うおおお/じんだい/石田ホルヘ/monika/まん丸/くものす(2)/予備のエビフライ/跳梁跋扈ペンデュラム/満天星まいてぃん/宇治抹茶/ツルミチッ素/石綿アスベスト/ダブルスタンダード/別府/羅針儀海図(3)/この件はご内密に/塩犬/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,9位,右乳,最後に香水だけ教えろ,29,68.22,あなにいれろ/隣駅/チキンケバブタ/ねくび/うおおお/たこ焼きボンバー/雑兵/やきにく/ずんだれ/monika/まん丸/ロビンろびん/hama(2)/まちょ/800/ひぺりおん/満天星まいてぃん/啓蒙思想/石綿アスベスト/猫宮もあ/ハイパーブラック/この件はご内密に(2)/脇原智/塩犬/ゑくれあ/もふっこ/インノケンティウス
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,10位,この件はご内密に,本当にマッサージですか,25,63.22,メジャー/はまだ(2)/初対面(2)/たこすけ(2)/大森/タユタウマグナム/monika/跳梁跋扈ペンデュラム/PD/懐かしむ会/ひぺりおん/牛込神楽/シーサイド品川/ナゲット・ワイルド/jonathan(2)/顔面激戦区/ハイパーブラック/ゑくれあ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,10位,前後左右,アドリブでやる手品じゃないわ,25,63.22,隣駅/のうのみそ/油玉豚/abcdefg/ひねたんからの/大森/expan/ぽむた/くものす(2)/番場/あの時のペリー/まちょ/はーる(2)/ナゲット・ワイルド/のお/宇治抹茶(2)/東三国/高城恭介(3)/この件はご内密に/塩犬
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,10位,野良猫ヅツキ,ママチャリは置いてけ,25,63.22,あなにいれろ/のうのみそ/油玉豚/北千住柱間/初対面/たこすけ/ずんだれ/石田ホルヘ/monika/まん丸/約13個入り/PD/懐かしむ会/はちわれ/800/ツルミチッ素/わんわんお/すまいる/この件はご内密に/脇原智(2)/もふっこ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,13位,monika,弱いのもあなたの個性,24,61.97,ねくび/はまだ/たこ焼きボンバー/雑兵/ひねたんからの/ずんだれ/約13個入り/ロビンろびん/さりつかいし(2)/800/未来永劫ちゃんねる/はーる/ジブチ/ツルミチッ素(2)/へなちょこ/新郎シンポジウム(2)/ラーギ/ゑくれあ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,13位,コナミスポーツ,嘘をついてる脈だぜ,24,61.97,オムライス畑/隣駅(3)/日本国憲法(2)/ねくび/はまだ/723/やきにく(2)/くものす/予備のエビフライ/PD/はちわれ/ひぺりおん/愛²/ナゲット・ワイルド/jonathan(3)/ツルミチッ素/わんわんお/東三国
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,15位,約13個入り,服汚れたらごめん,23,60.71,オムライス畑/のうのみそ/ねくび/鮨おどし/北千住柱間(2)/初対面/723/やきにく/PD/懐かしむ会/まちょ/はちわれ/800/ツルミチッ素/へなちょこ/顔面激戦区/石綿アスベスト/すまいる/ラーギ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,16位,オムライス畑,耐えれたら男,22,59.46,田中アオジル/隣駅/のうのみそ/ねくび/少しだけ賢い(2)/たこ焼きボンバー/abcdefg(2)/monika/PD/シーサイド品川/ジブチ/ツルミチッ素/へなちょこ/啓蒙思想/脇原智(2)/ゑくれあ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,16位,未来永劫ちゃんねる,字幕だと笑うところ,22,59.46,オムライス畑/バトルアックス(2)/少しだけ賢い/はまだ(2)/初対面/723/expan/さりつかいし/まちょ/800/ツルミチッ素/啓蒙思想/石綿アスベスト/ラーギ/塩犬/大迷宮(2)/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,16位,油玉豚,ハズレの美容院だ,22,59.46,隣駅/冠/バトルアックス/日本国憲法(3)/少しだけ賢い/うおおお/あぷら(3)/番場/跳梁跋扈ペンデュラム/hama(2)/まちょ/シーサイド品川/jonathan/この件はご内密に/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,16位,鈴木 a.k.a 鈴木,行くところまで行ってしまった『いっこく堂』,22,59.46,nenene/チキンケバブタ/メジャー/ねくび/はまだ/abcdefg/じんだい/expan(2)/いくらバクダン軍艦/番場/はーる/牛込神楽/ikeishi/ハイパーブラック/アホランド(2)/ブトマ/インノケンティウス/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,16位,顔面激戦区,サプリ飲んでたのバカみたい,22,59.46,田中アオジル/オムライス畑/少しだけ賢い/油玉豚/北千住柱間(2)/ずんだれ(2)/約13個入り(2)/まちょ/800/ツルミチッ素(2)/わんわんお/さかな/高城恭介(3)/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,21位,へなちょこ,挨拶をしなさい,21,58.21,オムライス畑/たこ焼きボンバー/たこすけ/大森/monika/まん丸/くものす/予備のエビフライ/はちわれ/牛込神楽/シーサイド品川/わんわんお/東三国/さかな/ハイパーブラック/ボインの逆襲/脇原智/野良猫ヅツキ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,21位,バタチキランラン ラン,震えてるの分かるわよ,21,58.21,少しだけ賢い/鮨おどし/北千住柱間(2)/723/ずんだれ(2)/全王様/さりつかいし/800/のお/フイ(2)/ツルミチッ素/わんわんお/ハイパーブラック/塩犬/ゑくれあ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,21位,愛²,もう一度言うぞ、学生証忘れたけど学割いけますか,21,58.21,オムライス畑/隣駅/シーフードパエリア/メジャー/はまだ/全王様/ぽむた/まん丸/くものす/懐かしむ会/宇治抹茶(2)/森さんです。/ゑくれあ/大迷宮(3)/インノケンティウス/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,24位,jonathan,首切りげんまん,20,56.96,メジャー(2)/少しだけ賢い/鮨おどし/abcdefg/大森/石田ホルヘ/タユタウマグナム/跳梁跋扈ペンデュラム/バタチキランラン ラン/愛²/満天星まいてぃん/新郎シンポジウム/別府/森さんです。/留学生/インノケンティウス/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,24位,だーちま,猫の手ってこうかな,20,56.96,七転び直樹/冠(3)/日本国憲法(2)/ねくび/初対面/723(2)/大森/さりつかいし/満天星まいてぃん/フイ/東三国/さかな/脇原智/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,24位,ツルミチッ素,いま花火じゃないです,20,56.96,隣駅/のうのみそ/北千住柱間/雑兵/monika/約13個入り/さりつかいし/800/未来永劫ちゃんねる/国王(2)/ジブチ/へなちょこ/啓蒙思想(2)/脇原智/ラーギ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,24位,高城恭介,僕なりの吊り橋効果だよ　結婚しよう,20,56.96,七転び直樹/鮨おどし/初対面/大森/やきにく/全王様/まん丸/hama(3)/こどく共和国/みねぼし/りる24/ハイパーブラック/この件はご内密に/森さんです。/ゑくれあ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,28位,くものす,チクっとしますよ,19,55.71,あなにいれろ/日本国憲法(2)/はまだ/北千住柱間/うおおお/あの時のペリー/愛²/jonathan(2)/石綿アスベスト/高城恭介(3)/なゆた/森さんです。/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,28位,のうのみそ,吊り橋効果に頼りすぎよ,19,55.71,田中アオジル/メジャー/北千住柱間/723/expan/石田ホルヘ/はーる/ひぺりおん/のお/東三国/猫宮もあ/ダブルスタンダード/すまいる/なゆた/森さんです。/もふっこ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,28位,雑兵,刺してた肉どこやった,19,55.71,オムライス畑/さとやまん/abcdefg/たこすけ/いくらバクダン軍艦/タユタウマグナム/まん丸/予備のエビフライ/PD/懐かしむ会/未来永劫ちゃんねる/ダブルスタンダード(2)/森さんです。/アホランド(2)/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,31位,800,野菜も食べる気になったか？,18,54.46,田中アオジル/冠/オボック/初対面/大森(2)/ぽむた/くものす/あの時のペリー/ひぺりおん/牛込神楽/フイ/石綿アスベスト/この件はご内密に/塩犬/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,31位,うおおお,今バイオリンの練習しないで,18,54.46,nenene/七転び直樹/はまだ/やきにく/reki/猫宮もあ/みねぼし/すまいる/さんた3(2)/もふっこ/大迷宮(3)/インノケンティウス/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,31位,シーフードパエリア,コントラバスってこんな気持ちなのね,18,54.46,北千住柱間/たこすけ/石田ホルヘ/タユタウマグナム/reki/ひぺりおん/ikeishi/ナゲット・ワイルド/のお/フイ/なゆた/野良猫ヅツキ/森さんです。(2)/留学生/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,31位,バトルアックス,夕方ヒゲ、ゼロへ,18,54.46,あなにいれろ(2)/七転び直樹/はまだ/北千住柱間(2)/全王様/いくらバクダン軍艦/タユタウマグナム/ロビンろびん/reki/顔面激戦区/すまいる/別府/もふっこ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,31位,別府,喉仏あんじゃん,18,54.46,北千住柱間(2)/初対面/723/ロビンろびん/跳梁跋扈ペンデュラム/reki/ikeishi/満天星まいてぃん/りる24/羅針儀海図(3)/さんた3(2)/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,36位,はちわれ,あの鳥初見だわ,17,53.21,バトルアックス(2)/北千住柱間/だーちま/雑兵/ひねたんからの/ぽむた/PD/まちょ/愛²/ナゲット・ワイルド/この件はご内密に/塩犬/ゑくれあ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,36位,啓蒙思想,始まってすぐ低評価です,17,53.21,田中アオジル/北千住柱間(2)/たこ焼きボンバー(2)/雑兵/あの時のペリー/懐かしむ会(2)/牛込神楽/ナゲット・ワイルド/ジブチ/フイ/さかな/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,38位,akak1270,トルコアイスのおじさんが本気出してきた,16,51.96,さとやまん/ねくび/じんだい(2)/全王様/タユタウマグナム/予備のエビフライ/石綿アスベスト/この件はご内密に/なゆた/野良猫ヅツキ/アホランド(2)/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,38位,すん,これでもまだ酢豚にパイナップルを入れ続けるか？,16,51.96,あなにいれろ/さとやまん/七転び直樹/チキンケバブタ/メジャー/ねくび/たこすけ/じんだい/大森/はちわれ/ikeishi/こどく共和国/のお/満天星まいてぃん/東三国/ブトマ
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,38位,やきにく,かゆいとこありますか？,16,51.96,あなにいれろ/チキンケバブタ/少しだけ賢い/北千住柱間/あぷら(3)/番場/あの時のペリー/ナゲット・ワイルド/ジブチ/jonathan/ラーギ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,38位,ハイパーブラック,葉加瀬太郎で、情熱大陸,16,51.96,油玉豚/やきにく(2)/ロビンろびん/reki/バタチキランラン ラン/ikeishi/シーサイド品川/へなちょこ/りる24/野良猫ヅツキ/森さんです。(2)/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,38位,冠,海外で床屋行くんじゃなかったな,16,51.96,メジャー/はまだ/北千住柱間(2)/あぷら(3)/ひねたんからの/鈴木 a.k.a 鈴木/番場/reki/ナゲット・ワイルド/ダブルスタンダード/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,38位,日本国憲法,今からお前を、演奏します,16,51.96,nenene/あなにいれろ/チキンケバブタ/のうのみそ/ずんだれ/ぽむた/ナゲット・ワイルド/満天星まいてぃん/東三国/森さんです。(2)/留学生/インノケンティウス/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,38位,瞳の中の遣隋使,「あゆで〜す」とは言ったけど,16,51.96,オボック/ねくび/はまだ(2)/北千住柱間/初対面/じんだい(3)/あぷら(3)/ikeishi/野良猫ヅツキ/もふっこ/大迷宮
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,38位,終電卍,私はトルティーヤよりも、ケ、ケ、ケバブが好きです。,16,51.96,nenene/さとやまん/シーフードパエリア(3)/じんだい/いくらバクダン軍艦(3)/石田ホルヘ/タユタウマグナム/のお/すまいる/りる24/野良猫ヅツキ/ブトマ
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,38位,跳梁跋扈ペンデュラム,ちょっとひんやりするの気持ち悪いだろ,16,51.96,nenene/隣駅/のうのみそ/はまだ(2)/だーちま/ずんだれ/予備のエビフライ/ひぺりおん/jonathan(2)/さかな/留学生/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,47位,あなにいれろ,あれって地震雲かなあ,15,50.71,日本国憲法(2)/ひねたんからの/expan/ぽむた/まちょ/バタチキランラン ラン/未来永劫ちゃんねる/こどく共和国/新郎シンポジウム(2)/すまいる/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,47位,ひぺりおん,アットホームな職場です,15,50.71,田中アオジル/北千住柱間/ひねたんからの/バタチキランラン ラン/ikeishi/新郎シンポジウム/羅針儀海図(3)/森さんです。/留学生/インノケンティウス/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,47位,ぽむた,でかい鳩,15,50.71,懐かしむ会(2)/はーる(3)/愛²/ナゲット・ワイルド/ジブチ/顔面激戦区/さかな/ボインの逆襲/インノケンティウス/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,47位,まちょ,ほほぅ、ブルーインパルスに夢中ってわけか,15,50.71,だーちま(3)/跳梁跋扈ペンデュラム/reki/はーる/満天星まいてぃん/さかな/猫宮もあ/akak1270(2)/ブトマ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,47位,ジブチ,遠くに傘をさす,15,50.71,隣駅/うおおお/雑兵/expan/石田ホルヘ/番場/こどく共和国/へなちょこ/顔面激戦区/わんわんお/塩犬/もふっこ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,47位,＃の中のカマ吉くん,朝じゃなくて良かったわ,15,50.71,オボック/たこ焼きボンバー/雑兵/monika/約13個入り/くものす/PD/800/こどく共和国/シーサイド品川/へなちょこ/顔面激戦区/新郎シンポジウム(2)/ラーギ
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,53位,ねくび,これも追加料金分ですか,14,49.46,田中アオジル/オボック/のうのみそ/少しだけ賢い/はまだ(2)/北千住柱間(2)/雑兵/この件はご内密に/ラーギ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,53位,アホランド,ヴァイオリンが急に人になった,14,49.46,はまだ/abcdefg/たこすけ/ロビンろびん/猫宮もあ/りる24(2)/ボインの逆襲/野良猫ヅツキ/ゑくれあ/もふっこ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,53位,インノケンティウス,こういう展開のインド映画は初めてか？,14,49.46,チキンケバブタ/うおおお/大森/ずんだれ/いくらバクダン軍艦/まちょ/akak1270(3)/なゆた/野良猫ヅツキ/投票ボーナス(3)
2445_2961_JJW,2024-05-04,129人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/2445_2961_JJW.jpeg,53位,乾布抹殺,オイル交換の時期ですね,14,49.46,チキンケバブタ/メジャー(2)/ねくび/油玉豚/石田ホルヘ/あの時のペリー/はちわれ/ひぺりおん/フイ/ツルミチッ素/啓蒙思想/新郎シンポジウム/脇原智
