お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0363_0783_FGY,2024-05-10,127人,誰も知らない俳句の反則,NA,1位,ツネイ,ドボン季語を使う,43,81.33,グシャグシャバキバキ/ニア・ディゾン/完備/すいみんちゃん/赤黄色/氷点下/ますく/ぽむた/詠夜/ぺんぺん草/明石/揚げうどん(2)/メジャー/ネギラーメンネギ抜き(3)/静岡健伊東氏/業務用虚無/そよかぜ/こどおに/あららうね(2)/筒井浜/テトラ/ミズイチ/早稲川/ハイパーマーケット/地下のコバヤシ(2)/スモール陶芸家/ウ段邂逅/せりか/ヴァイノスコフJr(3)/コレカタ/なぎさaaa(3)/投票ボーナス(3)
0363_0783_FGY,2024-05-10,127人,誰も知らない俳句の反則,NA,2位,桃ピン,サビだけ詠む,41,79.04,さすがに(2)/あかしやきいも/ニア・ディゾン/照葉公園/夜食/赤黄色/詠夜(2)/じす/さしみ本部ちゃん/弟子鈴/サンプリ/いのり・人権思想の子/小雀長吉/あららうね/ハチョス(3)/瞳の中の遣隋使/ミズイチ/とた(3)/地下のコバヤシ/9月/村田超痔(2)/知性丸出し/manth/チワワBロック/山葵布団/女将/すずきすなぎも/ゆうすけ(3)/iiha/投票ボーナス(3)
0363_0783_FGY,2024-05-10,127人,誰も知らない俳句の反則,NA,3位,完備,有料フォントの使用,37,74.47,ニア・ディゾン(2)/長老_M/アスパラ/坂間(2)/何かのマリネ/氷点下/迷探亭困難/ますく/ぷるちぽん/ずずエさん/尾崎愉快犯/メジャー/羊水/ネギラーメンネギ抜き(2)/じす/さしみ本部ちゃん/小倉パンケーキ(2)/いのり・人権思想の子/そよかぜ/筒井浜/Yana(3)/早稲川/とた(2)/がんばりま翔/知性丸出し/ウ段邂逅/すずきすなぎも/投票ボーナス(3)
0363_0783_FGY,2024-05-10,127人,誰も知らない俳句の反則,NA,4位,くいてー,エアコン効いた部屋で考える,36,73.32,rayleigh/グシャグシャバキバキ/夜食/ひぺりおん/かしわめし/HOP/けいすけ/赤黄色/ぽむた/朤燚㵘䲜䨻/尾崎愉快犯/業務用虚無(2)/じす/さしみ本部ちゃん/頭痛が痛い/いのり・人権思想の子(2)/ミズイチ/オードリーカットバーン/がんばりま翔/からかい上手の未亡人(3)/劇団せき(2)/驫鵬彈/野島久助/せりか/コレカタ/なぎさaaa/T-FOX/異物/投票ボーナス(3)
0363_0783_FGY,2024-05-10,127人,誰も知らない俳句の反則,NA,5位,オードリーカットバーン,マンガで説明する,35,72.18,rayleigh/完備/照葉公園/アスパラ/レアメタル/かしわめし/HOP/くいてー/何かのマリネ/迷探亭困難/ますく/ぷるちぽん/桃ピン/つゆだQ/ぺんぺん草/ずずエさん/静岡健伊東氏/業務用虚無/じす/筒井浜/魚粉/ミズイチ/パーくん/早稲川/からかい上手の未亡人/劇団せき/ウ段邂逅/せりか/コレカタ/すずたき/ゾエコーヒー/ポポ氏/投票ボーナス(3)
0363_0783_FGY,2024-05-10,127人,誰も知らない俳句の反則,NA,6位,manth,"""えび""を2個いれる(ダブルシュリンプ)",33,69.89,rayleigh/ねこライト/夜食/ぷっちょにあ/朤燚㵘䲜䨻/ぺんぺん草/えつこちゃん/ハクシャバノビッチ/こどおに(3)/あららうね/ハチョス(3)/Yまと/瞳の中の遣隋使/ZIPファミリー(2)/地下のコバヤシ/全休マカロン/アホランド(2)/知性丸出し/スモール陶芸家/コレカタ/犬ヒロシ/T-FOX(2)/エスニック美女軍団/投票ボーナス(3)
0363_0783_FGY,2024-05-10,127人,誰も知らない俳句の反則,NA,7位,あかしやきいも,古池の水をぜんぶ抜く,32,68.75,モリモリにんじん(3)/グシャグシャバキバキ/すいみんちゃん/アスパラ/俺の部屋だけ北向き/何かのマリネ/つゆだQ/詠夜(3)/えつこちゃん(2)/冷凍トイレ/弟子鈴/いのり・人権思想の子(3)/こどおに/村田超痔(3)/じゃぱな/洋介山/スモール陶芸家/せりか/コレカタ/ポポ氏/投票ボーナス(3)
0363_0783_FGY,2024-05-10,127人,誰も知らない俳句の反則,NA,7位,ポポ氏,有給取って考える,32,68.75,rayleigh/あかしやきいも/完備/ひぺりおん/HOP/くいてー/ぷるちぽん/ぽむた/ぺんぺん草/じす/弟子鈴/いのり・人権思想の子(3)/そよかぜ/ツネイ(2)/Yまと/瞳の中の遣隋使(2)/やまもん/全休マカロン/チワワBロック(2)/劇団せき/女将/コレカタ/異物/ゾエコーヒー/投票ボーナス(3)
0363_0783_FGY,2024-05-10,127人,誰も知らない俳句の反則,NA,7位,早稲川,間奏を入れる,32,68.75,rayleigh/あかしやきいも/ニア・ディゾン/赤黄色/ぷるちぽん/桃ピン/ぺんぺん草/尾崎愉快犯/メジャー/ネギラーメンネギ抜き/じす/小倉パンケーキ/冷凍トイレ/頭痛が痛い/弟子鈴/いのり・人権思想の子/そよかぜ/魚粉/テトラ/ミズイチ/パーくん/とた(3)/知性丸出し/ヴァイノスコフJr/すずきすなぎも/異物/iiha/投票ボーナス(3)
0363_0783_FGY,2024-05-10,127人,誰も知らない俳句の反則,NA,10位,さしみ本部ちゃん,ドーピン句,31,67.61,さすがに/照葉公園(3)/HOP/俺の部屋だけ北向き(2)/何かのマリネ/朤燚㵘䲜䨻/メジャー/なゆた(3)/ぼんやり/いのり・人権思想の子/こどおに/筒井浜/ミズイチ/パーくん/とた/全休マカロン(3)/村田超痔/manth(3)/コレカタ/投票ボーナス(3)
