お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0353_3808_MCH,2024-05-16,81人,担任の先生変わりすぎじゃね？何があった,NA,1位,平下,モノマネを対策し始めた,24,77.73,つけものつかりほうだい(3)/馬to量子化/やまもん/へきさまる/おむおむ/シズカ(2)/りますぐ/akiradio/鶺鴒鳴/GYAI(2)/こーひーたいむ/接頭語(2)/いりばる/とくなみ/がんばりま翔/6500(2)/ミトンアイス(2)
0353_3808_MCH,2024-05-16,81人,担任の先生変わりすぎじゃね？何があった,NA,2位,馬to量子化,間違ったら握手しに来る,22,73.65,へきさまる/おむおむ/りますぐ/墨汁飛行機/rrryo/akiradio/お海/stoppy(2)/制度の隙間/士農工商/いりばる(3)/モアモアイ/とくなみ/がんばりま翔/6500/チーズインパンパース/投票ボーナス(3)
0353_3808_MCH,2024-05-16,81人,担任の先生変わりすぎじゃね？何があった,NA,3位,墨汁飛行機,日直、俺の存在も消しといて,19,67.52,安西広之(2)/むぎわらかたまり/サイコパス金子/べありる/スイミングキクラゲ/へきさまる/シズカ/りますぐ/rrryo/綿白 雪/こーひーたいむ/接頭語(2)/s64/ずずエさん/投票ボーナス(3)
0353_3808_MCH,2024-05-16,81人,担任の先生変わりすぎじゃね？何があった,NA,4位,あまちゃん,「サイン　コカイン　タンジェント」で覚えさせた,18,65.48,ニギハヤルン/むぎわらかたまり/tkm-7/マカマカエキス(2)/rrryo/stoppy(3)/GYAI/リモコン/接頭語/士農工商/モアモアイ/チーズインパンパース/投票ボーナス(3)
0353_3808_MCH,2024-05-16,81人,担任の先生変わりすぎじゃね？何があった,NA,4位,がんばりま翔,四足歩行で入ってきた,18,65.48,ニギハヤルン/マカマカエキス/ささちー/へきさまる/クマ牧場/関戸SA(2)/akiradio/鶺鴒鳴/制度の隙間/こーひーたいむ/接頭語(3)/いりばる/投票ボーナス(3)
0353_3808_MCH,2024-05-16,81人,担任の先生変わりすぎじゃね？何があった,NA,6位,F難度フェルナンド,プリントを後ろから回し出した,17,63.43,むぎわらかたまり/馬to量子化/ぱぶろん(3)/へきさまる/墨汁飛行機/akiradio/お海/stoppy/GYAI/制度の隙間/接頭語(2)/そいそーす/s64/ずずエさん
0353_3808_MCH,2024-05-16,81人,担任の先生変わりすぎじゃね？何があった,NA,6位,みくすし,見せたい実験がある,17,63.43,馬to量子化/マカマカエキス/やまもん/へきさまる/りますぐ/墨汁飛行機/akiradio/お海/鶺鴒鳴/xtomato/ポリエステルの産物/士農工商/そいそーす/ミトンアイス/投票ボーナス(3)
0353_3808_MCH,2024-05-16,81人,担任の先生変わりすぎじゃね？何があった,NA,6位,りますぐ,昨日ホリエモンの動画見た,17,63.43,anuy/ささちー(2)/キョニキ/クマ牧場/rrryo/お海/石綿アスベスト/こーひーたいむ/接頭語(3)/優しさの木/モアモアイ/投票ボーナス(3)
0353_3808_MCH,2024-05-16,81人,担任の先生変わりすぎじゃね？何があった,NA,6位,チーズインパンパース,全部ポケモンで例えてくる,17,63.43,みくすし/むぎわらかたまり/いくらバクダン軍艦/りる24(2)/クマ牧場/じゃん/制度の隙間/優しさの木/s64/モアモアイ/がんばりま翔/ずずエさん/Mr.GIFT券/投票ボーナス(3)
0353_3808_MCH,2024-05-16,81人,担任の先生変わりすぎじゃね？何があった,NA,6位,優しさの木,知らない方言すぎる,17,63.43,むぎわらかたまり/やまもん/おむおむ/バリカンドッグ/しらス/じゃん/さすがに/リモコン/xtomato/接頭語/どんぐり亭/がんばりま翔/ずずエさん/ミトンアイス/投票ボーナス(3)
