お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,1位,えちえち,上の階ほど家賃が安い,51,86.24,あぐら/蓮丸/ラーギ/きょく(2)/たこかいな/アンサイン(2)/元気者/rayleigh/くいてー/クロレラサイダー/迷探亭困難/鵺野凛音/まめまめデスメタル/Iz(3)/pn(2)/ハッスル運動会/鼻腔炭酸/刺身たんぽぽ(2)/車論/クロメン/箱根八里/喋るな/49k2f/galax/たくみす/ごくぶとしっと(2)/孔子に論語/ちくわうし/ニギハヤルン/突然及川/サラマンダ安田(3)/藁/雑兵/うめめ/ランチタイムんですよね/ンス(2)/Heaven/monika/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,2位,monika,屋上のⓓに着陸する,43,77.83,ゆたーなる/蓮丸/ていぱぶろ/たこかいな(2)/元気者/珍百景のクロ/べじたぼ/けいすけ/きらら/温泉たまご丸/じーさん(2)/入れ歯型乳歯/なしん/うおおお/ハッスル運動会/鼻腔炭酸/刺身たんぽぽ(3)/仮花(2)/喋るな/galax/ナロル(2)/ニギハヤルン/ハチコー/xtomato/坂東定時/新Goo/夜食ウォーター(3)/メガネザル/Heaven/涙の川とエクボ/業務用虚無(2)/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,2位,ゆたーなる,校歌にも出る,43,77.83,ビニ暖/強炭酸/35/蓮丸/ラーギ/珍百景のクロ/べじたぼ/クロレラサイダー/きらら(2)/じろー/鵺野凛音/じーさん/まめまめデスメタル/入れ歯型乳歯/ハッスル運動会/鼻腔炭酸/あえいい/ほんまや他人行儀/んんっぴー/車論/箱根八里/喋るな(2)/49k2f/エビカニクス/携えてエリンギ/檸檬堂。、/達筆/睡眠不足M/孔子に論語(2)/ババロア/サラマンダ安田/うめめ/新Goo(2)/自由人/チワワBロック/業務用虚無/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,4位,おだンゴ,子どもが太陽みたいに描く,40,74.68,35/蓮丸(2)/えちえち/つゆだQ/rayleigh/けいすけ/くいてー/ロラン(2)/きらら(2)/もるぺちda/入れ歯型乳歯/なしん/石崎(2)/車論(2)/仮花(2)/天国かラスベガス/たくみす(2)/韋駄天/睡眠不足M(2)/藁/雑兵/うめめ/坂東定時/グシャグシャバキバキ/チワワBロック(2)/ンス/幻/monika/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,4位,きょく,タクシー「あれを追うんですか？」,40,74.68,蓮丸/アンサイン/羊水/べじたぼ(3)/EPOCALC/入れ歯型乳歯/なしん/pn(3)/世界の牛肉/ハッスル運動会/サンプリ/携えてエリンギ/由縁マニアA/孔子に論語/ナロル(2)/ちくわうし/ババロア/ニギハヤルン/サラマンダ安田(3)/おでこ/りょんこ/坂東定時(3)/Heaven/パイナップル森本/ヤバいマイケル屋さん/ツアラー爺/業務用虚無(2)/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,6位,雑兵,田んぼが炒飯になった,39,73.63,干し柿/ビニ暖/えちえち(2)/たこかいな/鈴木 a.k.a 鈴木(3)/べじたぼ/藍殿TT/温泉たまご丸/まめまめデスメタル/pn/うおおお/galax(2)/天国かラスベガス/たくみす(3)/檸檬堂。、(2)/ババロア(2)/突然及川/ハチコー(2)/xtomato/新Goo/グシャグシャバキバキ/夜食ウォーター(2)/ンス/ヤバいマイケル屋さん/業務用虚無/monika/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,7位,鼻腔炭酸,サンタが来ない原因にされる,38,72.58,干し柿/強炭酸/ゆたーなる/きょく/羊水/珍百景のクロ/べじたぼ/藍殿TT/くいてー/クロレラサイダー/ロラン(2)/まめまめデスメタル/入れ歯型乳歯/なしん/ハッスル運動会/ほんまや他人行儀/クロメン(2)/携えてエリンギ/たくみす(2)/檸檬堂。、/美容師が叫ぶ洞穴/さりつかいし/突然及川/クープラン/坂東定時(2)/グシャグシャバキバキ/ンス/ツアラー爺/業務用虚無(3)/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,8位,ちくわうし,タワマンの家賃が安い,35,69.43,ますく/ラーギ/アンサイン(3)/あの日のニンニ/元気者/えいり/藍殿TT/EPOCALC/トロイぞ木馬/まめまめデスメタル/入れ歯型乳歯/なしん/うおおお/あえいい/んんっぴー/galax/携えてエリンギ/モラトリアム・モリタ(3)/たくみす/由縁マニアA/坂東定時(2)/自由人/ランチタイムんですよね/メガネザル/ヤバいマイケル屋さん/業務用虚無/monika/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,9位,rayleigh,鳴き声で告白がかき消される,34,68.38,干し柿/強炭酸(2)/あぐら/ゆたーなる/つゆだQ/羊水/くいてー/ロラン/温泉たまご丸(3)/じろー(2)/もるぺちda/Iz/ハッスル運動会/ほんまや他人行儀/枠の外/箱根八里(2)/前菜/檸檬堂。、/ちくわうし/突然及川/xtomato/チワワBロック/ンス/涙の川とエクボ/業務用虚無(2)/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,9位,達筆,傘に種類がある,34,68.38,ますく/35/つゆだQ/rayleigh/みくすし/自動車部員/藍殿TT(2)/くいてー/クロレラサイダー/迷探亭困難/なしん/うおおお/ハッスル運動会/ほんまや他人行儀/車論/喋るな/galax/サンプリ/天国かラスベガス(3)/由縁マニアA/さりつかいし/うめめ/夜食ウォーター/ンス/ヤンマー部隊隊長/涙の川とエクボ/業務用虚無/monika/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,11位,ラーギ,上通ると話止まる,33,67.33,おだンゴ/あぐら/35/蓮丸/えちえち/ていぱぶろ(2)/あの日のニンニ/元気者/珍百景のクロ/藍殿TT/くいてー/クロレラサイダー/世界の牛肉/鼻腔炭酸/石崎/喋るな(2)/前菜/galax(2)/藁/雑兵/xtomato/坂東定時(2)/新Goo/グシャグシャバキバキ/ランチタイムんですよね/monika/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,12位,チワワBロック,3秒曇る,31,65.23,えちえち/たこかいな(2)/羊水/珍百景のクロ(2)/rayleigh/自動車部員/画餅/EPOCALC/きらら(2)/入れ歯型乳歯/みぎひざ(3)/pn(2)/鼻腔炭酸/あえいい/んんっぴー/箱根八里/さりつかいし/ナロル/ニギハヤルン/ハチコー/クープラン/xtomato/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,13位,ババロア,不味そうな服を着る,29,63.13,おだンゴ/35/つゆだQ/羊水/rayleigh/鈴木 a.k.a 鈴木(3)/クロレラサイダー/鵺野凛音/なしん/うおおお/鼻腔炭酸/ほんまや他人行儀/喋るな/達筆(2)/ごくぶとしっと/雑兵/チワワBロック(2)/夜食ウォーター/ンス/ヤンマー部隊隊長/涙の川とエクボ/monika/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,14位,Iz,火傘を売っている,28,62.08,おだンゴ/35/つゆだQ/たこかいな(3)/元気者/えいり/べじたぼ/藍殿TT(2)/画餅/世界の牛肉/刺身たんぽぽ(2)/車論/泥のぷーまん/檸檬堂。、/ババロア/藁/ランチタイムんですよね/チワワBロック/夜食ウォーター/ヤンマー部隊隊長/ツアラー爺/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,14位,あてんら,見飽きてるから男子小学生が1人もドラゴン裁縫セットを選ばない,28,62.08,ビニ暖/元気者/マルヤマ/劣等生の扁桃腺(3)/べじたぼ/藍殿TT/ロラン/トロイぞ木馬/なしん/枠の外/携えてエリンギ/檸檬堂。、/由縁マニアA/孔子に論語(2)/ナロル/ハチコー/りょんこ/ケイオス盤/坂東定時(2)/チワワBロック(2)/ンス/メガネザル/パイナップル森本
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,14位,みくすし,アホが急に黙る,28,62.08,干し柿/おだンゴ/あぐら/えちえち/ていぱぶろ/珍百景のクロ/マルヤマ(3)/自動車部員/くいてー/EPOCALC/なしん/ハッスル運動会/んんっぴー/galax/ぼんやり/達筆/さりつかいし/ババロア/うめめ/自由人/ランチタイムんですよね/Heaven/monika/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,17位,坂東定時,ストリートビューにしばしば映ってる,27,61.02,ますく/ビニ暖/ゆたーなる/35/ラーギ/珍百景のクロ/けいすけ/もるぺちda/まめまめデスメタル/刺身たんぽぽ/枠の外/49k2f(2)/檸檬堂。、(3)/孔子に論語(2)/サラマンダ安田(3)/おでこ/xtomato/ツアラー爺/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,17位,自由人,子供が手を振ると軽く火を吹いてくれる,27,61.02,ゆたーなる/えちえち/きょく/元気者/えいり/温泉たまご丸/ササキ/トロイぞ木馬/Iz(2)/pn(2)/世界の牛肉/枠の外/ナロル/ハチコー(2)/坂東定時(2)/チワワBロック(2)/Heaven/涙の川とエクボ/業務用虚無/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,17位,車論,低く飛んだら集団下校になる,27,61.02,ますく/えちえち/珍百景のクロ/rayleigh/えいり/くいてー/きらら/鵺野凛音/ムネコざボビー/仮花(2)/枠の外/前菜/睡眠不足M/ちくわうし/突然及川/ハチコー/自由人/チワワBロック(2)/ンス/ヤンマー部隊隊長/業務用虚無(2)/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,20位,たまご兄貴,葬式を地下でやる,26,59.97,35/えちえち/ていぱぶろ/えいり/くいてー/画餅/ロラン/うおおお/石崎(2)/ほんまや他人行儀/箱根八里(2)/49k2f/galax/韋駄天/達筆/さりつかいし(2)/突然及川/雑兵/うめめ/xtomato/ランチタイムんですよね/業務用虚無(2)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,20位,世界の牛肉,どんな冗談も通じる,26,59.97,ますく/干し柿/35/ていぱぶろ(3)/えいり/くいてー/鵺野凛音/なしん(3)/鼻腔炭酸/ほんまや他人行儀/サンプリ/天国かラスベガス/さりつかいし/ババロア/ニギハヤルン/雑兵/クープラン/幻/monika/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,20位,入れ歯型乳歯,Wi-Fiが繋がりにくい日もある,26,59.97,干し柿/ビニ暖/35/ラーギ/アンサイン/元気者/珍百景のクロ/rayleigh/きらら/鵺野凛音/トロイぞ木馬/枠の外/49k2f(2)/携えてエリンギ/檸檬堂。、(2)/ごくぶとしっと/孔子に論語/ナロル/ニギハヤルン/xtomato/坂東定時/投票ボーナス(3)
0360_4503_ZNB,2024-05-23,138人,ドラゴンが空を飛んでる街でありそうなこと,NA,23位,グシャグシャバキバキ,拾った鱗を友達に見せびらかす,25,58.92,ビニ暖/蓮丸(2)/あの日のニンニ/えいり/くいてー/迷探亭困難/鵺野凛音/なしん/鼻腔炭酸/枠の外/檸檬堂。、(2)/ナロル/ちくわうし/ババロア/ニギハヤルン/ヤンマー部隊隊長/Heaven/幻/業務用虚無(2)/投票ボーナス(3)
