お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0411_0253_ANA,2024-05-30,114人,「お父さんの背中ってこんなに大きかったんだ…」と思ったきっかけ,NA,1位,ドロレス・グランギニョル,上京したのにまだ見える,54,102.32,犬ドリル/業務用虚無(3)/もふっこ/GRay/しょうりゅー/たこすけ/手術室208/えーす(2)/親のたたき(2)/なまこP/珍百景のクロ/コロリンKRかリン糖/休憩新人ポンコツ/野島久助/Pany(2)/AgeHa/わたんきまん(3)/いのゆう/ゆたーなる/ぷるちぽん/覇道きてぃ/そろばん６級/てれび(2)/あまりにも速い犬/易しい/けつの園(2)/どちらかと言えばまだ家/田中アオジル/鴨蕎麦/みー(3)/裕子/POPOJI(2)/ポチオン/でっていう/くじ/クルペッコの手羽元(2)/アスパラ/男は黙って大三元/投票ボーナス(3)
0411_0253_ANA,2024-05-30,114人,「お父さんの背中ってこんなに大きかったんだ…」と思ったきっかけ,NA,2位,板原,踏んでいる女王様のほうが情けなく見えてきた,37,80.16,QBEAT/業務用虚無/ロカ/GRay/ブイヤーベース飯/やまぐちみかこ/羊水/なまこP/AgeHa/けいすけ/おいかぜアルファ/いのゆう(2)/マルタタマル(2)/Frog/イワザル/大切にしよう/あまりにも速い犬/易しい/翡翠の狼/伊達巻(2)/田中アオジル/みー/裕子(2)/ポチオン/もりの/Nado/コオロギ(3)/でっていう/投票ボーナス(3)
0411_0253_ANA,2024-05-30,114人,「お父さんの背中ってこんなに大きかったんだ…」と思ったきっかけ,NA,3位,美容師が叫ぶ洞穴,撮り鉄が慌てて撮ってた,36,78.86,QBEAT/GRay(2)/てー/たこすけ/ねくび/ばりそば/ブイヤーベース飯/羊水/なまこP/さいころちゃらみん/ボブ（北陸在住）/灰色さん/べ椅子/灰色こたつ/AgeHa/カタン(2)/いのゆう/マルタタマル/ぷるちぽん/イワザル/タイファイター/伊達巻/けつの園/田中アオジル/鴨蕎麦/裕子/POPOJI/こなくそ/じゃー/ナロル/男は黙って大三元/投票ボーナス(3)
0411_0253_ANA,2024-05-30,114人,「お父さんの背中ってこんなに大きかったんだ…」と思ったきっかけ,NA,4位,マルタタマル,オリンピックの候補地に選ばれた,29,69.74,「この味がいいね」/犬ドリル/業務用虚無/もふっこ/たこすけ/ねくび/えーす/さいころちゃらみん/シーフードパエリア/珍百景のクロ/AgeHa(2)/八畳キートン/てすと田くらげ/チャーハンキッド/ドロレス・グランギニョル/あまりにも速い犬/伊達巻/どちらかと言えばまだ家(3)/鴨蕎麦/くじ/ナロル/男は黙って大三元(2)/投票ボーナス(3)
0411_0253_ANA,2024-05-30,114人,「お父さんの背中ってこんなに大きかったんだ…」と思ったきっかけ,NA,5位,タイファイター,集合場所にされていた,27,67.13,「この味がいいね」/犬ドリル/えきたいおもち/すけきよ/業務用虚無/もふっこ/しょうりゅー/たこすけ/えーす/なまこP/休憩新人ポンコツ/AgeHa/豚きのこの炒め物/綿白 雪/チャーハンキッド/てれび(2)/鴨蕎麦/裕子/もりの/こなくそ/くじ/男は黙って大三元/aika/投票ボーナス(3)
0411_0253_ANA,2024-05-30,114人,「お父さんの背中ってこんなに大きかったんだ…」と思ったきっかけ,NA,6位,あまりにも速い犬,夕陽がお父さんの背中に沈んでいった,26,65.83,「この味がいいね」/業務用虚無/ちゃ柴/たこすけ/ばりそば/親のたたき/なまこP/ボブ（北陸在住）/えいり/おいかぜアルファ/マルタタマル/ぷるちぽん/ドロレス・グランギニョル(2)/どちらかと言えばまだ家(2)/鴨蕎麦(2)/裕子/ナロル/クルペッコの手羽元/男は黙って大三元/ちゃたに/投票ボーナス(3)
0411_0253_ANA,2024-05-30,114人,「お父さんの背中ってこんなに大きかったんだ…」と思ったきっかけ,NA,7位,kamenoue,確認もせず単１電池買った,25,64.52,すけきよ/ちゃ柴/たこすけ/羊水/ボブ（北陸在住）/珍百景のクロ/コロリンKRかリン糖/板原/休憩新人ポンコツ/野島久助/べ椅子/わたんきまん/八畳キートン/タイファイター/あまりにも速い犬/イステーブール/ポチオン/くじ(2)/ナロル/aika/ちゃたに/投票ボーナス(3)
0411_0253_ANA,2024-05-30,114人,「お父さんの背中ってこんなに大きかったんだ…」と思ったきっかけ,NA,7位,ゆたーなる,七の段まで書けた,25,64.52,えきたいおもち/すけきよ/GRay(2)/ハクシヲウメル/ばりそば/えーす(2)/うでやすな/タイファイター/モチ/ドロレス・グランギニョル/週1/田中アオジル/ポチオン/もりの/Nado/でっていう/くじ/ナロル(2)/わんわんお/投票ボーナス(3)
0411_0253_ANA,2024-05-30,114人,「お父さんの背中ってこんなに大きかったんだ…」と思ったきっかけ,NA,7位,ナロル,お母さんが洗濯物をひろげていた,25,64.52,犬ドリル/業務用虚無/もふっこ/ロカ/フェルメール(2)/親のたたき(2)/なまこP/珍百景のクロ/えいり/AgeHa/いのゆう/ゆたーなる/マルタタマル(2)/ぷるちぽん/イワザル/易しい/けつの園/くじ/アスパラ/投票ボーナス(3)
0411_0253_ANA,2024-05-30,114人,「お父さんの背中ってこんなに大きかったんだ…」と思ったきっかけ,NA,10位,べ椅子,父を貫く刃が私まで届くことはなかった,24,63.22,QBEAT/GRay/ばりそば/ブイヤーベース飯/手術室208/ボブ（北陸在住）(2)/灰色さん/灰色こたつ/てすと田くらげ/大切にしよう/イステーブール/まいりん(2)/じゃー(2)/コオロギ(2)/でっていう/アスパラ/男は黙って大三元/投票ボーナス(3)
0411_0253_ANA,2024-05-30,114人,「お父さんの背中ってこんなに大きかったんだ…」と思ったきっかけ,NA,11位,じゃー,イルカが威嚇した,23,61.92,えきたいおもち/すけきよ/GRay(2)/てー/さいころちゃらみん/Pany/灰色こたつ/豚きのこの炒め物/ぷるちぽん/イワザル/チャーハンキッド/kamenoue/あまりにも速い犬/んぬ/けつの園(2)/ナロル/男は黙って大三元/aika/投票ボーナス(3)
0411_0253_ANA,2024-05-30,114人,「お父さんの背中ってこんなに大きかったんだ…」と思ったきっかけ,NA,12位,えきたいおもち,地図に描かれてた,22,60.61,「この味がいいね」/業務用虚無(2)/ハクシヲウメル/なまこP/灰色さん/野島久助/AgeHa/おいかぜアルファ/マルタタマル/Frog/大切にしよう/雑兵/んぬ/POPOJI/もりの/じゃー/alpha/クルペッコの手羽元/投票ボーナス(3)
0411_0253_ANA,2024-05-30,114人,「お父さんの背中ってこんなに大きかったんだ…」と思ったきっかけ,NA,12位,トニー・サンム,zipファイルに圧縮されてる,22,60.61,サラマンダ安田(3)/美容師が叫ぶ洞穴/業務用虚無/ハクシヲウメル(2)/ねくび/ブイヤーベース飯(2)/やまぐちみかこ/コロリンKRかリン糖/わたんきまん/Frog/豚きのこの炒め物/てすと田くらげ/覇道きてぃ/綿白 雪/ドロレス・グランギニョル/もりの/Nado/ちゃたに
0411_0253_ANA,2024-05-30,114人,「お父さんの背中ってこんなに大きかったんだ…」と思ったきっかけ,NA,12位,田中アオジル,後衛のサーブが全部あたる,22,60.61,犬ドリル/もふっこ/たこすけ/ばりそば/えーす(2)/なまこP/ボブ（北陸在住）/珍百景のクロ/えいり/灰色さん/いのゆう/そろばん６級/ドロレス・グランギニョル/あまりにも速い犬/易しい/もりの/クルペッコの手羽元/アスパラ/投票ボーナス(3)
