お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3050_8301_GUH,2024-06-07,81人,便利っちゃ便利だけど……と微妙な評価をされた新サービス　「シェア○○」,NA,1位,きゅーきゅー,休む理由になる親戚,32,89.33,定禅寺　翔子/ねこめんたい/あかしやきいも/びすこ(2)/ハンディタイプ/tuno/ナロル/あんぐら/サンプリ/みどりうぐいす(2)/NR(2)/さりげない国際通り/まさしです/コレカタ/ばーと/屋内用雨傘/パーくん/わたがし(2)/せりか/Mr.GIFT券/よーすけ(3)/なまこP/この後クリーム砲/投票ボーナス(3)
3050_8301_GUH,2024-06-07,81人,便利っちゃ便利だけど……と微妙な評価をされた新サービス　「シェア○○」,NA,2位,男は黙って大三元,出しすぎたハンドクリーム,31,87.52,あの時のペリー/定禅寺　翔子/河川敷と高架橋、時雨/びすこ(2)/T-FOX/もりの/ジョセフ/まさしです/あるくら(2)/ばーと(2)/大体いつも眠い人/ジュルジュル温泉!!/屋内用雨傘/はまぐりおじさん(2)/猫の化石(2)/おてもと/ぬくりぱ/きゅーきゅー(2)/ばあちゃんのへそのごま(2)/imagine大魔神/なまこP/投票ボーナス(3)
3050_8301_GUH,2024-06-07,81人,便利っちゃ便利だけど……と微妙な評価をされた新サービス　「シェア○○」,NA,3位,赤井me,パスワード,20,67.6,河川敷と高架橋、時雨/あかしやきいも/もりの(3)/狂ったパン屋さん/さりげない国際通り/コレカタ/えーす(2)/ジュルジュル温泉!!/屋内用雨傘/パーくん/猫の化石/おてもと/せりか/すしはま/投票ボーナス(3)
3050_8301_GUH,2024-06-07,81人,便利っちゃ便利だけど……と微妙な評価をされた新サービス　「シェア○○」,NA,4位,みどりうぐいす,千羽鶴,19,65.79,どんぐり亭/T-FOX/ハンディタイプ(2)/俺のわんこ/tuno/ナロル/ひじき(2)/大体いつも眠い人/ニギハヤルン/屋内用雨傘/泥のぷーまん/パーくん/あると/なまこP/投票ボーナス(3)
3050_8301_GUH,2024-06-07,81人,便利っちゃ便利だけど……と微妙な評価をされた新サービス　「シェア○○」,NA,5位,オーバーニート,棺,18,63.98,あの時のペリー/ちょんまげ/ジョセフ/狂ったパン屋さん/コレカタ/ひじき(2)/あるくら/クープラン/屋内用雨傘/パーくん/わたがし/猫の化石/蛸壺/なまこP/投票ボーナス(3)
3050_8301_GUH,2024-06-07,81人,便利っちゃ便利だけど……と微妙な評価をされた新サービス　「シェア○○」,NA,5位,ナロル,文明,18,63.98,ねこめんたい/さすがに/あかしやきいも/ちょんまげ/サンプリ/みどりうぐいす(2)/男は黙って大三元/そいそーす/megamana/大体いつも眠い人/クープラン/はまぐりおじさん/りますぐ/ぬくりぱ/投票ボーナス(3)
3050_8301_GUH,2024-06-07,81人,便利っちゃ便利だけど……と微妙な評価をされた新サービス　「シェア○○」,NA,7位,まさしです,SIMカード取り出すピン,17,62.17,おと/俺のわんこ/もりの/サンプリ/男は黙って大三元/羊水/りあ/ばーと/クープラン/酒井徐行(2)/ぬくりぱ/きゅーきゅー/この後クリーム砲/投票ボーナス(3)
3050_8301_GUH,2024-06-07,81人,便利っちゃ便利だけど……と微妙な評価をされた新サービス　「シェア○○」,NA,7位,ニギハヤルン,行列待ちの椅子,17,62.17,定禅寺　翔子/河川敷と高架橋、時雨/ねこめんたい/あかしやきいも/T-FOX/NR/大体いつも眠い人/クープラン/ジュルジュル温泉!!/猫の化石/きゅーきゅー/ごじょう　さとらない/蛸壺/なまこP/投票ボーナス(3)
3050_8301_GUH,2024-06-07,81人,便利っちゃ便利だけど……と微妙な評価をされた新サービス　「シェア○○」,NA,7位,花丸ちゃんだよー♡,遺書,17,62.17,あの時のペリー/河川敷と高架橋、時雨/ずずエさん/NR/ひじき(2)/そいそーす/daison1(2)/屋内用雨傘/酒井徐行(2)/わたがし/おてもと(2)/岩石惑星/なまこP
3050_8301_GUH,2024-06-07,81人,便利っちゃ便利だけど……と微妙な評価をされた新サービス　「シェア○○」,NA,10位,さすがに,ダメージ,16,60.36,T-FOX/ずずエさん/狂ったパン屋さん/えーす(2)/megamana/屋内用雨傘/パーくん/あると(2)/ごじょう　さとらない/蛸壺/なまこP/投票ボーナス(3)
3050_8301_GUH,2024-06-07,81人,便利っちゃ便利だけど……と微妙な評価をされた新サービス　「シェア○○」,NA,10位,そいそーす,シェアルツネッガー,16,60.36,河川敷と高架橋、時雨/びすこ(2)/みどりうぐいす/狂ったパン屋さん/男は黙って大三元/あるくら/ラスター(2)/ばあちゃんのへそのごま(2)/岩石惑星(2)/投票ボーナス(3)
3050_8301_GUH,2024-06-07,81人,便利っちゃ便利だけど……と微妙な評価をされた新サービス　「シェア○○」,NA,10位,はまぐりおじさん,相合傘,16,60.36,あかしやきいも/コレカタ/クープラン/ニギハヤルン/daison1(3)/酒井徐行(2)/ぬくりぱ/ピヨっピー(3)/投票ボーナス(3)
3050_8301_GUH,2024-06-07,81人,便利っちゃ便利だけど……と微妙な評価をされた新サービス　「シェア○○」,NA,13位,あると,悔しい,15,58.55,オーバーニート/ジョセフ/狂ったパン屋さん/さりげない国際通り/ジュルジュル温泉!!/ラスター/屋内用雨傘/パーくん/りますぐ/ぬくりぱ/ごじょう　さとらない/なまこP/投票ボーナス(3)
3050_8301_GUH,2024-06-07,81人,便利っちゃ便利だけど……と微妙な評価をされた新サービス　「シェア○○」,NA,14位,T-FOX,裏アカ,14,56.74,ナロル/コレカタ/ばーと/屋内用雨傘/新Goo/わたがし(2)/猫の化石/ごじょう　さとらない/なまこP/この後クリーム砲/投票ボーナス(3)
3050_8301_GUH,2024-06-07,81人,便利っちゃ便利だけど……と微妙な評価をされた新サービス　「シェア○○」,NA,14位,あかしやきいも,買ったけど積んでる本,14,56.74,あの時のペリー/オーバーニート(2)/T-FOX/俺のわんこ/まさしです/ばーと/わんわんお/猫の化石/きゅーきゅー/なまこP/投票ボーナス(3)
3050_8301_GUH,2024-06-07,81人,便利っちゃ便利だけど……と微妙な評価をされた新サービス　「シェア○○」,NA,14位,あの時のペリー,賽銭箱,14,56.74,tuno/あんぐら/ずずエさん/男は黙って大三元/わんわんお/ニギハヤルン/酒井徐行/よーすけ(3)/imagine大魔神/投票ボーナス(3)
3050_8301_GUH,2024-06-07,81人,便利っちゃ便利だけど……と微妙な評価をされた新サービス　「シェア○○」,NA,14位,りますぐ,雪見だいふく,14,56.74,T-FOX/ひじき(2)/ジュルジュル温泉!!/daison1(3)/屋内用雨傘/新Goo/泥のぷーまん/ごじょう　さとらない/投票ボーナス(3)
3050_8301_GUH,2024-06-07,81人,便利っちゃ便利だけど……と微妙な評価をされた新サービス　「シェア○○」,NA,18位,RUNA,膝枕,13,54.93,定禅寺　翔子/ねこめんたい/砂漠/ナロル/わんわんお/はまぐりおじさん/新Goo/泥のぷーまん/りますぐ/きゅーきゅー/投票ボーナス(3)
