お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0327_7262_VKM,2024-06-09,101人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0327_7262_VKM.jpeg,1位,珍百景のクロ,私が継がなきゃ,38,83.34,オムライス畑/定禅寺　翔子/照葉公園/座談会/えちえち/ぶんちゃん(3)/ちゃ柴/ヴァイノスコフJr/月の瞼/一ノ瀬/マクドなるほど/えいり/狂ったパン屋さん/丸呑み(2)/休憩新人ポンコツ/入れ歯型乳歯/にじょー/あぐら/ジョセフ/灰色こたつ/しわしわの和紙/龐徳/こんよす/rayleigh/ニューロン/上スマ素当て/下衆なキャット/モノカルチャー(2)/まん丸(2)/じゃん/投票ボーナス(3)
0327_7262_VKM,2024-06-09,101人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0327_7262_VKM.jpeg,2位,ハム,変な思春期でごめんね,35,79.18,ベン/座談会/全力仮病(2)/阿川の追跡/ヴァイノスコフJr/デス・サップ/マクドなるほど/えいり/狂ったパン屋さん/内角低め系男子/ゆたーなる/がんちゃん/PD/矢野まる(3)/犬ドリル/ダイチリーマン/パンジ/あたまかなや/ジョセフ/ドリアン抹茶/ロンドン橋/こんよす/rayleigh/らせまる/りる24/ヤンマー部隊隊長/下衆なキャット/瞳の中の遣隋使/まん丸/投票ボーナス(3)
0327_7262_VKM,2024-06-09,101人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0327_7262_VKM.jpeg,2位,ブトマ,どうせ遅刻だしな,35,79.18,照葉公園/えちえち/東松永/ヴァイノスコフJr/月の瞼/マクドなるほど/てふてふ！/大ちゃんす/低血圧/この後クリーム砲/狂ったパン屋さん/内角低め系男子(2)/ゆたーなる/入れ歯型乳歯/塩犬/ボインの逆襲/矢野まる(2)/犬ドリル/あのにーむ/しわしわの和紙/ロンドン橋/龐徳/ニューロン/上スマ素当て/あまちゃん/えきたいおもち/ふぁみてぃー/野島久助/下衆なキャット/xtomato/投票ボーナス(3)
0327_7262_VKM,2024-06-09,101人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0327_7262_VKM.jpeg,4位,あまちゃん,塾のみんな見てるか,31,73.65,ベン/オムライス畑/サラブレッドトマト(2)/照葉公園/東松永/ツートンツトム/はちわれ/狂ったパン屋さん/休憩新人ポンコツ/入れ歯型乳歯/塩犬/ボインの逆襲/にじょー/Houston/あのにーむ/馬to量子化/あぐら(2)/ニューロン/フォークソング研究部/えきたいおもち/ふゆる/ロラン(2)/koratin/モノカルチャー/中川圭一/投票ボーナス(3)
0327_7262_VKM,2024-06-09,101人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0327_7262_VKM.jpeg,5位,やる,Now loading…,28,69.49,下戸ちゃん(3)/サラブレッドトマト/座談会/ブリングソーダ/えちえち/阿川の追跡/デス・サップ/マクドなるほど/てふてふ！/外面/大ちゃんす/えいり/狂ったパン屋さん/途絶えた夢の続き(2)/ケルン/入れ歯型乳歯/かえりたい！/ルシファー/ロンドン橋/詠夜/瞳の中の遣隋使/ちょんまげ/投票ボーナス(3)
0327_7262_VKM,2024-06-09,101人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0327_7262_VKM.jpeg,5位,中川圭一,嫌な町だったでしょ,28,69.49,男は黙って大三元/照葉公園/座談会/えちえち/月の瞼/ハム/低血圧/途絶えた夢の続き(3)/ケルン/がんちゃん/犬ドリル/ダイチリーマン/馬to量子化/ジョセフ/龐徳/rayleigh/ニューロン/フォークソング研究部/えきたいおもち/野島久助/KomA/モノカルチャー/じゃん/投票ボーナス(3)
0327_7262_VKM,2024-06-09,101人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0327_7262_VKM.jpeg,7位,えきたいおもち,意味は後からついてくるの,27,68.11,男は黙って大三元/サラブレッドトマト/照葉公園/全力仮病/ヴァイノスコフJr/はちわれ/内角低め系男子/ゆたーなる/かえりたい！/塩犬/Houston/犬ドリル/あのにーむ/はまぐりおじさん/ジョセフ/驫鵬彈/こんよす/rayleigh/あまちゃん/下衆なキャット/ちょんまげ/じゃん/xtomato(2)/投票ボーナス(3)
0327_7262_VKM,2024-06-09,101人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0327_7262_VKM.jpeg,7位,ゆたーなる,「す」,27,68.11,下戸ちゃん(3)/照葉公園/一ノ瀬/マクドなるほど(2)/外面/えいり/低血圧/鮭缶/主食ワセリン/ダイチリーマン/あたまかなや(2)/ドリアン抹茶(2)/ぽにぽに/しわしわの和紙/ロンドン橋/りる24(3)/詠夜/投票ボーナス(3)
0327_7262_VKM,2024-06-09,101人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0327_7262_VKM.jpeg,7位,ツートンツトム,占いは絶対なの,27,68.11,ベン/オムライス畑/阿川の追跡/月の瞼/マクドなるほど/ハム/狂ったパン屋さん/休憩新人ポンコツ/塩犬/ルシファー/＃の中のカマ吉くん/やる/主食ワセリン/にじょー/犬ドリル/あのにーむ/ジョセフ/龐徳/rayleigh/ニューロン/ヤンマー部隊隊長/下衆なキャット/中川圭一/ちょんまげ/投票ボーナス(3)
0327_7262_VKM,2024-06-09,101人,画像で一言,https://d37hyjlpzcdxnh.cloudfront.net/odai_image/0327_7262_VKM.jpeg,10位,灰色こたつ,壁が高いから,23,62.57,オムライス畑/東松永/ツートンツトム/らうかった(2)/途絶えた夢の続き(3)/＃の中のカマ吉くん/やる/煮込みVUITTON/馬to量子化/NatsubiSogan(2)/野島久助/koratin/モノカルチャー(2)/中川圭一/じゃん/投票ボーナス(3)
