お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
3296_1944_HYF,2024-06-15,102人,戦国時代のサーティーワンあるある,NA,1位,うでやすな,バニラを丸腰と呼ぶ,36,83.86,オボック/瓶提示(2)/虎視てゃんてゃん/エーゴ(2)/防毒/鉄火丼/関西ハムスター(2)/きょく(2)/波止場/一本松/敵刺/フセ(2)/鈴木リズ/パステルゆんゆん/詠夜/劇団せき/たくみす/ヤバいマイケル屋さん/じゃみこ(2)/撮影所ソルジャー/グッドナイトボーイ/ハッスル運動会/河川敷と高架橋、時雨/洋介山/ぽにょ/スモール陶芸家/龐徳/投票ボーナス(3)
3296_1944_HYF,2024-06-15,102人,戦国時代のサーティーワンあるある,NA,2位,マヨご飯,殿様がシングル頼むもんだから家来がダブル頼みづらい,28,72.5,裏起毛/OLDMAN/MODY/防毒/鉄火丼/ここのつ/ジェイ(2)/猫の化石/もるぺちda/波止場(2)/ASAP/隣駅/どどど/白無垢のアマガエル/グッドナイトボーイ/ハッスル運動会/河川敷と高架橋、時雨/洋介山/龐徳/すしはま(2)/さおさん/順不同/投票ボーナス(3)
3296_1944_HYF,2024-06-15,102人,戦国時代のサーティーワンあるある,NA,2位,波止場,豊臣秀吉が温めてしまう,28,72.5,トロイぞ木馬/みゆ/裏起毛/おてもと(2)/morisho/碓井/防毒/鉄火丼/自摸(2)/敵刺/ねぎたそ(3)/詠夜/劇団せき/鷹STARDOM関/撮影所ソルジャー/いちゃこら/洋介山/スモール陶芸家/カフラマン/かるろす(2)/投票ボーナス(3)
3296_1944_HYF,2024-06-15,102人,戦国時代のサーティーワンあるある,NA,4位,鵺野凛音,先に家臣に舐めさせる,27,71.08,みゆ/OLDMAN/おてもと/享年1000/碓井/ねるねるかねる/ここのつ/ふどゅぎ/関西ハムスター/パブロ風の犬/箱根八里/zatto(2)/わたなべいびー/パステルゆんゆん/鷹STARDOM関/じゃみこ/鼻マガ/ハッスル運動会/ここはが/洋介山/龐徳/サリー/順不同/投票ボーナス(3)
3296_1944_HYF,2024-06-15,102人,戦国時代のサーティーワンあるある,NA,5位,きょく,フレーバーの説明が短歌,26,69.66,裏起毛/冠(3)/OLDMAN/プレーン味のワニ/おてもと/MODY/享年1000/関西ハムスター/箱根八里/鈴木リズ/隣駅/アホランド(2)/ヤバいマイケル屋さん/Bモンド/どどど/ヴァミリ・ドグァ/ハ生ム/グッドナイトボーイ/さおさん/サリー/投票ボーナス(3)
3296_1944_HYF,2024-06-15,102人,戦国時代のサーティーワンあるある,NA,5位,たくみす,しゃもじで茶碗に盛る,26,69.66,みゆ/プレーン味のワニ/おてもと/t_k_1216/鵺野凛音/きょく(2)/でろ坊/パブロ風の犬/猫の化石/一本松/センライ/Bモンド/撮影所ソルジャー/ツートンツトム/ハッスル運動会/ぽにょ/Q急車(2)/ことぶき/Maruisikaku(3)/投票ボーナス(3)
3296_1944_HYF,2024-06-15,102人,戦国時代のサーティーワンあるある,NA,7位,サリー,ええぃ、もっと重ねぬか,25,68.24,トロイぞ木馬/t_k_1216/防毒/ここのつ/ちりめん猛者/一本松/鈴木リズ/ねぎたそ/アホランド(2)/たくみす/Bモンド/どどど/ヴァミリ・ドグァ/ツートンツトム/グッドナイトボーイ/鼻マガ/洋介山/中イキ1(2)/かるろす(2)/投票ボーナス(3)
3296_1944_HYF,2024-06-15,102人,戦国時代のサーティーワンあるある,NA,8位,terasuke,豊臣秀吉がスプーンあたためてる,24,66.82,トロイぞ木馬/みゆ/裏起毛/シロロ/ふどゅぎ/激玉子/zatto(3)/altcolt(3)/フセ(3)/鈴木リズ(2)/ねぎたそ/ヤバいマイケル屋さん/うでやすな/ハ生ム/鼻マガ/河川敷と高架橋、時雨/ぽにょ
3296_1944_HYF,2024-06-15,102人,戦国時代のサーティーワンあるある,NA,8位,順不同,保冷用の懐に入れる,24,66.82,シロロ/おてもと/morisho/MODY/虎視てゃんてゃん/碓井(2)/エーゴ/関西ハムスター(2)/きょく/zatto/センライ/鷹STARDOM関/一旦ひでみ丸/ハ生ム/ツートンツトム/いちゃこら/河川敷と高架橋、時雨/ぽにょ/ことぶき/投票ボーナス(3)
3296_1944_HYF,2024-06-15,102人,戦国時代のサーティーワンあるある,NA,10位,トロイぞ木馬,秀吉「温めておきました」,22,63.98,冠(2)/シロロ/ねるねるかねる/自摸(3)/もるぺちda/フセ/撮影所ソルジャー/白無垢のアマガエル(3)/ヴァミリ・ドグァ/洋介山/マヨご飯(3)/Maruisikaku/投票ボーナス(3)
