お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0897_1073_FXA,2024-06-22,74人,明日の天気を決める権利がある人,NA,1位,アイオハ,コピペの週もある,33,84.96,きらら/andrewZ(2)/日泣き/びゅー/後悔しない名前を付けよう/大ちゃんす/接頭語/こんなところにエビチリ(3)/hama(2)/オクラんぼ/塩犬/喋るな(2)/梅雨生まれ/黒胡麻(2)/プレーン味のワニ/カインドスカイ/ちゃたに/デイドロ/でろ坊/ジェイ/ヴァミリ・ドグァ/^筍^/理科インターネット/ノビッタ/投票ボーナス(3)
0897_1073_FXA,2024-06-22,74人,明日の天気を決める権利がある人,NA,2位,入れ歯型乳歯,“なんでも良い”が1番困るのよ,32,83.44,きらら/AgeHa/ヤマカゼ/ミズイチ/タスマニアファミリー/びゅー/主食ワセリン/コク深/粉石鹸/こんなところにエビチリ(2)/hama(2)/オクラんぼ/塩犬/なむさん/ターンブル/カインドスカイ/ちゃたに/でろ坊/ヴァミリ・ドグァ/理科インターネット/アイオハ/具現か？/毒ぶどう/ノビッタ/ボブ（北陸在住）/ハッスル運動会(2)/投票ボーナス(3)
0897_1073_FXA,2024-06-22,74人,明日の天気を決める権利がある人,NA,3位,ぎゃら,嫌いなやつに予定聞く,24,71.29,鼻マガ/ミズイチ(3)/そろばん６級/主食ワセリン/コク深/入れ歯型乳歯/せりか/喋るな/ちぇみちぇみ！/梅雨生まれ/ターンブル/カインドスカイ/デイドロ/ぺんぺるの/でろ坊/ジェイ/毒ぶどう/ボブ（北陸在住）/ハッスル運動会/投票ボーナス(3)
0897_1073_FXA,2024-06-22,74人,明日の天気を決める権利がある人,NA,4位,ターンブル,傘買ってるのを見られて皆買う,23,69.77,AgeHa/タスマニアファミリー(3)/びゅー/そろばん６級/跳梁跋扈ペンデュラム/さめかす/入れ歯型乳歯/塩犬/田口さん🍙/梅雨生まれ/黒胡麻/ぺんぺるの/ジェイ/サッポロ一番絞り/具現か？(2)/ハッスル運動会(2)/投票ボーナス(3)
0897_1073_FXA,2024-06-22,74人,明日の天気を決める権利がある人,NA,5位,プレーン味のワニ,たまに甥に決めさせる,22,68.25,鼻マガ/てちまる/ヤマカゼ/日泣き/びゅー/跳梁跋扈ペンデュラム/主食ワセリン/大ちゃんす/喋るな(2)/ちぇみちぇみ！/殴るベロス/デイドロ/ぺんぺるの/ジェイ/サッポロ一番絞り/馬にビール/毒ぶどう/ハッスル運動会/投票ボーナス(3)
0897_1073_FXA,2024-06-22,74人,明日の天気を決める権利がある人,NA,5位,殴るベロス,てるてる坊主を見て「おー(笑)」,22,68.25,きらら/AgeHa/ハメ鳥太郎/びゅー/後悔しない名前を付けよう/大ちゃんす/atmark(2)/接頭語/hama(3)/Ilikekaf(2)/デイドロ/ぺんぺるの/ジェイ/サッポロ一番絞り/ボブ（北陸在住）/投票ボーナス(3)
0897_1073_FXA,2024-06-22,74人,明日の天気を決める権利がある人,NA,7位,あまりにも速い犬,今では義務と思っている,21,66.73,鼻マガ/AgeHa/そろばん６級/跳梁跋扈ペンデュラム/入れ歯型乳歯/粉石鹸/こんなところにエビチリ(2)/塩犬/ちぇみちぇみ！/田口さん🍙/殴るベロス/大喜利王/ジェイ/ヴァミリ・ドグァ/アイオハ/毒ぶどう/ノビッタ/投票ボーナス(3)
0897_1073_FXA,2024-06-22,74人,明日の天気を決める権利がある人,NA,8位,ミズイチ,失恋したなと分かる,20,65.21,鼻マガ(2)/andrewZ/AgeHa/日泣き/ハメ鳥太郎/ぎゃら/塩犬/喋るな/ちぇみちぇみ！/田口さん🍙/殴るベロス(2)/プレーン味のワニ/ヴァミリ・ドグァ/サッポロ一番絞り(2)/投票ボーナス(3)
0897_1073_FXA,2024-06-22,74人,明日の天気を決める権利がある人,NA,9位,跳梁跋扈ペンデュラム,そんなこと言ったらパパ明日雨にしちゃうぞ,19,63.69,きらら/そろばん６級/さめかす/大伴金村/こんなところにエビチリ(3)/まさまる/黒胡麻/カインドスカイ/大喜利王/でろ坊/アイオハ/具現か？/天戸屋不成(2)/投票ボーナス(3)
0897_1073_FXA,2024-06-22,74人,明日の天気を決める権利がある人,NA,10位,こんなところにエビチリ,ここで雪降ったら面白くない？,16,59.13,てちまる/AgeHa/そろばん６級/ずずエさん/接頭語/タカラ（グラッパ）/大伴金村/ちぇみちぇみ！/Ilikekaf(2)/プレーン味のワニ/大喜利王/ジェイ/投票ボーナス(3)
