お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0525_7672_AHH,2024-06-26,98人,短針が長針を追い越して一言,NA,1位,おあつらえ,これにはコツがあって,33,79.1,厚底眼鏡/さめかす/チカアラシ/まみゃ(2)/そろばん６級/無毛猫/軽い気持ち/かきあげ団団員/めっけもん/ババロア２世/コナミスポーツ/マイケルa.k.aイクラ/ミズイチ/クマ牧場(2)/ちょめにぜり(3)/☆シナモン☆/突然及川/ノビッタ/takuya0024/劇団せき/ながみんみん(2)/くとぅるふ/真似き猫/みゃん蜂(2)/投票ボーナス(3)
0525_7672_AHH,2024-06-26,98人,短針が長針を追い越して一言,NA,2位,ちぇみちぇみ！,今のお前に勝ってもな,31,75.83,んぬ/厚底眼鏡/モチ/屋内用雨傘/胸、しかも大きい/チカアラシ/そろばん６級/無毛猫/敷地/かきあげ団団員/生身/おあつらえ/遥か寸前(2)/ささくれ撫ぜ太郎(2)/abcdefg/ミズイチ/佐藤辺照銀星(2)/ちょめにぜり(3)/ボテ薔薇/アンフィ/突然及川/劇団せき/Ilikekaf/投票ボーナス(3)
0525_7672_AHH,2024-06-26,98人,短針が長針を追い越して一言,NA,3位,たのしいせいかつか,コツつかんできた,30,74.19,天戸屋不成(2)/厚底眼鏡/たこかいな/さめかす/モチ/7282/まみゃ/そろばん６級/無毛猫/かきあげ団団員(3)/フイ/めっけもん/ババロア２世/Nrock/おあつらえ/阿修羅 ハルカゼ/粉石鹸/＃の中のカマ吉くん/ちょめにぜり(3)/☆シナモン☆/ノビッタ/くとぅるふ/投票ボーナス(3)
0525_7672_AHH,2024-06-26,98人,短針が長針を追い越して一言,NA,4位,無毛猫,まずは一回,29,72.55,💃/んぬ/AgeHa/モチ/7282/山葵布団/そろばん６級/敷地/軽い気持ち/かきあげ団団員/行方/フイ/めっけもん/ドロレス・グランギニョル/コナミスポーツ/Nrock/ささくれ撫ぜ太郎(2)/abcdefg/クマ牧場(2)/佐藤辺照銀星/ちょめにぜり(3)/みゃん蜂/投票ボーナス(3)
0525_7672_AHH,2024-06-26,98人,短針が長針を追い越して一言,NA,5位,だらけ侍,この景色か,28,70.91,厚底眼鏡/シーサイド品川/東松永/AgeHa/チカアラシ/そろばん６級/無毛猫/かきあげ団団員(2)/フイ/めっけもん/コナミスポーツ/Nrock/おあつらえ/阿修羅 ハルカゼ/野島久助/ちょめにぜり(3)/ボテ薔薇/ノビッタ/大ちゃんす/清掃員/たのしいせいかつか/げら/投票ボーナス(3)
0525_7672_AHH,2024-06-26,98人,短針が長針を追い越して一言,NA,5位,佐藤辺照銀星,黙って聞いてりゃチクタクチクタク,28,70.91,山葵布団(2)/iiha/かきあげ団団員/生身/ドロレス・グランギニョル/Bモンド/デス・サップ/ちょめにぜり(3)/ボテ薔薇/☆シナモン☆/アンフィ/jomajoma(2)/ホーンたくろう/takuya0024(2)/清掃員/ながみんみん/アオギリ/みゃん蜂(3)/投票ボーナス(3)
0525_7672_AHH,2024-06-26,98人,短針が長針を追い越して一言,NA,7位,AgeHa,説明は後だ！回れ！,27,69.28,あくつ(2)/kubodi/7282/無毛猫/からかる/ささくれ撫ぜ太郎(2)/クマ牧場/ちょめにぜり(3)/遺跡発掘調査補助員/☆シナモン☆/jomajoma(2)/ベン(3)/ぶんちゃん/ノビッタ/だらけ侍/ながみんみん/アオギリ/投票ボーナス(3)
0525_7672_AHH,2024-06-26,98人,短針が長針を追い越して一言,NA,7位,厚底眼鏡,界隈荒れるぞ,27,69.28,雲ひとつない撒き餌/たこかいな/チカアラシ/そろばん６級/ガルプボルプ/敷地/軽い気持ち/フイ/ドロレス・グランギニョル/からかる/ミズイチ/クマ牧場(2)/ちょめにぜり(3)/ボテ薔薇/アンフィ/jomajoma/突然及川/スポーツバッグ/げら/くとぅるふ/コマッシュ/投票ボーナス(3)
0525_7672_AHH,2024-06-26,98人,短針が長針を追い越して一言,NA,9位,さんれん,良くないことだと思う,26,67.64,らうかった/雲ひとつない撒き餌(2)/んぬ/東松永/AgeHa/屋内用雨傘/啓蒙思想(2)/iiha/かきあげ団団員/めっけもん(2)/ババロア２世/Bモンド/おあつらえ/＃の中のカマ吉くん/ちょめにぜり(3)/ノビッタ/スポーツバッグ/げら/投票ボーナス(3)
0525_7672_AHH,2024-06-26,98人,短針が長針を追い越して一言,NA,10位,政信,これだから面白い,25,66.0,あくつ/💃/シーサイド品川/東松永/AgeHa/まみゃ(2)/そろばん６級/軽い気持ち/かきあげ団団員/めっけもん/生身/Bモンド/コナミスポーツ/でぃ/ちょめにぜり(3)/アンフィ/ノビッタ/ホーンたくろう/真似き猫/投票ボーナス(3)
