お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
0741_2563_UOD,2024-07-01,120人,私は○○○で温泉に入ります,NA,1位,刺身たんぽぽ,生徒たちが謝りに来るま,48,86.04,ちぇみちぇみ！/orionfires/なまこP/美辞麗句/田口さん🍙/fuhihihehho(2)/業務用虚無(2)/GYAI/魔法のタイらんど/にじょー/すぐラップ&チルド(2)/さむちょ/ペン/鷹STARDOM関/少々(2)/うえじゅん/煮込みVUITTON/たこかいな(2)/ぽや(3)/ゑん/喜/レイサム/他のＰ/定禅寺　翔子/柚苑/球電/ケルン/あいうえびふらい/りょんこ/月山/elena/NR/めっけもん/切り干しライオン(2)/あまおう(2)/あれよ/投票ボーナス(3)
0741_2563_UOD,2024-07-01,120人,私は○○○で温泉に入ります,NA,2位,すぐラップ&チルド,国の指示,40,77.02,orionfires/なまこP/美辞麗句/すずたき/砂漠/きまぐれ(2)/あると/魔法のタイらんど/きれいな市役所/さむちょ/大喜利界の帝王/こぼれおちないCH/懐かしむ会/テトラ/喜/おきおきひ/未来コオロギ(3)/定禅寺　翔子/さすけのお兄/いりぞう/まったん冷え性/ケルン(2)/あいうえびふらい/フユフク/コックカワサキ(2)/たまご兄貴/あのこ通話/elena/刺身たんぽぽ/ええやん×ええやん/星ドッラ/あれよ/投票ボーナス(3)
0741_2563_UOD,2024-07-01,120人,私は○○○で温泉に入ります,NA,3位,おきおきひ,溺れる覚悟,37,73.63,まん丸/orionfires/なまこP/業務用虚無(2)/寺井/真似き猫/国語算数今やばい/わるいインターネット/粉石鹸/少々/懐かしむ会/たこかいな(2)/テトラ/ぽや/知性丸出し/ゑん/喜/山葵布団/未来コオロギ(3)/定禅寺　翔子/さすけのお兄/柚苑/サトシ/いりぞう/月山/プーアル茶/切り干しライオン/Nado/すまいる/星ドッラ/投票ボーナス(3)
0741_2563_UOD,2024-07-01,120人,私は○○○で温泉に入ります,NA,4位,老害下暗し,入ってませんよみたいな顔,36,72.5,何ともなきふぐ汁/雑貨屋の星/まん丸/なまこP/美辞麗句/すずたき/業務用虚無(2)/砂漠/寺井/さむちょ/トイトイさん/撮影所ソルジャー/うえじゅん/煮込みVUITTON/キッチン/知性丸出し/喜/無毛猫/しすると/他のＰ/定禅寺　翔子/二階から手続き/さすけのお兄/柚苑/パネンカ星野/はちわれ/あいうえびふらい/フユフク/りょんこ/あのこ通話/んんっぴー/Bモンド/雲ひとつない撒き餌/鼻腔炭酸/切り干しライオン
0741_2563_UOD,2024-07-01,120人,私は○○○で温泉に入ります,NA,5位,コックカワサキ,消去法,35,71.37,玉露/なまこP/箱根八里/業務用虚無/魔法のタイらんど(2)/大喜利界の帝王/トイトイさん/わるいインターネット/49k2f/kesyousui/キッチン/しばらくはうに/うずくまる/山葵布団/無毛猫/レイサム/山根シティ/ジェンツーペンギン/がんちゃん/はちわれ/たまご兄貴/あのこ通話(2)/雲ひとつない撒き餌/elena/プーアル茶/めっけもん/切り干しライオン/Mr.GIFT券(2)/あれよ/投票ボーナス(3)
0741_2563_UOD,2024-07-01,120人,私は○○○で温泉に入ります,NA,6位,懐かしむ会,お湯を着る感じ,34,70.25,まん丸/orionfires/なまこP/田口さん🍙/業務用虚無/寺井/GYAI/きれいな市役所/さむちょ/トイトイさん/撮影所ソルジャー/よんろくにーにー/煮込みVUITTON/ぽや/しばらくはうに/うずくまる/無毛猫/二階から手続き/さすけのお兄/柚苑(2)/まったん冷え性/がんちゃん/あいうえびふらい/コックカワサキ/雲ひとつない撒き餌/関西ハムスター/NR/黒胡椒/めっけもん/ええやん×ええやん/投票ボーナス(3)
0741_2563_UOD,2024-07-01,120人,私は○○○で温泉に入ります,NA,7位,GYAI,次のターン,32,67.99,なまこP/すずたき/さすがに/鷹STARDOM関/わるいインターネット/49k2f/こぼれおちないCH/うえじゅん/テトラ/うずくまる/知性丸出し/無毛猫/レイサム/ヨモスガラ/いりぞう/パネンカ星野/まったん冷え性/がんちゃん/コックカワサキ/あのこ通話(2)/ほろほろ/elena/めっけもん(2)/全王様(2)/星ドッラ/あれよ/投票ボーナス(3)
0741_2563_UOD,2024-07-01,120人,私は○○○で温泉に入ります,NA,7位,きれいな市役所,蛇口経由,32,67.99,何ともなきふぐ汁/雑貨屋の星/なまこP/美辞麗句/業務用虚無(2)/寺井/GYAI(2)/魔法のタイらんど/大喜利界の帝王/煮込みVUITTON/ゑん/レイサム/未来コオロギ(3)/ながと/山根シティ/二階から手続き/さすけのお兄/いりぞう/BFGH/がんちゃん/ケルン(2)/黒胡椒/すまいる/星ドッラ/投票ボーナス(3)
0741_2563_UOD,2024-07-01,120人,私は○○○で温泉に入ります,NA,7位,はちわれ,指紋認証できなくなるま,32,67.99,玉露/なまこP/箱根八里/嬢ヶ崎/すずたき/業務用虚無(3)/きまぐれ/魔法のタイらんど/きれいな市役所/ペン/大喜利界の帝王/さめかす/ハマの薄毛/たこかいな/しすると/山根シティ(3)/尾崎愉快犯(2)/んんっぴー/ほろほろ/関西ハムスター(2)/あまおう/全王様(2)/投票ボーナス(3)
0741_2563_UOD,2024-07-01,120人,私は○○○で温泉に入ります,NA,7位,ラプンツェル,出汁が出るの,32,67.99,おだンゴ/まん丸/なまこP/田口さん🍙/やねの煙突/きれいな市役所/大喜利界の帝王/さめかす/鷹STARDOM関/粉石鹸/よんろくにーにー/山葵布団/しすると/レイサム/ヨモスガラ/定禅寺　翔子/まぐねくぼ/柚苑/尾崎愉快犯/あいうえびふらい/んんっぴー/ほろほろ/雲ひとつない撒き餌/elena/関西ハムスター/黒胡椒/Mr.GIFT券(2)/羊水/投票ボーナス(3)
