お題No,日付,参加人数,お題,お題画像,順位,名前,ボケ,得票数,偏差値,投票者
2209_9277_FDX,2024-07-13,105人,こんなパーキングエリアはいやだ,NA,1位,長崎違い,パキグエって略す,37,79.4,球電/1キロ一千円(3)/ねこめんたい/ヤンマー部隊隊長/しとてて/マハネの苗(2)/シャザーン/胸、しかも大きい/ヴァミリ・ドグァ/Bモンド/関西ハムスター(2)/wassan/ジェンツーペンギン/ミラー/さむちょ/アホランド(2)/きれいな市役所/なしん/もなわ(3)/からこる/少しだけ賢い/鼻くそゴリラ/合法/さとぅ/おあつらえ/アルパカ米(2)/投票ボーナス(3)
2209_9277_FDX,2024-07-13,105人,こんなパーキングエリアはいやだ,NA,2位,しとてて,お満車と書いてある,36,78.15,1キロ一千円(2)/あの時のペリー/酒ジプシー/赤い髪/よんろくにーにー/あんぐら/車論(2)/ココシ/ちきちきた/おきおきひ/マハネの苗/アベンガネ/こんなところにエビチリ(2)/幸福/Bモンド/さむちょ/なしん/ぴざとーすと(2)/長崎違い/鼻くそゴリラ/合法/トップバリュ/カフラマン/ねこライト/さとぅ/おあつらえ/Q急車/あぐら/ヘススちゃん/投票ボーナス(3)
2209_9277_FDX,2024-07-13,105人,こんなパーキングエリアはいやだ,NA,3位,烏天狗,旅の全てが詰まってる,33,74.41,副菜(2)/ざわやん/AgeHa(3)/1キロ一千円/あららうね(2)/はっちゃん/あんぐら/車論(2)/マハネの苗/アベンガネ/おむおむ/うにフィレオ(2)/幸福/Bモンド/プロテコンダー/うずくまる/なしん/フランシスコ・ザ・ビール/鼻くそゴリラ/合法/トップバリュ/Houston/あぐら/イトカイ/投票ボーナス(3)
2209_9277_FDX,2024-07-13,105人,こんなパーキングエリアはいやだ,NA,4位,AgeHa,感想を聞かれる,32,73.16,球電/あの時のペリー/あららうね/けいすけ/はっちゃん/車論/黒胡椒/ちきちきた/アベンガネ(2)/実名希望/関西ハムスター(2)/プロテコンダー(3)/吉村/アンフィ/ぎゃら/もなわ(2)/フランシスコ・ザ・ビール/石原消し炭/尾崎愉快犯/ひらがなで(2)/きょく/みどりみのあお/イトカイ/投票ボーナス(3)
2209_9277_FDX,2024-07-13,105人,こんなパーキングエリアはいやだ,NA,5位,尾崎愉快犯,ナビでは墓地と表示されてる,30,70.67,ざわやん/てー/magic-man/ねこめんたい(2)/ヤンマー部隊隊長/下衆なキャット/あんぐら/おきおきひ/シャザーン/マシロン/烏天狗/wassan(2)/さむちょ/アンフィ/メッテルニヒ/ぴざとーすと/もなわ(3)/石原消し炭/少しだけ賢い/てんす犬/トップバリュ/さとぅ/ヘススちゃん/投票ボーナス(3)
2209_9277_FDX,2024-07-13,105人,こんなパーキングエリアはいやだ,NA,5位,車論,楽しんでるか聞かれる,30,70.67,副菜/AgeHa(2)/あの時のペリー/酒ジプシー/ココシ/アベンガネ(2)/おむおむ/吉村/ジェンツーペンギン/アンフィ/ぎゃら/カヒト/なしん/ぴざとーすと(2)/石原消し炭/鼻くそゴリラ(2)/おあつらえ/Houston/Q急車(2)/あぐら/きょく/ヘススちゃん/投票ボーナス(3)
2209_9277_FDX,2024-07-13,105人,こんなパーキングエリアはいやだ,NA,7位,ぴざとーすと,建設反対！の垂れ幕をくぐって入る,29,69.42,ざわやん/酒ジプシー/よんろくにーにー/下衆なキャット/のお/室生犀星の愛猫/こんなところにエビチリ(3)/実名希望/Bモンド/新橋バシバシ/wassan(2)/吉村/さむちょ/もりぴ(2)/なしん/ひらがなで(2)/山葵布団/ふーでぃー(3)/きょく/投票ボーナス(3)
2209_9277_FDX,2024-07-13,105人,こんなパーキングエリアはいやだ,NA,8位,あららうね,みんな乗ろうとしてくる,26,65.68,AgeHa/あの時のペリー/magic-man/酒ジプシー(2)/よんろくにーにー/ヤンマー部隊隊長/下衆なキャット(3)/黒胡椒/ココシ/マシロン/Bモンド/吉村/ぎゃら/なしん/損しかしてない/長崎違い/トップバリュ/ぼうやん(2)/あぐら/投票ボーナス(3)
2209_9277_FDX,2024-07-13,105人,こんなパーキングエリアはいやだ,NA,8位,てー,一台倒れたら全部倒れる,26,65.68,AgeHa/あの時のペリー/けいすけ/よんろくにーにー(2)/ヤンマー部隊隊長/いりごま。(2)/シャザーン/マシロン/こんなところにエビチリ(2)/Bモンド/ミラー/アンフィ/カヒト/もなわ/ロンドン武士/合法/てんす犬/尾崎愉快犯/みどりみのあお(2)/投票ボーナス(3)
2209_9277_FDX,2024-07-13,105人,こんなパーキングエリアはいやだ,NA,8位,幸福,間に合わなかった痕跡がある,26,65.68,副菜/AgeHa(2)/あの時のペリー/下衆なキャット(2)/車論/のお/マハネの苗/シャザーン/マシロン/関西ハムスター/ぎゃら/カヒト/フランシスコ・ザ・ビール/石原消し炭/からこる/てんす犬(2)/おあつらえ/Houston/イトカイ(2)/投票ボーナス(3)
